phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Mg S Y Zn       ,38,8.811,29.546,6.824,12.23,26.006
Al Mg S Y       ,38,8.848,29.453,6.517,12.168,25.675
Mg O Zn Zr      ,38,8.947,28.276,6.704,11.837,24.899
Ca Mg O Zn      ,38,9.137,28.001,6.68,12.023,25.092
Mg O Sn Y       ,38,9.604,27.897,6.513,12.054,25.548
Al Ba Mg S      ,38,10.261,29.148,6.531,11.186,25.818
Ba Mg O Sn      ,38,10.919,27.574,6.527,11.062,25.691
K Mg O Y        ,38,12.284,27.751,6.514,11.819,25.609
Ba K Mg O       ,38,13.338,27.427,6.527,10.805,25.753
I Mg Zn Zr      ,39,8.835,29.774,6.102,12.209,28.084
Al I Mg Zr      ,39,8.872,29.683,5.757,12.146,27.778
Ba Mg S Si      ,39,10.193,28.917,6.096,12.167,26.217
Ba Cl Mg Si     ,39,10.398,29.138,6.08,12.023,27.756
Br Ca Mg Zn     ,40,8.852,29.768,6.153,11.924,29.117
Al Br Ca Mg     ,40,8.889,29.677,5.811,11.86,28.821
Mg S Sn Y       ,40,9.054,29.346,6.151,11.901,26.766
Cl Mg Sn Y      ,40,9.284,29.564,6.135,11.754,28.275
Al I Mg Sr      ,40,9.785,29.162,5.958,11.818,28.519
B Mg S Si       ,41,8.866,29.05,7.81,12.677,27.06
Mg S Si Sr      ,41,9.279,28.861,5.756,12.245,27.001
Mg O Y Zn       ,41,9.375,28.106,7.152,12.379,24.75
Ca Mg O Zr      ,41,9.489,28.042,6.447,12.567,25.688
Li Mg O Zn      ,41,9.756,28.143,6.493,10.592,26.276
La Mg O Zn      ,41,9.769,27.916,7.485,11.98,25.764
Mg O Sr Zn      ,41,9.853,27.728,6.878,11.499,25.722
Mg O Sr Zr      ,41,10.18,27.77,6.651,12.067,26.304
Mg O Si Ta      ,41,10.336,27.878,6.611,12.067,26.211
Ca Mg O Sr      ,41,10.348,27.49,6.627,12.25,26.487
Ba Mg P S       ,41,10.356,28.776,6.278,12.25,26.761
Al Mg O Ta      ,41,10.403,28.117,7.014,11.077,25.811
Li Mg O Y       ,41,10.468,28.014,6.731,11.777,26.708
Mg O P Ta       ,41,10.497,27.731,6.779,12.15,26.755
Mg O Sr Y       ,41,10.558,27.598,7.103,12.6,26.164
Mg O Sn Ta      ,41,10.579,28.005,6.675,10.783,26.897
Ba Ca Mg S      ,41,10.706,29.016,6.585,12.019,26.9
Ba Mg O Zn      ,41,10.718,27.787,7.164,11.416,24.898
