phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?,pareto_cgcnn_mat2vec_distance from LSSI,distance_from_LiTa2PO8
Ga Li N Se      ,0.233,0.553,34,39.4,4.5,0.133,True,9,13.25
Li N Se Zr      ,0.416,0.454,34,39.4,12.0,0.234,True,17,20.75
Br Li Mo N      ,0.243,0.517,34,37.9,9.5,0.434,True,16,19.25
Br I Li Sb      ,0.214,0.636,34,13.2,2.5,0.184,False,17,9.08
Br Li Se Zn     ,0.234,0.54,34,1.1,3.25,0.16,True,16,13.0
F Ga Li Te      ,0.211,0.684,35,73.9,2.75,0.313,True,17,12.5
F Li Mg Te      ,0.228,0.594,35,73.9,4.25,0.318,True,13,14.0
F I Li P        ,0.235,0.56,35,73.1,2.5,0.074,True,15,9.75
Li N Te V       ,0.261,0.51,35,56.8,11.0,0.147,True,20,19.75
Li N Te Zr      ,0.423,0.463,35,56.8,12.25,0.224,True,16,21.0
F Li Se V       ,0.224,0.626,35,54.6,8.75,0.195,True,14,18.5
Cl F K Li       ,0.564,0.459,35,40.3,20.75,0.09,True,11,30.0
B Li N Se       ,0.32,0.467,35,39.4,3.25,0.181,True,21,11.5
Br Li Mg N      ,0.251,0.526,35,37.9,5.25,0.279,True,21,15.0
Cl Li N Sr      ,0.348,0.466,35,26.5,20.0,0.122,True,9,29.75
I K Li S        ,0.647,0.431,35,21.2,18.75,0.485,True,18,28.5
F Li Mo N       ,0.287,0.471,35,10.9,10.0,0.161,True,20,19.75
F Ge Li N       ,0.236,0.547,35,10.9,3.0,0.317,True,16,12.75
F Gd Li N       ,0.221,0.641,35,10.9,17.5,0.509,True,17,27.25
Li S Se Ta      ,0.252,0.52,35,8.2,9.25,0.142,True,18,18.0
F Li Se Zn      ,0.278,0.494,36,54.6,3.75,0.226,True,19,13.5
Br F Li Mg      ,0.222,0.65,36,52.9,4.75,0.199,True,16,14.0
Br F Ga Li      ,0.205,0.74,36,52.9,3.25,0.311,True,19,12.5
Ca Cl F Li      ,0.27,0.512,36,40.3,19.25,0.25,True,1,28.5
Br Ga Li N      ,0.234,0.619,36,37.9,3.75,0.108,True,14,13.5
Li N S Sc       ,0.629,0.464,36,28.8,12.0,0.16,True,19,20.75
Cl I Li Sn      ,0.252,0.528,36,23.4,1.75,0.264,True,18,11.0
I Li Mo S       ,0.309,0.471,36,21.2,7.25,0.225,False,15,17.0
Br Li Te Zn     ,0.241,0.548,36,13.7,3.5,0.149,True,14,13.25
Ca Li Se Te     ,0.236,0.575,36,12.5,18.75,0.278,False,21,27.5
I Li Se Si      ,0.258,0.52,36,12.0,0.25,0.304,False,21,10.0
Ba F Li N       ,0.434,0.466,36,10.9,20.5,0.176,True,15,30.25
F Li N W        ,0.267,0.517,36,10.9,9.75,0.177,True,9,19.5
F Li Mg N       ,0.295,0.481,36,10.9,5.75,0.254,True,21,15.5
Cl Cs Li S      ,0.658,0.435,36,1.8,19.75,0.111,True,15,29.5
Br Ca Li Se     ,0.23,0.632,36,1.1,17.75,0.265,True,15,27.5
F Li Te V       ,0.231,0.635,37,73.9,9.0,0.162,True,19,18.75
Ga Li N Te      ,0.241,0.562,37,56.8,4.75,0.122,True,17,13.5
Ca Li N Te      ,0.31,0.471,37,56.8,20.5,0.248,True,18,29.25
Br F Li V       ,0.225,0.691,37,52.9,9.5,0.132,True,18,18.75
Li S Ta Te      ,0.259,0.528,37,21.8,9.5,0.131,True,16,18.25
Ba I Li S       ,0.455,0.467,37,21.2,17.75,0.213,True,21,27.5
Ce I Li S       ,0.252,0.548,37,21.2,13.5,0.446,True,18,23.25
Li S Se Sr      ,0.279,0.502,37,8.2,18.5,0.192,True,18,27.25
F Li Te Zn      ,0.285,0.503,38,73.9,4.0,0.179,True,19,13.75
I Li Mg S       ,0.317,0.481,38,21.2,3.0,0.094,True,18,12.75
Ge I Li S       ,0.259,0.547,38,21.2,0.25,0.209,False,10,10.0
Br Ca Li Te     ,0.237,0.641,38,13.7,18.0,0.255,False,18,27.75
Al I Li Se      ,0.312,0.491,38,12.0,2.0,0.229,True,18,11.75
Ba Cl Li Se     ,0.32,0.473,38,10.2,18.5,0.161,True,13,28.25
B Br Cl Li      ,0.245,0.562,38,9.0,1.75,0.144,True,19,10.5
Ba Br Li S      ,0.323,0.471,38,7.1,18.0,0.152,True,19,27.75
I Li Si Te      ,0.265,0.529,38,0.5,0.5,0.089,False,15,10.25
B Li N Te       ,0.327,0.476,39,56.8,3.5,0.17,True,17,11.75
Br Li N V       ,0.254,0.568,39,37.9,10.0,0.133,True,22,19.75
Cl Li N Ta      ,0.322,0.483,39,26.5,10.75,0.207,True,19,20.5
Li S Sr Te      ,0.286,0.511,39,21.8,18.75,0.181,True,17,27.5
Gd I Li S       ,0.244,0.642,39,21.2,14.75,0.208,True,17,24.5
Cl Li Se Ta     ,0.249,0.588,39,10.2,9.0,0.099,True,20,18.75
Br Li S Ta      ,0.253,0.586,39,7.1,8.5,0.116,True,20,18.25
B Br Li Se      ,0.248,0.637,39,1.1,0.75,0.189,True,19,10.0
Al I Li Te      ,0.319,0.499,39,0.5,2.25,0.219,False,17,12.0
I K Li N        ,0.708,0.472,40,56.1,20.75,0.482,True,17,30.5
Br F Li Zn      ,0.279,0.561,40,52.9,4.5,0.165,True,19,13.75
B Cl F Li       ,0.288,0.517,40,40.3,2.25,0.172,True,20,11.0
Ba Cl Li Te     ,0.327,0.482,40,24.0,18.75,0.15,True,19,28.5
Ce Cl I Li      ,0.25,0.616,40,23.4,14.75,0.088,True,16,24.0
Cl Gd I Li      ,0.241,0.707,40,23.4,16.0,0.213,True,11,25.25
Cl I Li Ti      ,0.484,0.474,40,23.4,9.75,0.418,True,18,19.0
B Li Se Te      ,0.254,0.58,40,12.5,1.75,0.202,False,19,10.0
F Li N Zr       ,0.457,0.476,40,10.9,11.75,0.252,False,21,21.5
Cl Li Se Sr     ,0.276,0.57,40,10.2,18.25,0.067,True,23,28.0
Br Cl Li Ti     ,0.355,0.478,40,9.0,10.0,0.11,True,10,19.25
Br Li S Zr      ,0.347,0.481,40,7.1,9.25,0.214,True,20,19.0
F I Li Sb       ,0.258,0.592,41,73.1,3.0,0.093,True,23,9.58
I Li N Sn       ,0.328,0.5,41,56.1,2.5,0.284,True,21,12.25
Cl Li Ta Te     ,0.257,0.596,41,24.0,9.25,0.048,True,14,19.0
I Li S Zr       ,0.477,0.476,41,21.2,9.0,0.226,True,16,18.75
I Li S W        ,0.29,0.517,41,21.2,7.0,0.255,False,19,16.75
Br I Li Si      ,0.259,0.586,41,13.2,1.0,0.203,True,21,10.25
I Li Se Sn      ,0.255,0.604,41,12.0,0.75,0.15,False,16,10.5
Gd I Li Se      ,0.245,0.78,41,12.0,15.0,0.235,True,17,24.75
F Ga Li N       ,0.278,0.574,41,10.9,4.25,0.175,True,6,14.0
Cl Li Se Zr     ,0.344,0.483,41,10.2,9.75,0.124,True,18,19.5
Br Cl Li Ta     ,0.25,0.653,41,9.0,9.75,0.072,True,17,19.0
Br Li S Sr      ,0.28,0.568,41,7.1,17.75,0.168,True,7,27.5
Ca F Li Se      ,0.274,0.588,42,54.6,18.25,0.29,True,19,28.0
F Li S Ta       ,0.296,0.541,42,42.9,9.0,0.346,True,22,18.75
Cl Li Sr Te     ,0.283,0.579,42,24.0,18.5,0.06,True,20,28.25
Cl Ge I Li      ,0.257,0.615,42,23.4,1.5,0.183,False,19,10.75
B Br Li Te      ,0.255,0.645,42,13.7,1.0,0.178,True,17,10.25
Br Gd I Li      ,0.246,0.842,42,13.2,15.75,0.212,True,10,25.0
Ce I Li Se      ,0.253,0.69,42,12.0,13.75,0.238,True,20,23.5
Ca F Li N       ,0.346,0.483,42,10.9,20.0,0.261,True,20,29.75
F Li N V        ,0.298,0.523,42,10.9,10.5,0.332,True,8,20.25
I Li Sn Te      ,0.262,0.612,42,0.5,1.0,0.075,False,21,10.75
Gd I Li Te      ,0.252,0.788,42,0.5,15.25,0.225,True,22,25.0
Ca F Li Te      ,0.281,0.596,43,73.9,18.5,0.28,True,11,28.25
Br Ca F Li      ,0.275,0.653,43,52.9,19.0,0.268,True,19,28.25
Br K Li N       ,0.592,0.477,43,37.9,21.0,0.225,True,17,30.75
Br Ca Li N      ,0.303,0.529,43,37.9,19.5,0.236,True,10,29.25
