phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Ce Cl Li Te     ,0.108,0.563,19,24.0,14.5,0.034,True
I Li O Sn       ,0.228,0.353,19,63.5,0.75,0.097,True
Li Se Sn Te     ,0.113,0.551,19,12.5,2.0,0.111,False
Br Ge Li S      ,0.111,0.552,19,7.1,0.5,0.118,False
Cl Li Se W      ,0.141,0.524,19,10.2,7.75,0.118,True
Al Br Cl Li     ,0.165,0.417,19,9.0,3.25,0.124,True
Br Cl In Li     ,0.162,0.455,19,9.0,2.75,0.129,True
Ce F Li S       ,0.151,0.507,19,42.9,14.25,0.13,True
B Cl Li S       ,0.243,0.346,19,1.8,0.75,0.139,True
Ba Li N S       ,0.392,0.293,19,28.8,20.5,0.144,True
F Li O V        ,0.196,0.377,19,5.9,8.75,0.145,True
Al Li N Te      ,0.252,0.327,19,56.8,5.0,0.151,True
Al Cl F Li      ,0.211,0.37,19,40.3,3.75,0.152,True
B Li N S        ,0.319,0.317,19,28.8,3.0,0.152,True
Cl Li Mo Se     ,0.161,0.478,19,10.2,8.0,0.16,True
Gd Li Se Te     ,0.102,0.729,19,12.5,16.25,0.178,True
F Li Sb Te      ,0.117,0.539,19,73.9,2.75,0.212,True
K Li N S        ,0.591,0.256,19,28.8,21.5,0.221,True
Br Li Si Te     ,0.118,0.533,19,13.7,0.75,0.248,True
Li O Se Zr      ,0.321,0.306,19,46.0,9.75,0.249,True
Li Nb O Te      ,0.167,0.395,19,64.3,9.0,0.251,False
K Li O Se       ,0.505,0.258,19,46.0,19.5,0.262,True
Ca F Li O       ,0.247,0.336,19,5.9,18.25,0.275,True
Br Li O Ti      ,0.333,0.301,19,44.4,9.0,0.308,True
Br Li S W       ,0.144,0.522,19,7.1,7.25,0.948,True
In Li N Se      ,0.242,0.358,20,39.4,4.25,0.053,True
Cl Ge Li Te     ,0.115,0.562,20,24.0,1.25,0.058,False
Cl Li Te W      ,0.148,0.532,20,24.0,8.0,0.066,True
Li N S V        ,0.252,0.353,20,28.8,10.5,0.129,True
Ba Cl Li S      ,0.319,0.323,20,1.8,18.25,0.131,True
Ga Li S Se      ,0.155,0.513,20,8.2,2.5,0.137,False
Al F Li N       ,0.289,0.341,20,10.9,4.5,0.165,True
Br Gd Li Te     ,0.103,0.792,20,13.7,15.5,0.165,True
Cs Li O S       ,0.639,0.256,20,34.9,19.75,0.174,True
F Li N Si       ,0.234,0.371,20,10.9,2.75,0.185,True
Br Cl Ge Li     ,0.108,0.619,20,9.0,1.75,0.196,True
Li N S Zr       ,0.415,0.303,20,28.8,11.75,0.207,False
Cl In Li Te     ,0.169,0.396,20,24.0,2.25,0.209,False
Cl Li Mo N      ,0.238,0.37,20,26.5,9.75,0.225,True
I Li O Ti       ,0.464,0.296,20,63.5,8.75,0.228,False
Li O Te Zr      ,0.328,0.315,20,64.3,10.0,0.239,True
Br Ca Li O      ,0.202,0.384,20,44.4,17.75,0.25,True
K Li O Te       ,0.512,0.268,20,64.3,19.75,0.252,True
F Ge Li S       ,0.158,0.507,20,42.9,1.0,0.258,True
F Li S Zn       ,0.277,0.345,20,42.9,3.5,0.267,True
Br F Li Sb      ,0.11,0.596,20,52.9,3.25,0.325,True
Li O Se Y       ,0.559,0.267,20,46.0,16.75,0.325,True
Br Li Mo S      ,0.165,0.476,20,7.1,7.5,0.437,True
In Li N Te      ,0.249,0.367,21,56.8,4.5,0.041,True
Br Cl Li Mo     ,0.162,0.545,21,9.0,8.75,0.047,True
Ce Cl F Li      ,0.148,0.576,21,40.3,15.5,0.049,True
Br Cl Li W      ,0.142,0.59,21,9.0,8.5,0.05,True
Br Li Sn Te     ,0.114,0.616,21,13.7,1.25,0.084,False
Cl K Li S       ,0.525,0.286,21,1.8,19.25,0.091,True
Cl F In Li      ,0.208,0.409,21,40.3,3.25,0.103,True
Ga Li S Te      ,0.163,0.521,21,21.8,2.75,0.126,False
F Li Si Te      ,0.165,0.488,21,73.9,1.25,0.128,True
I Li Mo O       ,0.284,0.366,21,63.5,7.5,0.128,True
Al Br Li N      ,0.245,0.388,21,37.9,4.0,0.136,True
Cl Li Nb S      ,0.183,0.412,21,1.8,8.5,0.147,True
Li N Se Zn      ,0.307,0.365,21,39.4,5.75,0.152,True
B Br Li O       ,0.221,0.389,21,44.4,0.75,0.172,True
Ba F Li O       ,0.341,0.318,21,5.9,18.75,0.192,False
Al I Li S       ,0.312,0.341,21,21.2,1.75,0.202,True
Cl Li Mo Te     ,0.169,0.486,21,24.0,8.25,0.224,False
F K Li O        ,0.544,0.281,21,5.9,19.75,0.234,True
Cl Li Mg N      ,0.247,0.38,21,26.5,5.5,0.272,True
Li N S Y        ,0.642,0.264,21,28.8,18.75,0.286,True
Li O Te Y       ,0.565,0.276,21,64.3,17.0,0.316,True
Li Mo S Te      ,0.172,0.417,21,21.8,8.5,0.448,False
Ce Li Se Te     ,0.111,0.638,21,12.5,15.0,0.955,True
Br F Li Si      ,0.158,0.546,21,52.9,1.75,0.966,True
F Li Se Sn      ,0.154,0.563,21,54.6,1.5,0.974,True
