phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Zn Sn I F,166,73.1,6.0,2.0,7.3,3.6,True
Sr Li In Te N,166,56.8,40.4,1.0,15.5,17.4,False
Li Nb Al S Br,166,7.1,21.5,2.0,9.7,7.8,False
Li Ta P Se Cl,166,10.2,49.1,0.0,8.8,7.8,False
K Li Ta Se O,166,46.0,85.4,4.0,19.8,22.0,False
Cs Li Sb Te O,166,64.3,118.1,2.0,13.8,17.2,False
K Li Mg N Cl,166,26.5,76.7,1.0,17.0,19.2,False
Li Zr Ti Br N,166,37.9,1.0,0.0,17.1,15.6,False
Li Nb Sb Se O,166,46.0,1.2,2.0,8.7,8.0,False
Li V Mo S I,166,21.2,0.3,1.0,13.8,11.8,False
Li La V S N,166,28.8,50.7,2.0,18.6,18.8,False
K Li Sn Te Br,166,13.7,83.1,3.0,13.6,15.8,False
Li Gd Se Br O,166,46.0,,,11.1,14.0,True
Li Gd Se Br O,166,46.0,,,11.1,14.0,True
Li La Se N F,166,54.6,,,11.0,11.8,True
Sr Li In Cl F,166,40.3,40.4,1.0,14.2,16.4,False
Li Mg Mo S F,166,42.9,11.0,4.0,10.8,8.6,False
Li Mg Mo Cl F,166,40.3,11.0,4.0,11.5,9.6,False
Li Y Si I Br,166,13.2,92.6,1.0,11.8,13.4,False
Li Mo I Cl O,167,63.5,,,8.7,9.0,True
Li Y Se I N,167,56.1,,,11.5,13.4,False
Li Zr Ti I Cl,167,23.4,1.0,0.0,16.0,14.8,False
Li Mg Ge O F,167,5.9,11.7,2.0,7.0,3.2,True
Li Mg Br Cl F,167,52.9,,,8.2,6.8,True
Li Sc Ga S F,167,42.9,16.4,0.0,10.4,9.0,False
Li Ca Al Se Br,167,1.1,68.9,1.0,13.6,15.4,False
Li Gd Te S Cl,167,24.0,,,11.2,13.8,False
Li Mg V Te F,167,73.9,10.6,3.0,11.4,9.4,False
Li Zn Ga Te F,167,73.9,15.8,1.0,8.2,4.2,False
Li Al B Se F,167,54.6,64.6,0.0,6.4,2.2,True
Cs Sr Li S F,167,42.9,37.1,1.0,27.6,29.8,False
Li Al Mo Se Br,167,1.1,14.8,3.0,9.6,7.4,False
Li Nb B N F,167,10.9,100.0,2.0,10.3,8.6,True
Li Zn Si Te Se,167,12.5,63.0,2.0,7.2,3.2,False
Sr Li V S Cl,167,1.8,69.8,3.0,18.5,20.4,False
Li Sn Mo Br Cl,167,9.0,7.1,2.0,9.1,7.2,False
Sr Li Mg Br F,167,52.9,53.5,0.0,15.4,17.6,False
Li Zn Mo I N,167,56.1,13.5,4.0,11.6,9.4,False
Sr Li Zr Cl F,167,40.3,53.5,2.0,20.4,22.6,False
Li Ge Mo N O,167,4.8,0.6,2.0,10.0,7.8,True
Li Mg Zr Te S,167,21.8,0.0,2.0,11.9,10.4,False
Li V Ge N F,167,10.9,1.0,1.0,10.4,8.4,False
Li La W N Cl,167,26.5,52.9,3.0,17.8,18.0,False
Sr Li Ca I N,167,56.1,15.8,0.0,27.3,29.2,False
Li La Ta Br O,167,44.4,42.9,2.0,17.1,17.4,False
Li Ga Mo S Cl,167,1.8,2.0,3.0,9.4,7.2,False
Cs Li Si Te F,167,73.9,235.2,3.0,14.0,16.2,False
Li Al Ge Se F,167,54.6,14.1,1.0,6.6,2.2,True
Li Sb W Br Cl,167,9.0,8.3,3.0,8.6,7.8,False
Li Y Mg I Cl,167,23.4,20.9,1.0,14.4,16.0,False
Li Mg Mo Se Cl,167,10.2,11.0,4.0,10.8,8.6,False
Sr Li Ca Te F,167,73.9,15.8,0.0,26.7,28.6,False
Sr Li Ca Te F,167,73.9,15.8,0.0,26.7,28.6,False
Li Mg Nb N Cl,167,26.5,4.9,3.0,12.5,10.6,False
K Li Y Se F,167,54.6,46.2,2.0,26.2,28.4,False
Ba Li Sb Te I,167,0.5,79.5,1.0,12.4,15.6,False
Ba Li Sb Te I,167,0.5,79.5,1.0,12.4,15.6,False
Li La Mg Te S,167,21.8,36.3,1.0,13.6,13.8,False
Li Y Ge Se N,167,39.4,35.1,1.0,13.9,15.2,False
Li Ga W N Cl,167,26.5,0.9,3.0,10.9,8.6,False
Sr Li Te S Br,167,21.8,,,12.1,15.8,False
Li Ca Sc Te O,167,64.3,28.8,1.0,20.0,21.8,False
Li Hf P O F,167,5.9,54.5,1.0,9.1,8.4,True
Li Sn I Cl F,167,73.1,,,7.0,4.6,True
Li Y B Se Br,167,1.1,153.7,0.0,11.7,13.2,False
Li Sc Zn O F,167,5.9,0.6,1.0,11.5,10.2,False
Cs Li Sn Se O,167,46.0,118.1,3.0,14.0,16.2,True
Li Zr Ga Br N,167,37.9,13.2,1.0,11.5,10.0,False
Li Nb B Cl O,167,32.5,100.0,2.0,8.6,7.0,True
K Ba Li S Br,167,7.1,2.0,1.0,27.0,29.2,False
Li Nb Zn Te O,167,64.3,7.3,3.0,11.1,9.2,False
K Li Te Br Cl,168,24.0,,,13.5,17.8,False
Li Y Te P F,168,73.9,89.1,2.0,12.3,14.4,False
Li Mg Ta Cl F,168,40.3,4.9,3.0,11.9,10.4,False
Cs Li Si Te S,168,21.8,235.2,3.0,14.0,16.2,False
K Li V Se N,168,39.4,95.5,4.0,21.2,23.4,False
Li Mo W Cl F,168,40.3,1.1,0.0,14.7,12.8,False
Li Sb W I O,168,63.5,8.3,3.0,7.8,6.8,False
Li Ca Te I Cl,168,24.0,,,12.5,16.4,False
Li Ca Te I Cl,168,24.0,,,12.5,16.4,False
Li Al In Cl F,168,40.3,39.3,0.0,7.9,3.8,False
Li Sc Zn S Cl,168,1.8,0.6,1.0,11.2,9.8,False
Li Ca S Br F,168,52.9,,,12.9,17.2,False
Ba Li W I N,168,56.1,94.3,4.0,19.2,21.2,False
Sr Li Mg Te Cl,168,24.0,53.5,0.0,15.1,17.0,False
Li In Ge S Cl,168,1.8,22.1,1.0,6.0,1.4,False
Li Te P W Cl,168,24.0,39.4,1.0,8.5,7.0,False
Li Hf S Br O,168,44.4,,,8.7,9.4,True
Li Te Mo Se F,168,73.9,,,8.6,8.2,True
Ba Li Nb Te Cl,168,24.0,81.7,3.0,19.2,21.2,False
Cs Li V I O,168,63.5,132.8,4.0,19.3,21.6,False
Li Zr Sn S N,168,28.8,3.6,0.0,11.1,9.6,False
Li Y Al I Cl,168,23.4,54.1,0.0,13.4,15.0,False
Li W Se N F,168,54.6,,,8.5,6.8,True
Sr Li Sb Br F,168,52.9,59.0,1.0,13.0,16.4,False
Li Sc Si N O,168,4.8,63.9,1.0,10.6,9.2,False
Sr Li Ge Te O,168,64.3,71.4,2.0,12.9,14.8,False
Li Te Mo P Se,168,12.5,40.9,1.0,9.0,7.6,False
Li Y Sb S I,168,21.2,25.3,0.0,11.3,13.8,False
Li Y Nb S Br,168,7.1,26.8,2.0,17.9,19.2,False
Li V Zn S I,168,21.2,13.2,3.0,10.2,8.2,False
Ba Li Mg Se I,168,12.0,73.3,0.0,14.6,16.6,False
Li V Zn Br N,168,37.9,13.2,3.0,12.0,10.0,False
Li Nb Te N Cl,168,56.8,,,8.9,7.6,False
Li Ge W N Cl,168,26.5,0.4,2.0,9.9,7.6,False
Li Y V N Cl,168,26.5,33.8,2.0,19.5,20.8,False
Ba Li Y Se Br,168,1.1,43.3,1.0,25.2,27.2,False
Li Ca Zr Se I,168,12.0,32.6,2.0,19.2,21.0,False
Rb Li Te S Cl,168,24.0,,,13.2,17.2,False
Li Zn Sb Te F,168,73.9,6.0,1.0,7.0,4.2,True
Li Zr Zn Te Cl,168,24.0,2.3,2.0,11.5,10.0,False
Li In Te Br F,168,73.9,,,6.5,4.0,True
Li Zr Al Te Se,168,12.5,27.4,1.0,11.1,9.6,False
Li La P Se N,168,39.4,113.1,2.0,12.4,13.2,False
Li Sc Zn Se Cl,168,10.2,0.6,1.0,11.4,10.0,False
Li Ti Te Mo Cl,168,24.0,9.9,2.0,14.9,13.2,False
Li Ta P S N,168,28.8,49.1,0.0,10.2,9.0,False
Ba Li Ca O F,168,5.9,30.7,0.0,26.5,28.6,False
Li Ti Sb Se S,168,8.2,2.6,1.0,9.1,8.6,False
Li Ti Sb Se O,168,46.0,2.6,1.0,8.9,8.4,False
Li Ti Sb Se S,168,8.2,2.6,1.0,9.1,8.6,False
Li Y Sb I Cl,168,23.4,25.3,0.0,12.0,14.8,False
Li V Ga N F,168,10.9,2.3,2.0,11.4,9.4,True
Li In W Cl F,168,40.3,22.6,3.0,10.0,8.0,False
Li Y Sb I Cl,168,23.4,25.3,0.0,12.0,14.8,False
Li Ge P Br Cl,168,9.0,40.0,1.0,5.9,2.0,False
Li Ti Ga Te N,168,56.8,12.1,1.0,12.1,10.4,False
Cs Li V N Cl,168,26.5,132.8,4.0,21.2,23.4,False
Li Ti In Br F,169,52.9,10.4,1.0,10.4,9.0,False
Li Mg W Br Cl,169,9.0,12.2,4.0,11.0,9.0,False
Li Nb Zn Se S,169,8.2,7.3,3.0,11.1,9.2,False
Li Ta Sb Cl F,169,40.3,1.2,2.0,9.5,9.2,True
Li Sn Te I F,169,73.9,,,6.0,3.2,True
Li Sn Te I F,169,73.9,,,6.0,3.2,True
Li V Sn Te Cl,169,24.0,6.8,1.0,9.2,7.2,False
K Li Sb Br Cl,169,9.0,83.1,2.0,13.5,17.2,False
Li Mg Br N Cl,169,37.9,,,7.0,4.0,True
Li Y V N O,169,4.8,33.8,2.0,19.5,20.8,False
Li Al Si I Br,169,13.2,25.0,1.0,6.1,2.0,False
Li Te Mo Se Br,169,13.7,,,8.2,7.8,False
Li Si Sb Se N,169,39.4,53.7,1.0,6.7,2.6,False
Ba Li Sb Se I,169,12.0,79.5,1.0,12.2,15.4,False
Ba Li Sb Se I,169,12.0,79.5,1.0,12.2,15.4,False
Li Ca Ge S F,169,42.9,48.1,2.0,12.6,14.4,False
Rb Li Se S Cl,169,10.2,,,13.2,17.4,False
Li Gd V O F,169,5.9,38.3,2.0,17.7,18.6,False
K Ba Li Br O,169,44.4,2.0,1.0,27.1,29.4,False
Li Sc Nb S Cl,169,1.8,7.9,2.0,15.4,14.0,False
Ba Li Ga S F,169,42.9,96.1,1.0,13.8,15.8,True
Ba Li Br Cl O,169,44.4,,,13.1,17.6,True
Li In Sb Br F,169,52.9,13.3,0.0,6.5,3.4,True
Li Zr B Te Br,169,13.7,109.8,1.0,9.1,7.8,False
Sr Li Te S F,169,73.9,,,12.5,16.2,False
Li La Mg Se S,169,8.2,36.3,1.0,13.4,13.6,False
Li Nb N O F,169,10.9,,,8.8,7.6,True
Ba Li Zn Te I,169,0.5,69.3,0.0,14.6,16.6,False
Li Ca Sc Se O,169,46.0,28.8,1.0,19.8,21.6,False
Cs Li Si Te N,169,56.8,235.2,3.0,15.6,17.8,False
Li Ca Sc Se O,169,46.0,28.8,1.0,19.8,21.6,False
Rb Li Al Se S,169,8.2,145.9,2.0,15.0,17.2,False
Li B Te Br Cl,169,24.0,,,6.0,3.4,False
Sr Li La N Cl,169,26.5,12.6,1.0,24.5,26.4,False
Li In B Se F,169,54.6,129.3,0.0,6.2,1.8,True
Li B P I Cl,169,23.4,34.1,2.0,5.8,2.2,True
Li Ti W S O,169,34.9,11.1,2.0,14.3,12.6,False
Li B W Se F,169,54.6,87.0,3.0,8.5,6.4,False
Sr Li Ti Br Cl,169,9.0,55.0,2.0,19.6,21.8,False
Cs Li Si S I,169,21.2,235.2,3.0,13.0,15.2,False
Li Ge Sb Cl F,169,40.3,7.8,1.0,6.3,2.8,True
Li Nb Si Te Br,169,13.7,51.9,1.0,8.7,6.8,False
Li Gd Sb S Cl,169,1.8,29.5,0.0,11.2,13.2,False
K Li Mg I O,169,63.5,76.7,1.0,15.1,17.4,False
Li Nb Sn Cl F,169,40.3,1.2,1.0,9.8,8.2,True
Li Gd Sn Br O,169,44.4,29.5,1.0,11.5,12.4,False
Li V Mo Se Cl,169,10.2,0.3,1.0,14.4,12.4,False
Li Ti Zn Se Cl,169,10.2,3.3,2.0,11.1,9.4,False
Li Ca Y Se Br,169,1.1,9.6,1.0,25.0,26.8,False
K Li Ti Se I,169,12.0,78.5,3.0,19.6,21.8,False
Li Zr V N O,169,4.8,10.6,1.0,16.7,15.2,False
Li Ti V Br F,169,52.9,9.5,1.0,15.6,14.2,False
Li V Se I F,169,73.1,,,8.9,9.2,True
Li Mg V Se N,169,39.4,10.6,3.0,12.8,10.8,False
Li Y Te P Br,169,13.7,89.1,2.0,11.9,14.0,False
Li Ta Ge I O,169,63.5,6.5,1.0,8.5,6.8,False
Cs Li Zn Te O,170,64.3,105.7,1.0,16.0,18.2,False
Li Ti Ga Cl F,170,40.3,12.1,1.0,10.8,9.4,False
Ba Li Al Te F,170,73.9,120.7,1.0,14.4,16.4,False
Li La Sn Se O,170,46.0,41.2,1.0,11.2,11.4,False
Ba Li V Cl F,170,40.3,91.6,3.0,19.5,21.8,True
Sr Li Mo Cl F,170,40.3,70.3,4.0,19.0,21.2,False
Li La Sn N F,170,10.9,41.2,1.0,12.8,13.0,False
K Li P Br F,170,52.9,176.4,4.0,13.7,17.0,True
K Li Ti Br Cl,170,9.0,78.5,3.0,20.3,22.8,False
Li Nb Sb N Cl,170,26.5,1.2,2.0,9.5,8.2,False
Li Ca Nb Te Cl,170,24.0,39.0,3.0,19.0,20.8,False
Li La Sb Te O,170,64.3,41.2,0.0,11.0,12.4,False
Li Ca Gd N O,170,4.8,6.0,1.0,25.6,27.4,False
Li Nb W I O,170,63.5,7.0,1.0,13.8,12.0,False
Li Nb Si Br Cl,170,9.0,51.9,1.0,9.0,7.4,False
Li Ti Te P N,170,56.8,54.8,1.0,10.7,9.6,False
K Li Sn Se I,170,12.0,83.1,3.0,13.2,15.4,False
Li P I Br Cl,170,23.4,,,7.2,5.0,False
Cs Sr Li S N,170,28.8,37.1,1.0,29.2,31.4,False
Li Zr Sb I N,170,56.1,3.6,1.0,9.5,8.6,False
Li Zn W S Cl,170,1.8,14.8,4.0,10.3,8.0,False
Li Y Al Te I,170,0.5,54.1,0.0,13.1,14.4,False
Li Si Te Mo I,170,0.5,43.5,2.0,8.2,6.0,False
Sr Li Al Te Br,170,13.7,95.6,1.0,13.9,15.8,False
Cs Li Ta Br O,170,44.4,120.7,4.0,19.9,22.2,False
Li Sc Al Te S,170,21.8,31.1,0.0,11.0,9.6,False
Li Zr Ge Te N,170,56.8,11.7,0.0,11.3,9.8,False
Cs K Li Te N,170,56.8,19.1,0.0,30.6,32.8,False
Li Gd Si S F,170,42.9,99.1,1.0,11.4,12.2,False
Li Y Te Br N,170,56.8,,,11.9,13.8,False
Li Y Sn Br N,170,37.9,25.3,1.0,13.5,14.8,False
Sr Li Mg Se F,170,54.6,53.5,0.0,15.1,17.0,False
Li Sc Al Te Se,170,12.5,31.1,0.0,11.2,9.8,False
Sr Li Sb N F,170,10.9,59.0,1.0,13.5,16.0,False
Li Zr Br Cl F,170,52.9,,,10.6,11.6,True
Li Sc I N Cl,170,56.1,,,9.3,8.8,False
Li B Te Mo Se,170,12.5,89.0,3.0,9.0,7.0,False
Li Y Mo S I,170,21.2,34.2,3.0,17.1,18.4,False
Li Ca Te Br Cl,170,24.0,,,12.7,16.6,False
Li La Si Te Br,170,13.7,117.0,1.0,10.8,11.0,False
Li Y I Br N,170,56.1,,,11.8,14.0,False
Li Ga W S Br,170,7.1,0.9,3.0,9.1,6.8,False
Li Ca Ta S I,170,21.2,39.0,3.0,18.4,20.2,False
Li W Se Br F,170,54.6,,,8.8,8.8,True
Li V Sb S N,170,28.8,6.8,2.0,9.6,8.2,True
Li Ca Zr Te Br,170,13.7,32.6,2.0,19.6,21.4,False
Li Si Te Se N,170,56.8,,,6.1,2.0,False
Li Ge W S Br,170,7.1,0.4,2.0,8.1,5.8,False
Sr Li Ge Se N,170,39.4,71.4,2.0,14.5,16.4,False
Li Ge Sb Br Cl,170,9.0,7.8,1.0,5.9,2.4,False
K Li W Cl F,170,40.3,98.3,5.0,19.5,22.0,True
Sr Li Sb Se Cl,170,10.2,59.0,1.0,12.5,15.6,False
Li Zr Ga Te Cl,170,24.0,13.2,1.0,10.5,9.0,False
Li Ca B Se Cl,171,10.2,178.0,1.0,12.4,14.4,False
Cs Ba Li Cl O,171,32.5,21.5,1.0,27.7,30.0,False
Li Ga Sn Cl F,171,40.3,9.2,1.0,7.2,3.0,True
Ba Li Ta S I,171,21.2,81.7,3.0,18.6,20.6,False
Li Ti Sb I F,171,73.1,2.6,1.0,9.2,9.0,False
Ba Li P Br Cl,171,9.0,170.9,3.0,12.9,16.0,True
K Li S I Cl,171,23.4,,,13.3,18.0,False
Li Ga Sn Cl F,171,40.3,9.2,1.0,7.2,3.0,True
Li Sc Te Se Cl,171,24.0,,,9.2,9.6,True
Li V Si Se O,171,46.0,44.0,1.0,8.6,6.6,False
Li Nb In N F,171,10.9,14.6,2.0,11.3,9.4,False
Li Sc Al Se S,171,8.2,31.1,0.0,10.8,9.4,False
Sr Li Zr Br O,171,44.4,53.5,2.0,19.4,21.4,False
Li Y Ti S N,171,28.8,22.1,1.0,20.3,21.6,False
Li Hf Ti O F,171,5.9,0.2,0.0,15.9,14.4,False
K Li V I N,171,56.1,95.5,4.0,20.4,22.6,False
Li Nb Si Se F,171,54.6,51.9,1.0,8.9,7.0,False
Li B I Cl O,171,63.5,,,6.0,3.8,True
Cs Li Ti Te O,171,64.3,112.5,3.0,20.6,22.8,False
Li Gd Se S Cl,171,10.2,,,11.2,14.0,False
K Li Se Br Cl,171,10.2,,,13.5,18.0,True
Li V Ga Br N,171,37.9,2.3,2.0,11.0,9.0,False
Li Ta Al I N,171,56.1,21.5,2.0,11.2,9.4,False
Li Ga Mo N O,171,4.8,2.0,3.0,11.0,8.8,True
Li Ca B Te Cl,171,24.0,178.0,1.0,12.6,14.6,False
Li Ta B Se Cl,171,10.2,100.0,2.0,8.8,7.2,True
Li V Si Te O,171,64.3,44.0,1.0,8.8,6.8,False
Sr Li La S F,171,42.9,12.6,1.0,23.1,25.0,False
Sr Li La S F,171,42.9,12.6,1.0,23.1,25.0,False
Li Ca Ti Te I,171,0.5,33.9,2.0,19.0,20.8,False
Li Ge Te Cl F,171,73.9,,,6.3,3.4,True
Sr Li Sb S I,171,21.2,59.0,1.0,11.9,15.0,False
K Li Ta Te O,171,64.3,85.4,4.0,20.0,22.2,False
Li B S Br F,171,52.9,,,6.2,4.0,True
Li Te Mo Se N,171,56.8,,,9.0,7.4,True
Li Ca B Cl O,171,32.5,178.0,1.0,12.3,14.4,True
Li Mg Zr Te F,171,73.9,0.0,2.0,11.9,10.4,False
Sr Li B Se Br,171,1.1,222.0,1.0,12.3,14.4,True
Li Ca Ge Cl O,171,32.5,48.1,2.0,12.5,14.4,True
Li La Ge S N,171,28.8,52.2,1.0,12.6,12.8,False
Ba Sr Li Te F,171,73.9,12.9,0.0,27.0,29.0,False
Sr Li In Te Cl,171,24.0,40.4,1.0,13.7,15.6,False
Li La Si Cl F,171,40.3,117.0,1.0,11.5,12.0,False
Li Ca Se I Cl,171,23.4,,,12.5,16.6,False
Li Zr Sb Te Cl,171,24.0,3.6,1.0,9.3,9.0,False
Li Nb Sb Te Cl,171,24.0,1.2,2.0,8.9,8.2,False
Li La B Se N,171,39.4,185.9,0.0,12.6,13.0,False
Sr Li Zr N Cl,171,26.5,53.5,2.0,21.1,23.0,False
Sr Li Si Se Br,171,1.1,144.4,2.0,12.3,14.2,False
Li Y Zr I O,172,63.5,20.9,1.0,18.6,20.0,False
Sr Li Y Cl F,172,40.3,26.9,1.0,26.0,28.2,False
Li Ge Se Cl F,172,54.6,,,6.3,3.6,True
Cs Li Sb Se O,172,46.0,118.1,2.0,13.6,17.0,False
Li Ga Sn Te F,172,73.9,9.2,1.0,6.9,2.4,False
Li Nb In Te Se,172,12.5,14.6,2.0,10.3,8.4,False
Li Ca In N Cl,172,26.5,21.3,1.0,14.8,16.6,False
Li B S I F,172,73.1,,,6.0,3.8,True
Li Sc Te O F,172,73.9,,,9.3,9.8,True
Li Ca Hf Te O,172,64.3,34.1,2.0,19.6,21.4,False
Li V B Cl F,172,40.3,89.6,2.0,9.3,7.8,True
Li Nb Se N Cl,172,39.4,,,8.7,7.4,True
Li In P I Cl,172,23.4,70.9,2.0,6.1,2.6,False
Ba Sr Li I N,172,56.1,12.9,0.0,27.6,29.6,False
Li Nb Te Se S,172,21.8,,,8.9,8.8,False
Li Ti Nb Te O,172,64.3,3.9,1.0,15.5,13.8,False
Li Zn B I Cl,172,23.4,114.6,1.0,6.7,3.2,True
Li Mg Al Br F,172,52.9,27.4,1.0,8.6,5.0,False
Sr Li La S N,172,28.8,12.6,1.0,24.7,26.6,False
Li Nb Sn Te O,172,64.3,1.2,1.0,9.3,7.4,False
Li Mg In Br Cl,172,9.0,9.3,1.0,8.0,4.4,False
Ba Li Ga O F,172,5.9,96.1,1.0,13.9,16.0,True
Sr Li Se S N,172,39.4,,,12.7,15.2,False
Sr Li V O F,172,5.9,69.8,3.0,18.8,20.8,False
Li La Sc S Cl,172,1.8,32.4,0.0,18.0,18.2,False
Li Mg Ga Br O,172,44.4,13.2,1.0,7.6,3.8,False
K Li Hf S O,172,34.9,78.8,3.0,20.0,22.2,False
Li In Sn Te I,172,0.5,13.3,1.0,6.2,1.6,False
Li Y Zn S Br,172,7.1,18.2,1.0,13.7,15.0,False
K Li Ta N F,172,10.9,85.4,4.0,21.4,23.6,True
Li Zr Nb Se O,172,46.0,4.9,1.0,15.5,14.0,False
Li La Si Se F,172,54.6,117.0,1.0,11.0,11.2,False
Ba Li La O F,172,5.9,27.1,1.0,23.3,25.4,False
Li Y Zn Br F,172,52.9,18.2,1.0,14.6,16.2,False
Li Sc V Cl O,172,32.5,13.8,2.0,15.3,14.0,False
Li Gd Nb S O,172,34.9,31.1,2.0,17.6,18.4,False
Li Sn Mo Se Br,172,1.1,7.1,2.0,8.6,6.4,False
K Li I Cl O,172,63.5,,,13.5,18.2,True
K Li I Cl O,172,63.5,,,13.5,18.2,True
K Li La Te N,172,56.8,29.7,2.0,25.8,28.0,False
Li La Sb Br N,172,37.9,41.2,0.0,11.4,12.2,False
Li Y Ga Te S,172,21.8,36.8,0.0,13.5,14.8,False
Ba Li Te Mo Se,172,12.5,92.3,4.0,19.0,21.0,False
Li Ca Ga Te Cl,172,24.0,50.0,1.0,13.8,15.6,False
Li La Ti Br N,172,37.9,37.6,1.0,18.8,19.0,False
Cs Li Zn Se Cl,172,10.2,105.7,1.0,15.8,18.0,True
Li Te Mo I N,172,56.8,,,8.2,6.6,True
Li Y Si Te F,172,73.9,92.6,1.0,12.3,13.6,False
Sr Li Ca Se Br,172,1.1,15.8,0.0,26.1,28.0,False
Li Ti Ge Te I,172,0.5,10.6,0.0,8.9,7.2,False
Li Ta Sn S Cl,172,1.8,1.2,1.0,9.0,7.2,False
Li La Sb Te Cl,173,24.0,41.2,0.0,11.0,12.4,False
Cs Li Y Se O,173,46.0,74.0,2.0,26.4,28.6,False
Li Si W I N,173,56.1,42.0,2.0,9.3,7.0,False
Li V W O F,173,5.9,1.4,1.0,14.3,12.4,False
Sr Li Zn Te Br,173,13.7,50.0,0.0,14.7,16.6,False
Li In Se Br F,173,54.6,,,6.5,4.2,True
Li Zn Sn Te F,173,73.9,6.0,2.0,7.4,3.4,False
Sr Li Ga Te O,173,64.3,73.7,1.0,13.9,15.8,False
Li Ca Se Br Cl,173,10.2,,,12.7,16.8,False
Li La Zn Te O,173,64.3,33.2,1.0,13.2,13.4,False
Cs Sr Li N Cl,173,26.5,37.1,1.0,29.0,31.2,False
Li Zr V Br Cl,173,9.0,10.6,1.0,15.6,14.4,False
Li La Mg Te Cl,173,24.0,36.3,1.0,13.4,13.6,False
Sr Li Ti I O,173,63.5,55.0,2.0,18.8,20.8,False
Li Ta Sb Br O,173,44.4,1.2,2.0,8.5,8.0,True
Li Hf Zn O F,173,5.9,3.5,2.0,11.3,9.8,True
Li Gd Mg Te O,173,64.3,25.0,1.0,14.0,14.8,False
Ba Li Si Br F,173,52.9,175.9,2.0,13.1,15.4,False
Li Sb Mo I N,173,56.1,7.1,3.0,8.8,7.2,False
Li Si Te W Cl,173,24.0,42.0,2.0,8.5,6.2,False
Li Al V Br Cl,173,9.0,15.2,2.0,10.3,8.6,False
Li Nb Sb Se Cl,173,10.2,1.2,2.0,8.7,8.0,False
Li Ca Nb Se Cl,173,10.2,39.0,3.0,18.8,20.6,False
Li Ca Nb Se Cl,173,10.2,39.0,3.0,18.8,20.6,False
Li Nb Br Cl O,173,44.4,,,9.2,9.8,True
Li La Sb Te Cl,173,24.0,41.2,0.0,11.0,12.4,False
Li Ti Si Te N,173,56.8,57.7,0.0,10.9,9.2,False
Li In Mo S Br,173,7.1,21.3,3.0,9.0,6.8,False
Li V In Se I,173,12.0,20.9,2.0,9.2,7.2,False
Li Zr Sn Te Cl,173,24.0,3.6,0.0,9.7,8.2,False
Ba Li Al Se F,173,54.6,120.7,1.0,14.2,16.2,False
Li In Te W N,173,56.8,22.6,3.0,11.3,9.0,False
Cs Sr Li I O,173,63.5,37.1,1.0,27.1,29.4,False
Li Ca Al I O,173,63.5,68.9,1.0,13.3,15.2,False
Li Ti Ga Te Se,173,12.5,12.1,1.0,10.7,9.0,False
Ba Li Ge Cl O,173,32.5,93.5,2.0,12.7,14.8,True
Rb Li Sn S Cl,173,1.8,100.0,3.0,13.6,15.8,False
Li La In Te Se,173,12.5,24.7,0.0,12.4,12.6,False
K Li Ti Te Br,173,13.7,78.5,3.0,20.0,22.2,False
Li Sb Te Mo S,173,21.8,7.1,3.0,8.8,7.8,False
Li Zr Zn I F,173,73.1,2.3,2.0,11.6,10.4,False
Li Ca Si Br F,173,52.9,111.1,2.0,12.9,15.0,False
Li Ca Gd S N,173,28.8,6.0,1.0,25.8,27.6,False
Li La Ti Te O,173,64.3,37.6,1.0,17.8,18.0,False
Li Ca I O F,173,73.1,,,12.9,17.2,True
K Li Mo S Br,173,7.1,96.1,5.0,18.6,20.8,False
K Li Si I Cl,173,23.4,181.5,3.0,13.3,15.8,False
Li La Ti Te O,173,64.3,37.6,1.0,17.8,18.0,False
Li Ca La S Cl,173,1.8,2.8,1.0,22.8,24.6,False
Li Gd Zr Br O,173,44.4,25.0,1.0,18.3,19.2,False
Li Gd Zr Br O,173,44.4,25.0,1.0,18.3,19.2,False
Li Si Sn Se N,173,39.4,53.7,0.0,7.5,2.6,False
Ba Sr Li Te S,173,21.8,12.9,0.0,27.0,29.0,False
Li Nb Si Se Br,174,1.1,51.9,1.0,8.5,6.6,False
Li Ca Ga Se Cl,174,10.2,50.0,1.0,13.6,15.4,False
Li Al Ge S Br,174,7.1,14.1,1.0,6.0,1.6,False
Ba Li Zn Br Cl,174,9.0,69.3,0.0,15.1,17.4,False
Ba Li Zn Br Cl,174,9.0,69.3,0.0,15.1,17.4,False
Li Zr Se I F,174,73.1,,,9.4,10.2,True
Li Zr W N O,174,4.8,12.2,2.0,16.1,14.6,False
K Li V Cl F,174,40.3,95.5,4.0,20.1,22.6,True
Ba Li La S F,174,42.9,27.1,1.0,23.2,25.2,False
Li Y Sb S N,174,28.8,25.3,0.0,12.9,14.8,False
Sr Li Te S O,174,64.3,,,12.3,16.0,True
Li Nb Si N F,174,10.9,51.9,1.0,10.3,8.4,False
Li Zr Ge Te Br,174,13.7,11.7,0.0,9.3,7.8,False
Li Y Mg Se N,174,39.4,20.9,1.0,16.1,17.4,False
Li Ta Se N O,174,46.0,,,8.8,7.6,True
Li Sb Mo Se S,174,8.2,7.1,3.0,8.6,7.6,False
Li Ga B Cl O,174,32.5,85.4,0.0,6.0,1.8,True
Li B Te W Cl,174,24.0,87.0,3.0,8.5,6.4,False
