phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li B P S Cl,9,1.8,34.1,2.0,5.5,1.6,True
Li P S Br Cl,9,9.0,,,6.6,4.4,False
Li Sb S Br O,9,44.4,,,6.4,4.0,False
Li B Sb Cl O,10,32.5,102.4,0.0,5.6,2.2,True
Li Si B S O,10,34.9,31.7,1.0,5.3,0.8,False
Li Si P S Br,10,7.1,1.9,1.0,5.1,1.2,False
Li Ge Se S O,10,46.0,,,5.4,2.4,True
Li Al Sn N O,10,4.8,23.0,1.0,8.0,3.6,False
Li Mg Zn S Cl,10,1.8,2.3,0.0,8.7,4.8,False
Li In Si Cl O,10,32.5,74.1,1.0,5.9,1.4,True
Li Si P Br Cl,10,9.0,1.9,1.0,5.8,2.2,False
Li Sn Cl O F,10,40.3,,,6.6,4.2,True
Li Zn B Cl O,10,32.5,114.6,1.0,6.5,2.8,True
Li Zn Ge S O,10,34.9,14.3,2.0,6.6,2.6,True
Li Zn S Cl F,10,42.9,,,7.3,5.8,True
Ba Li Zn Cl O,10,32.5,69.3,0.0,14.7,16.8,False
Li Ca Sb S Cl,10,1.8,37.3,1.0,12.2,15.2,False
Li In P S O,10,34.9,70.9,2.0,5.8,2.0,False
Li Al Sb S F,10,42.9,23.0,0.0,6.2,3.0,True
Li Ti N Cl O,10,32.5,,,8.8,7.8,True
Li Sn N Cl O,10,32.5,,,5.6,1.4,True
Li Mg Al Te S,10,21.8,27.4,1.0,8.5,4.6,False
Li Ca Se Cl O,11,46.0,,,12.3,16.2,False
Li P Se S Br,11,8.2,,,5.9,3.2,False
Li Ca Te Cl O,11,64.3,,,12.3,16.0,True
Li In Se S O,11,46.0,,,5.8,3.2,True
Li In P N O,11,4.8,70.9,2.0,7.2,3.2,True
K Li S N O,11,34.9,,,13.0,15.8,True
Li Ca Si N O,11,4.8,111.1,2.0,13.8,15.6,False
Li Te P S Br,11,21.8,,,5.9,3.0,False
Li Ca P O F,11,5.9,107.3,3.0,12.5,15.2,False
Li Zn S Br O,11,44.4,,,6.3,4.6,True
Li Al B S O,11,34.9,64.6,0.0,6.0,1.8,True
Li B Se S Cl,11,10.2,,,5.5,2.8,True
Li Ga Si S O,11,34.9,40.7,1.0,5.9,1.4,False
Li Mg Al Se S,11,8.2,27.4,1.0,8.3,4.4,False
Li In Te S O,11,64.3,,,5.8,3.0,True
Li Ca Si S Cl,11,1.8,111.1,2.0,12.2,14.0,False
Li Mg P S Cl,11,1.8,56.4,3.0,6.5,3.4,False
Li Ge Te S O,11,64.3,,,5.4,2.2,False
K Li Si Cl O,11,32.5,181.5,3.0,13.1,15.4,True
Li Ca Ti Cl O,11,32.5,33.9,2.0,19.1,21.0,False
Ba Li Si S O,11,34.9,175.9,2.0,12.4,14.4,False
Li Zn P S Br,12,7.1,60.0,3.0,6.2,3.0,False
Li B Te Cl O,12,64.3,,,5.6,2.8,True
Li B Se Cl O,12,46.0,,,5.6,3.0,True
Li Zn In N O,12,4.8,6.8,1.0,9.0,5.0,False
Ba Li Al S O,12,34.9,120.7,1.0,13.8,15.8,False
Ba Li Te Cl O,12,64.3,,,12.5,16.4,True
Li Mg P Cl O,12,32.5,56.4,3.0,6.6,3.6,True
Ba Li P N O,12,4.8,170.9,3.0,13.8,16.4,True
Ba Li Sb Cl O,12,32.5,79.5,1.0,12.5,15.8,True
Ba Li In S O,12,34.9,58.5,1.0,13.4,15.4,False
Li Al V Cl O,12,32.5,15.2,2.0,9.9,8.0,False
Li B Sb S O,12,34.9,102.4,0.0,5.5,2.0,True
Li Mg Te S Cl,12,24.0,,,6.5,4.4,False
Li Al Si Br O,12,44.4,25.0,1.0,5.9,1.6,True
