Br C K O Os
Al F Na O P
As Ca Cl O Pb
Al Cl N S Se
C Cl O Os Os
Ba Cl Ir Nb O
Ba Cl O Ru Ta
Au Ba C K O
Br Cr Cu Cu Se
F Fe Ni O Ta
F Fe Nb Ni O
Ca Cd F O P
Al Cl Li O Si
Al Cl K O Si
Al I Na O Si
Ba C Cl K Zr
Ca Cl Cu Na O
Cr Cu S Se Sn
Ba Br Cl Cu O
Cs F K O Ti
Br C K N O
As Cu Ge In Se
Ag Bi Sb Se Te
Cl Mo N N S
Cl Fe N S S
Al F Li O P
F I N O S
Cl N S S Zr
Cl Cr Hg K O
Cl N S S Ti
F I I O S
Ag C N Rb S
Ag C Cs N S
Cs F O O V
C Cr Fe O Se
Br Eu O P Sr
Na O Pr S Si
Eu F O P Sr
F K N O S
As Cl Cu O V
F Li Ni O P
Cl La O S Ti
Cl K Mo O P
Cl Mo O P Rb
Cl Cu La O Ta
Ca Cl Cu Nb O
La O Se Ti Ti
F Na O P Y
O Se Sm Ti Ti
Br Ce S S Sb
Br La S S Sb
Ca F Na O S
Ca Cl Na O S
Ag Cr S Se Sn
Co Cr Cu S Se
F N S S Sb
Bi Cl Cu O Se
Bi Cu I O Se
F K O Sc Si
Ca F Mn O P
Cl Ga Na O Si
Br Ga Na O Si
F N O Rb Te
Bi Cl O Pb W
Ca F Na O Si
F Mn Na O P
I O Ta Te Te
C Cs N Ni S
C Ca F K O
Cl Co N O Rb
Cl N Re S S
As C Cl F S
Ag Bi Pb S Se
As Cl Cu O Pb
Ba Cl O Re Sr
Ba Ca Cl O Re
F Hg Nb O S
F Hg O S Ta
Ca Ga La O S
Ga La O S Zn
F Na Nb Nb O
C F Mn O Te
Ba Cl Fe O Pt
C Cl N N S
I P P Se Se
C N Pb S Zn
Cl Fe K Li S
Cl Na O P Zr
Ca F Nb Nb O
C C Cd Cl N
Ca Mg O S Si
Al Ba Cl Cr O
Bi Ca Cl Cs O
Er F O Si Y
C Cl O Re Sn
F Na O P Ti
Cl Fe Li Mo O
Cl Cs Np Np O
Al Cl Ge Na O
Al Br Ge Na O
Al Ge I Na O
Cl Cs N O Tc
As F I Se Se
B Ba Cl Ho O
B Ba Cl O Yb
Cl Mo N N P
Ce Cl La O Ta
Ag Br Cl Hg S
Cl N S Se Te
Eu Na O P P
Na O P P Sr
Ca F O P Sb
Cl Cs Nb O U
Cl N S S Se
C Fe Mo O S
Ba Br Cu I O
F La Na O Si
F Gd Na O Si
Ag As Cl Cu O
C F Hg N Te
C F O S Se
Ca Cl Mg O Si
C Cl Co O Sn
Lu O S U U
Br K N O Ru
I K N O Ru
Al Br Na O Si
F Fe O Ta Zn
F Fe Nb O Zn
Cl Fe Mn Mn O
C Cs Mo N S
Ba Cu F O Y
As F Na O Sb
Cl N S Sb Se
As F N S Se
Cl Cr O Pb Si
Al N Nd O Si
Ba Cl F Mn Zn
Ba Br O Ru Ta
Ba Cl O Ru Ru
C Ca F O P
Ag Al Br O Si
I Nb O Te Te
La O S Ta Ta
C F Li O S
Ba Cl O Pt Ru
Cl Ga N Se Se
C Cl Cs Lu Lu
Ba Cl Li Mo N
Ba C F O Sm
Ba C F La O
Ba C Cu F O
F Nb Ni O V
Ba C F O Y
Ba C F Gd O
C F La Na O
Ba Br O Ru Ru
Cl N O S S
Bi Ca Cl Cu O
As F N Se Se
Al Ba Cl F K
F La Nb O Se
B Ga O P Zn
Ba Br Cl F Sr
Be Cl Li O P
As Be Cl Li O
B C Cl N Sr
As As Cu O U
Ba C F O Sc
C Eu F Na O
Cl Mn Mn O Yb
Al N Na O P
C Cu F K O
C F O Pd S
Ca N O Ta Zr
B Be F Na O
Cr Hg Hg O S
C Fe Fe O Se
C Fe Fe O S
Br Cs N Nb Pr
Cl N Rb Th Th
Co F Fe Nb O
Cl Eu O P Sr
Ca Cl Eu O P
C F I N O
Na Na Rb Rb Sb
Au Na Na Rb Sb
Ca Cl F Sm Sr
Br Cl F Sm Sr
Ca Cl Cu O Sr
B La N N Ni
C Cl Cr O P
C Cl O P W
Br C Cr O P
Br C O P W
C Cl O Sn W
C Co O Se Se
F O Th W Zr
Ba Cl F Mn Ni
F Nd O Sr V
F Nd O P Sr
F Li O Si Sr
K Mo O Se Se
Br N Na O Pr
Ba Cl Cu O P
C F Gd K O
C C Co O Se
Cs F O S Sb
I Mo Te Te Te
La O S Ti Ti
Br Cs La O Ta
