vectors,scores,scaled
O S Nb I La,12.481,0.298
O Cl Nb Cs La,16.978,0.601
O Cl Rb Nb La,15.713,0.516
O Cl Cu Se Sr,10.734,0.181
Al Cl Br Sb Te,9.378,0.09
Al Cl Br Te Bi,11.361,0.223
N O Al La Eu,13.538,0.369
S S Cl Ga Bi,10.64,0.175
O P Sc Ni Sr,11.322,0.22
O Sc Ni As Sr,11.231,0.214
O F P Ca Pb,12.118,0.274
Li O F S Ni,10.898,0.192
N O Si Ba Eu,13.877,0.392
O Fe Co As Ce,18.469,0.701
S Ga Ge Se Ag,8.825,0.052
O Fe Co As Sm,15.662,0.512
O Fe Ni As Sm,14.185,0.413
O P Cl As Pb,10.528,0.167
Li N O La Ta,14.805,0.455
C O P Cl Cl,9.793,0.118
O F Mn Se Ba,12.438,0.295
Li O F P Co,12.743,0.316
C O F S Ag,11.163,0.21
S Cu Zn Se Sn,9.353,0.088
F S Ca Y Ce,16.489,0.568
F S Sr Y Ce,16.952,0.599
Li B C O F,12.453,0.296
N O Si Y Ce,16.331,0.557
O F Fe Co Sr,15.821,0.523
N O Al Si Ba,12.224,0.281
O Fe Co As La,15.454,0.498
N O Na Mg P,11.177,0.211
O Cu Se Sr Bi,12.647,0.31
O Cu Sr Te Bi,12.967,0.331
O Cu Te Pb Bi,13.359,0.357
N O Si Sr Eu,13.115,0.341
N O Si Ca Ba,12.807,0.32
O Na Cl Cu Se,10.593,0.171
S Ge Se Ag Pb,10.853,0.189
N O Na P V,11.799,0.253
S As Ag Te Hg,11.026,0.2
O Cl Se Nb Pb,11.948,0.262
O Cl Cu Se Pb,11.205,0.213
O Cl Cu Te Pb,11.564,0.237
O Cu Se Pb Bi,13.049,0.337
O F Fe Sr La,15.612,0.509
O Fe As Ru La,14.566,0.439
N O Al Ca Gd,13.681,0.379
O F Na S Mn,11.502,0.232
O Na S Cl Mn,10.799,0.185
O Na S Cl Fe,13.575,0.372
O F Si Rb Lu,15.606,0.509
O Co Cu Se Sr,12.72,0.314
O F Mg P Fe,13.092,0.339
O F S Nd Bi,13.965,0.398
Be B O F Ca,11.295,0.219
O F Zr In Ba,13.034,0.336
O F Si K Eu,14.42,0.429
N O Si Ca Ce,15.912,0.529
O F Na P Co,12.768,0.318
N O Mg P Sr,11.311,0.22
C O F P Ba,12.834,0.322
O F Cl K V,13.393,0.36
O F Cl K Mo,13.917,0.395
O F K Br Nb,14.198,0.414
O Cl Mn Pb Bi,13.245,0.35
O Cl Te I Bi,11.752,0.249
S Cu Zn Ge Se,8.774,0.049
O F Te Xe Hg,16.155,0.545
O F Kr Te Hg,15.47,0.499
S Se Ag Sn Ba,11.77,0.251
O F S Ce Bi,16.566,0.573
Li N O Sr Ta,14.55,0.438
N O Na Sr Ta,14.572,0.439
Li N O Ba Ta,15.241,0.484
N O Na Ba Ta,15.263,0.485
O Si Cl Sr Eu,12.219,0.281
O F Ti Se Cs,15.77,0.52
S S Se Se Bi,10.313,0.153
O F Na Mn Ni,11.642,0.242
O S V V Ba,12.505,0.3
O F S Sm Bi,13.365,0.358
O S La Er Yb,13.361,0.358
O F Mn As Nd,12.772,0.318
O Si Cl Ca Fe,13.085,0.339
B O Na K Br,14.124,0.409
B O Cl Ba Pb,13.486,0.366
B O Br Ba Pb,13.801,0.387
Li B O F P,11.366,0.223
N O Sr Mo W,14.68,0.446
O F Si Ca La,11.995,0.266
O Al Cl Te Pb,11.138,0.208
S Fe Br Sb Bi,14.361,0.425
S Cl Hg Hg Bi,13.803,0.387
Cl Se Hg Hg Bi,13.76,0.384
O Nb I Ba Bi,14.641,0.444
O Cl Sr Nb Bi,13.382,0.359
C C O F Sc,12.625,0.308
S Se Sb I Hg,11.063,0.203
C O I Cs Pb,17.353,0.626
C O F K Ba,15.538,0.504
C O F Rb Ba,16.462,0.566
O F S As Xe,14.524,0.436
C O F Re Re,14.833,0.457
O F Mg K Ge,12.772,0.318
O P Cl Sn Nd,11.943,0.262
C C O S Co,12.948,0.33
N O F Sb Cs,16.151,0.545
N O F Rb Sb,14.815,0.455
C C O Cl Co,12.976,0.332
N O S S Co,11.843,0.255
C O Cl Ru Sb,10.985,0.198
C O S Mn Fe,13.957,0.398
O F Na S Sb,10.979,0.197
N F S Mn As,10.804,0.186
O F V Mo Cs,16.745,0.585
C O I Re Re,14.8,0.454
N N F S As,11.138,0.208
Be O Si S Zn,9.048,0.067
O P Cl Ca Pb,11.453,0.229
C O F Al Sr,12.159,0.277
O P S Ca Eu,11.54,0.235
N O Zn I Cs,16.085,0.541
N O Co I Cs,17.403,0.629
O F S K Ca,13.414,0.361
O P Cl Ca Co,11.614,0.24
F As Se Br Br,9.73,0.113
B Cl K Zr Cs,17.958,0.667
O Cl La Ta U,14.82,0.456
O Cl Cu Se Er,10.562,0.169
O F Cl Rb Nb,14.918,0.462
O Br Cs Ba Ta,18.323,0.691
N O Ca Sr W,14.231,0.416
O F K Ti Rb,16.875,0.594
O S V Ba Pu,17.055,0.606
O S Fe Ba Pu,18.924,0.732
O F Co Y Ba,14.78,0.453
C O F K Pb,15.205,0.482
O F Ti Sr Ru,12.518,0.301
N O F Na S,11.816,0.254
O Cl Ti Cr Bi,12.603,0.307
O Cl Ti Fe Bi,14.707,0.448
O Cl Ti Mn Bi,12.192,0.279
S Cu Ga Se Ba,11.515,0.233
C O F Na Lu,13.929,0.396
O Cl Fe Se Bi,14.081,0.406
C O F Rb Pb,16.147,0.545
C O F Cs Pb,17.381,0.628
O Co Se Ag Ba,13.52,0.368
O Mn Se Ag Ba,12.312,0.287
Li B O F Ba,13.548,0.37
B O F Na Ba,13.572,0.372
O F Fe Ba Bi,16.402,0.562
O Cl V Se Pb,11.364,0.223
O F V Se Pb,12.034,0.268
O Cl Fe Pb Bi,15.591,0.508
O Mn Se La Ce,16.377,0.56
B N O Si La,12.134,0.275
O Na Cl As Sb,10.116,0.139
C O F Mg Rb,14.81,0.455
N O Si Ba La,13.674,0.379
O F Na Mo W,14.335,0.423
O Cl Cu Nb Pr,13.641,0.376
O F S K Fe,15.682,0.514
C O F K Cd,13.847,0.39
Li C O F Al,12.007,0.266
O F Na Nb Pb,13.781,0.386
B O Cl Ge Ba,11.705,0.246
B O Ge Br Ba,12.067,0.271
O F Cr Sr La,13.648,0.377
N O Ti Sr La,13.557,0.371
O Mn As Sr Nd,13.416,0.361
B O F Zn Ba,12.535,0.302
O Cl Fe Br Te,13.051,0.337
O F P Ca V,10.942,0.195
C N Mn Se Hg,12.945,0.33
O Mg Cl Co Te,11.259,0.216
O F K Ca Nb,14.493,0.434
P S Cu Se Br,9.158,0.075
Li O Cl V Ba,13.048,0.336
O Si P Cl La,10.484,0.164
Li O Cl Nb La,13.066,0.338
O Cl Fe Cu Te,13.187,0.346
C O Br Ru Ba,13.372,0.358
C O F Ca Ba,13.528,0.369
S Cl As I Pb,10.979,0.197
O F P Zn Bi,11.581,0.238
O F P Cu Bi,11.991,0.265
O Co Co Br Ba,15.079,0.473
S Cl As Cs Ce,18.755,0.72
N O Al Si Eu,11.913,0.26
Li N O Si Tb,12.431,0.295
B C Co Ni Er,13.529,0.369
B C Ni Tb Er,12.972,0.331
B C Ni Er Lu,13.716,0.381
O Fe As Ru Pr,15.629,0.51
O F Cl La Ta,13.537,0.369
C N O Si Y,12.209,0.28
O Cl Ca Mn Fe,13.708,0.381
N O Fe Sr Mo,15.517,0.503
O F Fe Ba La,16.258,0.552
B O Fe Zn Br,13.415,0.361
P S K Se In,12.127,0.275
B O F Mg Ba,12.495,0.299
O F As Br Kr,14.094,0.407
C N O F P,11.587,0.238
O F As Br Xe,14.842,0.457
O F Si K Y,13.888,0.393
O Cl Ti Fe Pb,14.644,0.444
O F P Mn Fe,13.613,0.374
O F Se La Bi,13.074,0.338
O F S La Bi,13.12,0.341
N O Si Ca La,12.284,0.285
C N F Sr La,14.234,0.416
S Cu Se Ag Sb,9.625,0.106
Li O S Mn Sr,12.187,0.279
N F S As Xe,15.106,0.475
O Cl Mo Te Nd,13.102,0.34
O Cl Te Nd W,14.119,0.409
O Cl Mo Te Pr,13.448,0.363
O Cl Te Pr W,14.442,0.43
O F Fe Se Ba,14.912,0.462
O F S Fe Sr,14.247,0.417
O F S Fe Ba,14.952,0.465
O F Fe Se Sr,14.204,0.414
O F Si K Sm,14.45,0.431
O Zn Se Ag Ba,11.777,0.251
N O Cl Cs Pb,16.866,0.593
P S K Se Pb,13.471,0.365
P S Se Rb Pb,14.527,0.436
P S Se Cs Pb,15.887,0.527
C C N F Sc,13.291,0.353
O F P Ba Pu,17.038,0.605
O Cl Cu Cu Se,9.738,0.114
O F Na S Sn,11.2,0.212
Li B O F Mg,11.484,0.231
O Co Se Sr Ag,12.736,0.315
O Mn Se Sr Ag,11.445,0.229
Li B O F Ca,12.144,0.276
O Na S Ba Pu,17.454,0.633
Al Cl Se Br Bi,10.994,0.198
O Cl Se Cs Nd,16.728,0.584
O S La Pb Bi,14.119,0.409
B O Na Br Rb,15.135,0.477
B O Na Cl Rb,14.847,0.458
Li B O F Rb,15.345,0.491
O F Na P Ni,10.906,0.192
O Fe Zn Se Ce,17.273,0.621
O Mn Zn Se Ce,15.188,0.48
O Mn Zn Se La,11.33,0.221
B O Cl K Zn,12.799,0.32
N O Si Sr Ba,13.398,0.36
O S Zr La Ta,13.675,0.379
O S Ti La Ta,13.525,0.369
O S Ti Nb La,12.537,0.302
Li O F S Cu,11.333,0.221
O S Se La Bi,12.431,0.295
O F Si Sr La,12.624,0.308
O Cl As Sr Ba,12.445,0.296
O F Si Ti Ba,12.491,0.299
Be B O F Tl,12.502,0.3
C O P S W,12.366,0.291
Li B O F Nd,13.904,0.394
C N O K Tc,14.509,0.435
Li O F S Zn,10.898,0.192
O S Co Cu Ba,13.55,0.37
O S Co Cu Sr,12.767,0.318
O Fe As La Ir,15.277,0.486
O Fe As Nd Ir,16.009,0.536
O Fe As Sm Ir,15.488,0.501
N O Ti Sr Nb,13.158,0.344
O F P Cu Rb,14.287,0.42
O F P K Cu,13.212,0.348
N O P Cl Ba,12.127,0.275
O Na Cl V Cs,16.254,0.552
P S Cl Cu As,8.598,0.037
P S Cu As Br,9.085,0.07
P S Cu As I,9.413,0.092
C O Na Cl Co,13.163,0.344
B O Cl Y Ba,13.022,0.335
B O Cl Ba Gd,14.542,0.437
B O Cl Ba Lu,13.808,0.388
C O F K Sr,14.861,0.458
C O F Ca Rb,15.327,0.49
C O F Rb Sr,15.824,0.523
C O F Ca Cs,16.622,0.577
C O F Cs Ba,17.674,0.648
O F Fe Sr Ba,16.027,0.537
O F Na Mg S,10.881,0.191
O F Na S Cu,11.362,0.223
O F Na S Zn,10.927,0.194
O F Na S Co,12.787,0.319
O F Na S Fe,14.141,0.41
O F K Rb W,18.068,0.674
Cl Ga Se Cs Ba,16.359,0.559
Cl Ga Se Rb Ba,15.041,0.471
Cl K Ga Se Ba,14.024,0.402
O Sc Co As Sr,13.048,0.336
O P Sc Co Sr,13.126,0.342
O F Na Mo Ag,12.66,0.31
O F Na Ag W,13.711,0.381
B C O Cl Ba,12.793,0.319
C O F Mo Sb,12.102,0.273
C O F Fe Sb,14.122,0.409
C N S Zn Hg,12.485,0.299
N O Cl K Zn,13.158,0.344
B C N F Cs,17.026,0.604
O F Cl As Te,9.545,0.101
O F As Br Te,9.985,0.131
C O F Sb W,13.197,0.347
O Cl Ti Nb In,11.241,0.215
O Cl Ti Nb Tl,12.793,0.319
C N S K Re,15.58,0.507
C O F Sb Pt,12.769,0.318
C O F Pd Sb,12.073,0.271
C N S K Ag,14.202,0.414
O Cl Ti Nb Cs,16.258,0.552
O F Sb Te Cs,15.634,0.51
O Cu Se Br Bi,11.662,0.243
O Cl Nb Lu Pb,14.013,0.401
O S S V Cs,15.27,0.486
Cl Se Cs Re Os,17.642,0.645
Cl K Se Re Os,15.502,0.502
C N O K Fe,16.684,0.581
C O F Ba Pb,14.451,0.431
O Cl Co Se Ba,13.048,0.336
Li O F Mg S,10.851,0.189
O P Cl Cu Cs,15.16,0.479
O F Nb Nb I,12.709,0.314
O F P Nb Ba,13.016,0.334
O S Nb Nb La,13.056,0.337
B N O F Fe,14.396,0.427
N O F P Fe,13.879,0.392
O Cl K Ti Nb,13.907,0.394
O Si Cl As Pb,10.522,0.167
O F Si Y Ba,13.058,0.337
Li O F Si Y,12.094,0.272
O Mn Fe Se La,14.455,0.431
O F Cd Pb Bi,13.385,0.359
F S Sr Ce Bi,17.365,0.627
F S Sr Nd Bi,14.903,0.461
F S Sr Pr Bi,15.209,0.482
F S Sr Sm Bi,14.343,0.424
O F Te Cs Hg,16.751,0.586
N O Al Si Gd,12.991,0.333
S Cl I Cs Pu,19.432,0.766
F Na Ca Fe As,14.458,0.431
O F Si Ca Ce,15.69,0.514
N O Na Ga Ge,11.211,0.213
O Cl Se Te W,11.598,0.239
N O Al Si Pr,12.977,0.332
O F S Ag Sb,10.176,0.143
O S Fe La W,15.891,0.528
O S Ni La W,13.114,0.341
O S Cr La W,13.967,0.398
O S Co La W,14.7,0.448
O S Mn La W,13.596,0.373
Li O F Si Ca,11.522,0.234
O F Si K Ca,13.392,0.36
O F Si K La,14.224,0.416
C N Ni Br Cs,16.489,0.568
C N Cl Ni Cs,16.226,0.55
C N Ni Br Rb,15.183,0.48
C N Cl Ni Rb,14.897,0.461
O Cl Cu Zn Te,9.661,0.109
O F Si Eu Eu,13.343,0.356
O Si S Yb Yb,12.091,0.272
B Cl Zr Zr Cs,16.344,0.558
F Na Cl K Pb,15.185,0.48
O Cl Se Y Cs,15.733,0.517
Li O Si Cl Eu,12.068,0.271
O Cl K V Cu,13.262,0.351
O Cl K V Ba,14.726,0.449
C C N I Er,13.513,0.368
C C N Cl Nb,12.977,0.332
O Cl K V Cd,12.929,0.328
C Br Rb Tb Tb,16.401,0.562
C C Cl Rb Gd,17.143,0.612
C O Cl Cu Nd,13.122,0.341
N O Na Cl Gd,14.041,0.403
N N O F I,12.173,0.278
O Cl V Rb Cd,14.025,0.402
O Cl V Cd Tl,11.723,0.247
O S S S Cs,14.719,0.449
B C C Cl Ca,12.116,0.274
O F F Sn Sn,10.992,0.198
C N N O Al,12.041,0.269
C N S Cl Pb,12.51,0.3
B Cl Sr Zr I,12.156,0.277
Li O F S La,12.502,0.3
Li O F S Er,12.048,0.269
N O Al Si Sm,11.95,0.263
Br Te Te Te Re,12.164,0.277
C C N F Se,12.36,0.29
C N O F Sb,11.794,0.252
C N O F As,11.499,0.232
C O F Sb Au,12.776,0.318
O Ti Se I Pr,13.167,0.345
O F Al Si Cu,10.071,0.136
O F Cl I I,10.839,0.188
F Br I Ba Pb,14.212,0.415
O F Na S Pr,13.749,0.384
N F Cl K W,15.448,0.498
Li N O Ca Re,13.954,0.397
Ga As Br Hg Hg,12.444,0.296
O F S Co Sb,11.73,0.248
O F S Co As,11.432,0.228
O F S Mn As,9.974,0.13
O F S Cu As,9.812,0.119
O F As Te Xe,14.762,0.452
O F As Se Xe,14.482,0.433
O S S K Ti,12.75,0.316
Li N O Cr Sr,13.497,0.367
O F Se Se Pr,12.504,0.3
O P P Cu Pr,12.42,0.294
O P P Cu Sm,11.344,0.222
C C N O Tl,13.794,0.387
O F S Mn Rb,14.416,0.428
O F S Mn Cs,15.786,0.521
C N N Cl La,13.307,0.354
N O F Br Br,11.315,0.22
O Cl Se Cs Tm,15.733,0.517
B N P Cl Br,10.51,0.166
O Cl Se Mo Hf,12.313,0.287
O Cl Se Zr Mo,10.987,0.198
C N O Nb Ba,14.224,0.416
O Cl Mn Se Sm,11.506,0.233
O Cl Co Se Sm,12.791,0.319
O Cl Cu Se Gd,12.456,0.297
O Na S S Cu,10.615,0.173
C O F Na S,11.9,0.259
O F Cl Mo Ag,11.434,0.228
O Se Br Cs Sm,16.494,0.568
O O Sn Sn Cs,15.536,0.504
F Cl Ca Br Ba,12.707,0.314
O Cl Cu Sb Te,9.72,0.113
C O S Cl Mo,11.244,0.215
C N Cl K Pt,15.379,0.493
C N K Br Pt,15.656,0.512
C N K I Pt,15.849,0.525
O Cl Co Te Te,11.469,0.23
C N F S S,11.338,0.221
O Cl Cu Te Bi,11.644,0.242
Be O F S Ba,12.228,0.281
B C N O Ba,13.651,0.377
N O F S As,10.335,0.154
B N O F S,11.112,0.206
C N Cl Ag Cs,16.533,0.571
C N Ag I Cs,16.972,0.6
N O Ca Sr Mo,13.222,0.348
O Rb Sb Sb Ba,15.423,0.496
Li C N Br Eu,14.053,0.404
Li C N Br Sr,13.58,0.372
C O F S Cs,16.078,0.54
N O Si Br Nd,12.857,0.324
N O Si Br Ce,15.644,0.511
Al S S Cl As,8.045,0.0
Li N O F S,11.789,0.252
O S Cl K Am,17.329,0.624
O S Cl Rb Am,18.161,0.68
O F S Zn As,9.305,0.085
F Na K Br Pb,15.466,0.499
Br Rb Mo Mo Te,15.717,0.516
Se Br Rb Mo Mo,15.454,0.498
O Cl Zn Te Ba,11.59,0.238
O Cl Mn W Bi,13.795,0.387
O F S As Cd,9.357,0.088
O F P Sr Pb,12.741,0.316
N O I Ba La,14.247,0.417
N O I Ba Ce,17.472,0.634
O F Si Y Cs,16.242,0.551
O Cl Cu Sr Te,11.109,0.206
C N S Cs Re,17.711,0.65
O F V Cu Cs,16.201,0.549
O F P Cs Am,19.657,0.781
N O Sr Ba Bi,15.019,0.469
F Na Cl Br Ba,13.189,0.346
Cd Sb I Hg Hg,12.972,0.331
Cl As Cd Hg Hg,12.112,0.274
C N F S Cl,11.371,0.224
Se Br Mo Te Te,10.781,0.184
Se Se Mo Te I,10.682,0.177
O Cl Se Rb Er,14.299,0.421
O Na Si Ga I,10.877,0.19
Cl Br Ag Te Te,10.033,0.134
Br Ag Te Te I,10.74,0.181
O Cl Ca Se Nd,12.266,0.284
O Cl Se Sr Nd,12.882,0.325
N O Si Cl Ba,12.122,0.274
Si S Cl Ag Ce,14.825,0.456
O Cu Br Te Ba,12.354,0.29
O Cl Ca Co Te,11.931,0.261
O Cl Co Sr Te,12.563,0.304
O Cl Ni Sr Te,10.665,0.176
O Cl V Mn Cs,15.812,0.522
O V Mn Br Cs,16.082,0.541
O Cl V Mn Rb,14.444,0.43
O Cl V Cu Cs,15.71,0.516
O F Si Se Er,10.665,0.176
O Cl Cu Te Yb,11.347,0.222
Se Br In In Tl,11.677,0.244
O S Cl K Hg,13.674,0.379
O S K Br Hg,13.985,0.4
O Se Ag I I,10.603,0.172
C N Cl Rb Pt,16.312,0.556
S S Se I Ta,11.549,0.236
O F Si Ba Ce,16.8,0.589
Cl Se In In Tl,11.302,0.219
O Cl Co Se Sr,12.233,0.282
O Cl Ni Se Sr,10.274,0.15
Li C N F Pr,15.2,0.481
O Na Te I Lu,13.214,0.348
C N O Si Ba,13.101,0.34
C N F As Te,11.533,0.235
O P P Ni La,10.607,0.172
C N F Zn As,11.369,0.224
O Sc Fe As Ba,15.076,0.473
Li N O Si Sr,12.46,0.297
O S Cl Ta Pu,16.645,0.578
S S Cl Cu Bi,11.064,0.203
C N O Si La,12.59,0.306
C N O Si Pr,13.805,0.387
Li P Cl Se Se,9.528,0.1
Li P Se Se I,10.27,0.15
Na S Cl Ge Eu,11.809,0.253
N O Na Cl Ce,16.34,0.558
Li N F Ga Ba,13.798,0.387
C N Br Cs Pt,17.778,0.655
C N I Cs Pt,17.948,0.666
C N Rb I Pt,16.756,0.586
F Cd Sb Sb Ba,12.103,0.273
F Sr Cd Sb Sb,11.22,0.214
F Cd Sb Sb Eu,11.788,0.252
O Cd Sb Sb Ba,11.673,0.244
Li O F La Ta,14.565,0.439
Li O F Nb La,13.653,0.377
S Cl Cu Br Bi,11.478,0.231
O Cl Mo Cs U,17.349,0.626
N O Cl Cs Pu,19.794,0.79
O F S Ag Ag,10.606,0.172
O Cl Br Te Ba,11.851,0.256
O F Na K W,15.841,0.524
O F Si Sc Rb,14.621,0.442
Cu Se Se I Bi,11.606,0.239
Li N F Sr Ta,14.897,0.461
S Cu Br Bi Bi,13.285,0.352
N O P Br Ba,12.477,0.298
Li N O Si La,12.757,0.317
O F Si Se Pr,12.528,0.302
O Cl Se Pd Pb,11.947,0.262
O Cl Pd Te Pb,12.285,0.285
O P P La Au,12.524,0.301
B O F Na S,11.416,0.227
O P Cl Fe Sb,12.565,0.304
O Cl K I Bi,14.4,0.427
B O F Al Pb,12.119,0.274
O S Cl Ge Hg,10.464,0.163
Al Cl Br Ru Bi,11.948,0.263
O P Cl Cu Rb,13.728,0.382
O Na P Cl Cu,10.627,0.174
O P Fe Br Sb,12.903,0.327
O F P Mn Cs,15.77,0.52
Li O F P Mn,11.453,0.229
O F P Mn Rb,14.399,0.427
O F Na S V,11.519,0.234
F S Cr Ga Ba,12.792,0.319
F S Mn Ga Ba,12.386,0.292
F S Fe Ga Ba,14.869,0.459
F S Mn In Ba,12.606,0.307
Na Cl Ga Sb Te,10.458,0.162
Na Al Cl Sb Te,10.435,0.161
O P P Ce Au,16.098,0.542
O P P Pr Au,13.745,0.383
O P P Nd Au,13.406,0.361
O F P Fe Cs,17.787,0.655
C N O Cl La,12.643,0.309
O Cl Ca Fe Se,13.061,0.337
B O F Na P,11.395,0.225
O S Cl K Mo,13.314,0.354
O S S K W,14.291,0.42
Li O F Mg P,10.829,0.187
S Cl Ga As Hg,10.282,0.15
O Br Sr Nb Bi,13.7,0.38
O Na Cl Y Te,11.782,0.251
Al Cl Se Br Sb,8.931,0.06
O F Co Ni Sb,11.867,0.257
C N F Mg Ba,13.589,0.373
N O Mg P Ca,10.604,0.172
Cl Ga Ag Sb Te,9.612,0.105
Na S Cl Ge Ba,12.123,0.274
O Si Mn Br Te,10.067,0.136
O Si Cl Mn Te,9.63,0.107
S Ge Br Ba Pb,12.997,0.333
Ge Se Br Ba Pb,12.951,0.33
S Ge Br Sn Ba,11.6,0.239
O Cl Cd Te Sm,11.342,0.222
O Cl Cd Te Eu,11.303,0.219
O Cl Cd Te Gd,12.434,0.295
C N O Fe Ag,14.677,0.446
O P Cl Fe Te,12.669,0.311
O F P Ti Cs,15.793,0.521
Cl Cu Ga Sb Te,9.591,0.104
B O F Mg Rb,14.424,0.429
B O F Mg Cs,15.793,0.521
O Cl V Mn Sb,10.353,0.155
O F Si K Pr,15.31,0.489
O F Na Si Eu,12.726,0.315
O F Si Ca Eu,12.226,0.281
O F Si Ca Sm,12.262,0.284
O F Na Si Nd,13.388,0.359
Ga Ge Se Br Cs,14.869,0.459
Cl Ga Ge Se Cs,14.577,0.439
O F Si Ba Pr,14.561,0.438
Al S Cl Ag Bi,11.226,0.214
Al S Cl Cu Bi,11.208,0.213
N O F Sb Xe,15.532,0.504
S K Br Sn Ba,14.561,0.438
S Cl K Sn Ba,14.262,0.418
Na S Cl Sn Ba,12.548,0.303
S Cl Sn Cs Ba,16.564,0.573
O F S As Hg,11.13,0.207
O Cl V Co Ba,13.709,0.381
O F Na Si Tm,12.121,0.274
O F Na Si Er,12.051,0.269
O F Na Si Ho,12.05,0.269
O F Na Si Dy,12.07,0.271
O F Na Si Pr,13.727,0.382
O F Na Si Tb,12.172,0.278
O F P Mn Ba,12.466,0.297
O Cl Te Cs Sm,16.482,0.567
O Br Rb Te Nd,15.977,0.533
O F Si K U,14.64,0.444
O Sc Fe As Eu,14.824,0.456
C O F S Te,10.877,0.19
O F Ti Sr Bi,13.472,0.365
S Cl K Sb Ba,14.089,0.407
Li C N S K,14.766,0.452
O F Si Cs Er,16.19,0.548
O F Na Ge Nd,13.364,0.358
O Si S In Ba,11.488,0.232
N Si Cl Ba La,13.473,0.365
O F Si K Pu,17.678,0.648
O F Na Ge Pr,13.704,0.381
S Cr Fe Cu Se,13.605,0.374
Cu Ga Se Ag Te,9.95,0.128
Cu Se Ag In Te,10.222,0.146
Ga Se Ag In Te,9.762,0.115
S Cr Fe Se Cd,13.28,0.352
S Cr Cu Se Te,10.407,0.159
Cu Ga Se In Te,9.742,0.114
S Cu Se Te Ta,11.741,0.249
S Fe Se In Tl,14.198,0.414
S Ga Se In Tl,11.024,0.2
S Mn Se Ta Re,13.726,0.382
S Fe Se Ta Re,16.002,0.535
S Co Se Ta Re,14.82,0.456
S Ni Se Ta Re,13.249,0.35
S Cu Se Ta Re,13.609,0.374
S Ga Se Ta Re,13.267,0.351
Al S Cu Ga Se,9.052,0.068
