vectors,scores,scaled
O Na S Cl Zn,10.185,0.144
O Na Cl Co Mo,13.365,0.358
C O F Si Co,12.572,0.304
O F S Cl As,9.171,0.076
C N O K Re,15.778,0.52
O F S K Mn,13.351,0.357
C O Cl Ru Sn,11.206,0.213
Be B O F K,13.639,0.376
Li O F Sr Ta,14.307,0.421
Li O Al S Cl,10.153,0.142
Li B O S Cl,10.677,0.177
O F Ti Zn Rb,14.552,0.438
O F Ni Rb W,15.92,0.53
O F Ti Ni Cs,15.91,0.529
O F Ti Cu Cs,16.211,0.549
O F Ti Zn Cs,15.91,0.529
O F Ti Co Cs,17.241,0.618
O F Ti Mn Cs,16.31,0.556
O F Ni Cs Ta,17.093,0.609
O F Co Cs Ta,18.337,0.692
O F Ni Nb Cs,16.322,0.557
O F Zn Nb Cs,16.322,0.557
O F Ni Mo Cs,16.343,0.558
O F Zn Mo Cs,16.343,0.558
O F Mn Mo Cs,16.733,0.584
O F Ni Cs W,17.17,0.614
O F Zn Cs W,17.17,0.614
O F Co Cs W,18.41,0.697
O F Ti Nb Cs,16.733,0.584
C N K I Hg,15.631,0.51
Be B O F Cs,16.03,0.537
O F Si Ti Y,11.553,0.236
Be O F P Ba,12.209,0.28
C N S Cl Hg,12.385,0.292
C N S Br Hg,12.728,0.315
C N S K Rh,14.304,0.421
N O Cl K Pt,14.741,0.45
O F Na Mg Ti,11.629,0.241
Be O F P Ca,10.629,0.174
O F P Ca Sr,11.684,0.245
C O S Fe Ge,13.321,0.355
N O F K Te,13.877,0.392
C N S K Hg,15.129,0.476
O F Na Si Y,12.121,0.274
O F Na P Ca,11.554,0.236
O F Rb Zr Cs,18.968,0.735
O F Zr Cs Tl,17.335,0.625
O F K Zr Cs,18.172,0.681
O F K Rb Zr,16.995,0.602
O F K Zr Tl,15.151,0.478
O F Mg Si Ca,10.263,0.149
C O Si Cl Co,11.932,0.261
O S Cl K Cu,12.624,0.308
N F S Ni As,10.19,0.144
O P Cl Ca Sr,10.992,0.198
C C O S Fe,14.286,0.42
O F Ti Nb Tl,13.392,0.36
O F Ti W Tl,14.413,0.428
F S S As Sb,9.029,0.066
F As Se Se Sb,8.896,0.057
O F Na Ca Nb,12.81,0.32
O Na S Cl Pb,12.005,0.266
O Na S Cl K,13.295,0.353
O F Mg Si K,12.797,0.32
O F Na K Ti,14.466,0.432
O F Na K V,14.454,0.431
O F Na K Nb,14.917,0.462
O F Na K Mo,14.941,0.464
O F Mg Ca As,10.168,0.143
C O Cl Cr As,10.928,0.194
O F S K Sb,12.903,0.327
C O F Ca Ce,16.498,0.568
C O Na Mg Br,11.694,0.245
C N O K Cr,14.863,0.459
C N S Cu Hg,12.867,0.324
O F Na Ti Zn,11.672,0.244
C N S Co Hg,14.142,0.41
O F Na Al As,10.811,0.186
C O Fe Br Hg,15.117,0.476
S Cu Se Pb Bi,12.81,0.32
O F Si Ca Nb,11.542,0.235
N O F S Xe,15.392,0.494
O F K Rb Mo,17.284,0.621
N F S S As,10.031,0.134
N O F S S,10.456,0.162
C N N O Hg,13.501,0.367
N O P Cl W,12.316,0.287
O F S Rb Sb,14.002,0.401
N S S Cl Mo,10.875,0.19
O F Te Te Os,12.115,0.274
S Fe Co Ni As,13.968,0.398
P P I Hg Hg,12.601,0.306
O F Te Te Re,12.419,0.294
N O P Cl V,10.473,0.163
B C N Cl Ca,12.034,0.268
O F P Ca Nd,12.917,0.328
N O Si Cr Sm,12.88,0.325
O Si Cl Ca Pb,11.448,0.229
O F Mg S As,9.251,0.081
O Na Al S Cl,10.185,0.144
S Se In In Te,9.353,0.088
C N Rb I I,15.773,0.52
C N S K Pt,15.355,0.492
C N S Rb Pt,16.289,0.554
Cl Cu Rb I Cs,18.583,0.709
C O F La Ce,17.18,0.614
O O F K V,13.596,0.373
C O F K Rb,17.128,0.611
N P S Cl Sb,9.557,0.102
N F Cl Te W,13.014,0.334
C N S Zn Ag,11.343,0.222
C O Cl Ge Os,11.886,0.258
C O F Ba Ce,17.557,0.64
N O Cl Mo Cs,16.481,0.567
O Cl Cu Br Pb,11.666,0.244
C O P Cr Co,12.964,0.331
C O K Br Ir,14.913,0.462
O F P K Fe,15.666,0.513
O F Na P Cr,11.917,0.26
O F P K Mn,13.333,0.356
O F P K Cr,13.711,0.381
O F Al P K,12.841,0.323
O F P Ca Ba,12.534,0.302
O Cl As Hg Hg,12.195,0.279
Li O F Ge Ho,11.997,0.266
N O Cl K Bi,14.676,0.446
C O Cl K Os,14.791,0.454
C O Cl Cs Os,17.02,0.604
O F Na P Fe,14.124,0.409
O F S K Zr,13.529,0.369
N O Cl K Pd,14.142,0.41
C O K Br Os,15.079,0.473
O F Na Al P,10.905,0.192
O Cl Ca As Pb,11.363,0.223
N Al S Cl Se,9.46,0.095
C O Cl Os Os,13.762,0.385
O Cl Nb Ba Ir,14.004,0.401
O Cl Ru Ba Ta,14.165,0.412
C O K Ba Au,16.51,0.569
Cr Cu Cu Se Br,11.116,0.207
O F Fe Ni Ta,15.125,0.476
O F Fe Ni Nb,14.248,0.417
O F P Ca Cd,10.363,0.156
Li O Al Si Cl,10.124,0.14
O Al Si Cl K,12.211,0.28
O Na Al Si I,10.855,0.189
C Cl K Zr Ba,15.507,0.502
O Na Cl Ca Cu,11.455,0.229
S Cr Cu Se Sn,10.515,0.166
O Cl Cu Br Ba,12.098,0.273
O F K Ti Cs,18.06,0.674
C N O K Br,14.28,0.419
Cu Ge As Se In,8.968,0.062
Se Ag Sb Te Bi,11.498,0.232
N N S Cl Mo,11.904,0.26
N S S Cl Fe,13.086,0.339
Li O F Al P,10.876,0.19
N O F S I,11.17,0.21
N S S Cl Zr,10.41,0.159
O Cl K Cr Hg,14.605,0.441
N S S Cl Ti,10.213,0.146
O F S I I,10.805,0.186
C N S Rb Ag,15.207,0.482
C N S Ag Cs,16.511,0.569
O O F V Cs,15.993,0.535
C O Cr Fe Se,14.276,0.419
O P Br Sr Eu,12.57,0.304
O Na Si S Pr,13.116,0.341
O F P Sr Eu,12.848,0.323
N O F S K,13.623,0.375
O Cl V Cu As,9.854,0.122
Li O F P Ni,10.876,0.19
O S Cl Ti La,11.306,0.219
O P Cl K Mo,13.296,0.353
O P Cl Rb Mo,14.365,0.425
O Cl Cu La Ta,13.407,0.361
O Cl Ca Cu Nb,11.447,0.229
O Ti Ti Se La,11.946,0.262
O F Na P Y,12.126,0.274
O Ti Ti Se Sm,12.215,0.28
S S Br Sb Ce,14.834,0.457
S S Br Sb La,10.852,0.189
O F Na S Ca,11.575,0.237
O Na S Cl Ca,10.877,0.19
S Cr Se Ag Sn,10.534,0.167
S Cr Co Cu Se,12.192,0.279
N F S S Sb,10.368,0.156
O Cl Cu Se Bi,11.287,0.218
O Cu Se I Bi,11.92,0.261
