vectors,scores,scaled
O Cl Nb Ce Pr,16.982,0.728
N O Al Si Y,11.045,0.208
O F Ca Mn La,12.424,0.329
O F Mn Sr La,13.004,0.379
O F Cu Sr La,12.833,0.364
N O Mg P Cs,15.09,0.562
B O F Ga Ba,12.285,0.316
B O F Al Ba,12.205,0.309
N O Si Ti La,12.019,0.293
N O Zn Ge Cd,9.981,0.114
C O F S K,13.291,0.405
O F Rb Sr Nb,15.488,0.597
Li O F Sr Nb,12.987,0.378
O Cl Nb Pb Bi,13.958,0.463
O S Cl Sb Pb,11.062,0.209
N O Al Si Ce,14.812,0.538
S Br Sb La Ce,15.684,0.614
O F Na Ca Ge,11.21,0.222
N O Cl Rb Pd,14.723,0.53
C N S Cl Ba,12.617,0.345
C N Na Mg S,11.727,0.267
N Na S Cl Zr,11.524,0.25
O F Na P Er,11.795,0.273
O F S K Sn,12.803,0.362
N O K Pd Pt,15.448,0.594
C O F Co Ba,14.54,0.514
O F Na Mg P,10.532,0.163
C O F Zn Ba,12.672,0.35
C O F Mn Ba,13.179,0.395
O F K Sr Nb,14.563,0.516
O S Sr Ba Pb,14.015,0.468
O F P Fe Co,15.289,0.58
B Cl Zr I Cs,15.831,0.627
O Cl V Cs Pu,19.011,0.906
O Cl V Rb Pu,17.956,0.814
O F Al Sr Ba,12.882,0.369
O F Al Ca Sr,11.47,0.245
O Rb I Pb Bi,16.735,0.707
O Cl Rb Pb Bi,16.224,0.662
O S K Mn Cd,12.677,0.351
O Na S Cl Cu,10.403,0.151
O F S Rb Pu,17.916,0.81
O S Cu Se La,10.981,0.202
C O F S Cl,10.339,0.146
O S K Ti Y,13.56,0.428
O F Na Si Sm,12.318,0.319
O Cl Ti Pb Bi,13.479,0.421
O F Si S Ca,9.906,0.108
O Cl Mn Nb La,12.39,0.326
Li N O Al Si,10.899,0.195
O Cl Fe Nb La,15.254,0.577
Be O Si S Fe,13.146,0.392
O F Sr Pd Ba,13.863,0.455
N O Sr La Ta,14.737,0.531
N O K Cr Pu,18.042,0.821
O F Ca V Pb,12.736,0.356
C O F S Hg,12.283,0.316
Li O S Ti Y,11.85,0.278
O Cl Co Ba Pt,14.928,0.548
O S Ti Cu La,11.666,0.262
O S Ti Ag La,11.698,0.265
O F Mn Ga Sr,11.623,0.258
O Cl Fe Co Sr,15.803,0.625
O Si S Zn Pb,10.941,0.198
N O P Cl Re,12.13,0.303
O F Ti Y Cd,11.563,0.253
O F Ti Cd Nd,12.661,0.349
O F Ti Cd Eu,12.097,0.3
O F Ti Cd Gd,13.098,0.388
O F Ti Cd Yb,11.956,0.287
O P S Sr Pb,12.094,0.3
C O F Rb Sb,14.504,0.511
C O F Na Sn,12.03,0.294
C O F Cs Pt,17.116,0.74
C O F Na Sb,11.823,0.276
O Al Si S Ca,9.3,0.055
B C O F Fe,14.704,0.528
B C O F Os,13.03,0.382
C O F Ru Sb,11.546,0.252
C O F Sb Os,12.754,0.357
N O Al Si Cd,9.887,0.106
N O Si Cl Ce,14.716,0.529
N O Si Cl Pr,12.39,0.326
N O Si Cl Nd,12.072,0.298
O Cl Ti W Bi,13.973,0.464
O Ti Br W Bi,14.336,0.496
O Si S Cl Ca,9.145,0.041
O Cl Cu Pb Bi,13.354,0.41
O Cu Br Pb Bi,13.733,0.443
O Br Cs Pb Bi,17.678,0.789
O S Cl K Bi,13.71,0.441
N O Al Si Mn,10.467,0.157
S Cl Se Pb Bi,12.709,0.354
O Cl V Cu Pb,12.035,0.294
Li O F Ca Ta,13.517,0.424
F Na S Cu Sr,12.173,0.306
O F P Cd Pb,11.645,0.26
C N S K Au,15.134,0.566
C N S Rb Au,16.026,0.644
C N S Cs Au,17.2,0.747
N O F Si K,13.186,0.395
O S Mn Cu Ba,12.175,0.307
N O Sc Ba Ta,14.805,0.537
O F Ti Fe Pb,15.583,0.606
O F Al S K,12.479,0.333
O F Fe As Tb,14.453,0.506
O Cl Br Sb Hg,11.35,0.234
O Cl Cu Se Nd,11.732,0.268
O Cl Cu Se Y,10.538,0.163
O F K Ti Ba,14.785,0.536
O F Fe As Sm,14.853,0.542
O Co Zn Br Te,12.094,0.3
O F P Ca Pu,15.444,0.593
O P Cl Ca Pu,14.967,0.551
O F P Ca U,12.249,0.313
O P Cl Ca U,11.642,0.26
O F P Sr U,12.837,0.365
O P Cl Sr U,12.259,0.314
O F P Sr Cd,10.873,0.192
O F Fe As Ce,17.47,0.771
O F Fe As Pr,15.561,0.604
O Ca Cu Br Nb,11.663,0.262
O Ca Cu Br Ta,12.838,0.365
O Cu Br Sr Nb,12.279,0.316
O Cu Br Sr Ta,13.4,0.414
B O F Ca Ba,12.712,0.354
O F Fe As Nd,15.309,0.581
O Fe Br W Bi,16.905,0.721
O F Fe As La,14.735,0.531
O F Fe As Gd,15.672,0.613
B O F Sr Ba,13.28,0.404
C N F S As,11.084,0.211
O Na Si Cl Cr,10.965,0.201
O Na Si Cr Br,11.424,0.241
O Si Cl K Cr,12.767,0.359
O Si K Cr Br,13.164,0.393
N O Na Cl Nd,13.16,0.393
Li O F P Fe,14.327,0.495
Cl K Br Tl Pb,15.542,0.602
N O F K Os,14.974,0.552
N O F Cs Os,17.059,0.735
O Na Cl K Cu,13.334,0.408
C O Si Cl Ba,11.9,0.283
Li O F Sr Mo,13.033,0.382
Li O F Sr W,14.167,0.481
O F Na Sr Mo,13.058,0.384
O F Na Sr W,14.19,0.483
Li O F Mo Ba,13.766,0.446
Li O F Ba W,14.844,0.541
O F Na Mo Ba,13.79,0.448
O F Na Ba W,14.866,0.543
N O Zr Yb W,14.505,0.511
N O Y Zr W,14.183,0.483
N O Zr Gd W,15.459,0.595
N O Zr Sm W,14.628,0.522
N O Zr Nd W,15.091,0.562
O F Ti As Sr,11.325,0.232
O F Ti Sr Sb,11.632,0.259
Li O F S Co,12.815,0.363
O Na S K Pu,17.482,0.772
N O Al Si Ca,10.392,0.15
Li O F S Fe,14.342,0.497
B O Na S I,11.211,0.222
B O Na S Br,10.914,0.196
B O S Cl Cs,14.779,0.535
B O S Cl Rb,13.395,0.414
B O Na S Cl,10.432,0.154
O Cl Mn Co Ba,13.792,0.448
N Cl Ca Br Sr,11.89,0.282
O Na Si Cl Ho,11.13,0.215
O S Ca Fe Cu,13.893,0.457
O Si Cl Mn Ba,11.615,0.258
O Si Cl Fe Ba,14.632,0.522
C N Cl Cu Cs,16.072,0.648
C N Cu Br Cs,16.388,0.676
Li C N I Eu,13.942,0.462
O F Ga In Pt,12.167,0.306
O F Na Si Ce,15.373,0.587
O Cl Cu Te Dy,10.898,0.195
O Cl Cu Te Er,10.925,0.197
O Cu Br Te Er,11.386,0.237
O Cl Mn Te Sm,11.689,0.264
O Cu Br Te Dy,11.359,0.235
O Cl Cu Te Nd,12.082,0.298
O F Si Ba La,13.084,0.386
O Cl Ca Cu Te,10.266,0.139
O F Na Si Sn,10.975,0.201
C O F S Rb,14.298,0.493
Li O F P V,11.186,0.22
