Phase fields     scores        Norm. score
As Cl Hg O        8.60492143532534 0.16276544302619014
Ag Br Ge S       8.614847260305288 0.16361331725809056
Br In O Te       8.620464140728494 0.16409311699102144
Cu In Se Te      8.621376332507387 0.16417103735587127
In Mn S Se       8.625487946843771 0.16452225570340176
Ag Cl In Se      8.630879873335997 0.16498283963897345
Br Ni O Te       8.630999560799092 0.16499306346581333
As Cl Cu O       8.632425346180925 0.1651148555272211
As Cd F O        8.635393305377596 0.1653683816703148
B Br P S         8.636890994530571 0.16549631582619242
Er O Se Si        8.63751125873281 0.16554929943562655
Br Cu Ge S        8.64326864830642 0.16604110160545535
Bi Br Cd Se      8.649010458902842 0.1665315730029455
Cl O Se Tm       8.649329451324542 0.16655882166540667
Cu I Se Si       8.653358703738801 0.1669030045723968
Bi O S S         8.653989635929038 0.16695689945239536
Cl Cu O Se       8.657770659385498 0.16727987838517075
Ag Ge I S        8.666406049535967 0.1680175223397824
As Br Cd Hg      8.668725282160523 0.16821563358838
Br Mn Sb Se      8.669638180774966 0.16829361433185344
Dy S Te Te       8.671331984382002 0.16843830078715696
O Pb S S         8.672242068173261 0.16851604108552345
I In In Te       8.673465092134583 0.1686205130567595
Bi Cl Ga Te      8.678085124656613 0.1690151610113517
Al Bi Cl S        8.68022268605165 0.16919775371569779
Cl N S Se        8.681287001908371 0.16928866867655387
Br Hg Se Zn      8.686484933422953 0.16973268136056785
B I P S          8.688318971380331 0.16988934677906178
Cu Ge I S        8.694658902098507 0.17043091021573709
Bi Cd I Se       8.700366797742197 0.17091848456290115
Cl Er O Se        8.70275893042946 0.17112282301022516
Ho O Se Si       8.705895547725278 0.17139075610252053
Pb S Sn Te       8.706988667752064 0.17148413154536382
F O P P          8.707631994567516 0.17153908518706187
O Pb S Sb        8.708210191239061 0.17158847534453148
F O S Sb         8.711117938731928 0.17183685814163482
Cl N Sb Se        8.71721780474189 0.1723579150027358
As Cd Hg I       8.719965511090804 0.17259262691985885
