phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Li O S Sc       ,22,34.9,9.75,True
Cl Li Mg Se     ,22,10.2,3.75,True
I Li S Si       ,22,21.2,0.0,False
Cl Li S Y       ,22,1.8,16.5,True
F Gd Li S       ,22,42.9,15.5,True
Li Mg S Se      ,22,8.2,4.0,True
F Li O Y        ,22,5.9,17.0,True
Cl Li S Zr      ,22,1.8,9.5,True
F Li O Zr       ,22,5.9,10.0,True
Cl Li Te Zn     ,23,24.0,3.75,True
In Li Se Te     ,23,12.5,2.75,False
Ga Li N S       ,23,28.8,4.25,True
Br Ga Li S      ,23,7.1,1.75,True
Cl F Gd Li      ,23,40.3,16.75,True
Br Ge Li Te     ,23,13.7,1.0,False
Li N Te Zn      ,23,56.8,6.0,True
Cs Li N O       ,23,4.8,21.75,True
F Ga Li O       ,23,5.9,2.5,True
Li O Se Sr      ,23,46.0,18.25,True
Br Ce Li Te     ,23,13.7,14.25,True
Li N Nb S       ,23,28.8,10.75,True
Br Li N Si      ,23,37.9,2.25,True
Br K Li O       ,23,44.4,19.25,True
F Li N Sb       ,23,10.9,2.75,True
I Li Mg O       ,23,63.5,3.25,True
Cl Gd Li N      ,23,26.5,17.25,True
Li Mg S Te      ,23,21.8,4.25,False
Li S Se Ti      ,23,8.2,9.5,False
F In Li N       ,23,10.9,4.0,True
I K Li O        ,23,63.5,19.0,True
Br Li Se W      ,23,1.1,7.5,False
Li Se Te W      ,23,12.5,8.5,False
Cl K Li N       ,24,26.5,21.25,True
Ce F Li Se      ,24,54.6,14.5,True
F Gd Li Se      ,24,54.6,15.75,True
Gd Li N S       ,24,28.8,17.5,True
Cl Cs Li O      ,24,32.5,20.0,True
Al Li Se Te     ,24,12.5,3.25,False
Cl Ga Li Te     ,24,24.0,2.5,True
Li O Sr Te      ,24,64.3,18.5,True
Br Cl Li Mg     ,24,9.0,4.5,True
Ca Cl Li N      ,24,26.5,19.75,True
Br Li O Zr      ,24,44.4,9.5,True
Ca Li S Se      ,24,8.2,18.25,True
Br Li O Y       ,24,44.4,16.5,True
Li S Te Ti      ,24,21.8,9.75,False
F Li Mo S       ,24,42.9,8.0,True
Br F Li Sn      ,24,52.9,2.25,True
I In Li S       ,24,21.2,1.25,False
Br Cl Ga Li     ,24,9.0,3.0,True
Ce Cl Li N      ,25,26.5,16.0,True
Cl Li N Y       ,25,26.5,18.5,True
Li N Se Sn      ,25,39.4,3.5,True
Ba Cl Li N      ,25,26.5,20.25,True
I Li O W        ,25,63.5,7.25,True
B Cl Li N       ,25,26.5,2.75,True
Li O Ta Te      ,25,64.3,9.25,True
Li S Se V       ,25,8.2,8.75,True
Li N O Sc       ,25,4.8,11.75,True
Al Cl I Li      ,25,23.4,3.0,True
F Li S Ti       ,25,42.9,9.25,True
Cl Li N V       ,25,26.5,10.25,True
F Ge Li Se      ,25,54.6,1.25,True
I Li O Y        ,25,63.5,16.25,True
F Gd Li Te      ,25,73.9,16.0,True
Br Li Mg S      ,25,7.1,3.25,True
Ca I Li O       ,25,63.5,17.5,True
Br Li Mo Se     ,25,1.1,7.75,False
Br F Gd Li      ,25,52.9,16.5,True
Li Mo Se Te     ,25,12.5,8.75,False
Br Li Te W      ,25,13.7,7.75,False
Br In Li N      ,26,37.9,3.5,True
Ce F Li Te      ,26,73.9,14.75,True
Li N Sn Te      ,26,56.8,3.75,True
Cl F Li Zn      ,26,40.3,4.75,True
Cl Li Se V      ,26,10.2,8.5,True
Hf Li O S       ,26,34.9,9.25,True
Br Ce F Li      ,26,52.9,15.25,True
Li S Te V       ,26,21.8,9.0,True
Al Br Li Te     ,26,13.7,2.5,True
F Li N Zn       ,26,10.9,5.5,True
Ba Li S Se      ,26,8.2,18.75,True
B Li S Se       ,26,8.2,1.25,True
F Li Mg S       ,26,42.9,3.75,True
Cl I Li P       ,26,23.4,2.25,True
Ba I Li O       ,26,63.5,18.0,True
B I Li O        ,26,63.5,0.5,True
Cl Li Mg Te     ,26,24.0,4.0,False
Ca Li S Te      ,26,21.8,18.5,False
Li N Se Ti      ,26,39.4,11.5,True
F Ge Li Te      ,26,73.9,1.5,True
Cl Ge Li N      ,26,26.5,2.75,True
Br In Li Te     ,27,13.7,2.0,False
Br Li N Sn      ,27,37.9,2.75,True
Li N S Ta       ,27,28.8,11.0,True
Br Li S V       ,27,7.1,8.0,True
Br Ga Li Se     ,27,1.1,2.0,True
Ga Li Se Te     ,27,12.5,3.0,False
Li N S Sr       ,27,28.8,20.25,True
Ba Li S Te      ,27,21.8,19.0,True
B Li S Te       ,27,21.8,1.5,True
Ce Li N Se      ,27,39.4,16.5,True
Ge I Li O       ,27,63.5,0.5,False
Al F Li Se      ,27,54.6,2.75,True
Al I Li N       ,27,56.1,3.75,True
Cl Li S Sr      ,27,1.8,18.0,True
Cl Li S Ta      ,27,1.8,8.75,True
Li Nb S Se      ,27,8.2,9.0,False
K Li S Se       ,27,8.2,19.75,True
Br F Ge Li      ,27,52.9,2.0,True
I Li O V        ,27,63.5,8.0,True
Ce I Li O       ,27,63.5,13.75,True
F Li S W        ,27,42.9,7.75,True
I Li O Zr       ,27,63.5,9.25,True
I Li S Zn       ,27,21.2,2.75,True
I Li N P        ,27,56.1,2.5,True
Br Cl Li V      ,28,9.0,9.25,True
Cl Li Te V      ,28,24.0,8.75,True
Cl Li Se Ti     ,28,10.2,9.25,True
F Li O Sr       ,28,5.9,18.5,True
Br Ga Li Te     ,28,13.7,2.25,False
Ge Li N Se      ,28,39.4,3.25,True
Gd Li N Se      ,28,39.4,17.75,True
Al F Li Te      ,28,73.9,3.0,True
Cl I Li Sb      ,28,23.4,2.75,True
Li S Se Zr      ,28,8.2,10.0,False
Li Nb S Te      ,28,21.8,9.25,False
K Li S Te       ,28,21.8,20.0,True
Ca F Li S       ,28,42.9,18.0,True
Cl I Li Si      ,28,23.4,1.25,True
I Li N Si       ,28,56.1,2.0,True
Br Li S Ti      ,28,7.1,8.75,True
Li N Te Ti      ,28,56.8,11.75,False
Li S Se Y       ,28,8.2,17.0,True
Li Mo N Se      ,28,39.4,10.25,True
F In Li Se      ,28,54.6,2.25,True
Cl Li Te Ti     ,29,24.0,9.5,False
Cl Li N Nb      ,29,26.5,10.5,True
Br Cl Li Zn     ,29,9.0,4.25,True
Cl F Li Mo      ,29,40.3,9.25,True
Cl F Li W       ,29,40.3,9.0,True
Br Li N Zn      ,29,37.9,5.0,True
Ge Li N Te      ,29,56.8,3.5,True
B F Li S        ,29,42.9,1.0,True
F Li N Sn       ,29,10.9,3.25,True
F Li N Ti       ,29,10.9,11.25,False
Cl Li Nb Se     ,29,10.2,8.75,True
Li S Te Zr      ,29,21.8,10.25,True
Ce Li N Te      ,29,56.8,16.75,True
Cl Li O Sc      ,29,32.5,10.0,True
Li S Te Y       ,29,21.8,17.25,False
