phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li La Mo Se S,0.427,0.48,210,8.2,51.2,3.0,16.8,17.0,False
Li Y Te I Br,0.284,0.606,210,13.7,,,11.8,15.2,False
Li Al Mo I Cl,0.493,0.475,210,23.4,14.8,3.0,9.9,8.0,False
Li La Mo Se S,0.427,0.48,210,8.2,51.2,3.0,16.8,17.0,False
Rb Li Y S Cl,0.321,0.551,210,1.8,59.6,2.0,26.0,28.2,False
Li Ge W Br N,0.328,0.55,210,37.9,0.4,2.0,9.7,7.4,False
Li La Ta S F,0.403,0.49,210,42.9,42.9,2.0,17.4,17.6,False
Li Nb Zn Te F,0.303,0.567,210,73.9,7.3,3.0,11.3,9.4,False
Li Nb Sb Br F,0.339,0.529,210,52.9,1.2,2.0,9.2,8.8,False
Cs Rb Li Cl O,0.66,0.461,210,32.5,9.0,0.0,28.7,31.0,False
Li Zr Ge Br Cl,0.274,0.614,210,9.0,11.7,0.0,9.6,8.4,False
Rb Li Te S O,0.296,0.577,210,64.3,,,13.2,17.2,True
Li Ta Sn S Br,0.286,0.59,210,7.1,1.2,1.0,8.8,7.0,False
Cs Li Y Se Cl,0.404,0.482,210,10.2,74.0,2.0,26.4,28.6,False
Li Sc Zn Se I,0.258,0.666,210,12.0,0.6,1.0,11.0,9.6,False
Sr Li Y Te Cl,0.298,0.575,210,24.0,26.9,1.0,25.5,27.4,False
Li Te P W O,0.341,0.526,210,64.3,39.4,1.0,8.5,7.0,True
Li La Al Br O,0.438,0.479,210,44.4,73.6,0.0,11.9,12.2,False
Li Sc Sn Se S,0.264,0.654,210,8.2,6.6,1.0,9.8,8.4,False
Li Sc Te S F,0.32,0.552,210,73.9,,,9.2,9.6,True
Li Ga W Se N,0.309,0.56,210,39.4,0.9,3.0,11.3,9.0,False
Sr Li Nb S N,0.366,0.501,210,28.8,61.0,3.0,20.5,22.4,False
Li Sc Sn Se F,0.273,0.618,210,54.6,6.6,1.0,9.8,8.4,False
Ba Li Mg Br N,0.399,0.491,210,37.9,73.3,0.0,16.2,18.2,False
Li La Mo O F,0.512,0.47,210,5.9,51.2,3.0,16.7,17.0,False
Li Gd Ti Se O,0.61,0.466,210,46.0,26.2,1.0,18.2,19.0,False
Li Y Ta Br O,0.54,0.469,210,44.4,26.8,2.0,18.2,19.6,False
Li Nb Sb Se F,0.299,0.571,210,54.6,1.2,2.0,8.9,8.2,False
K Rb Li Br O,0.582,0.468,210,44.4,9.2,0.0,28.1,30.4,False
Li Sc Ge Te O,0.301,0.569,210,64.3,14.9,1.0,9.6,8.2,False
Li Zn Te Mo I,0.275,0.611,210,0.5,13.5,4.0,10.4,8.2,False
Ba Li Al Te I,0.358,0.514,210,0.5,120.7,1.0,13.8,15.8,False
Li Sc V S Cl,0.311,0.558,210,1.8,13.8,2.0,15.2,13.8,False
Cs Li Mg S Br,0.359,0.512,210,7.1,110.5,1.0,15.6,17.8,False
Li Ca Sc Cl F,0.315,0.554,210,40.3,28.8,1.0,20.5,22.6,False
Li Gd Ga Se O,0.416,0.481,210,46.0,41.4,0.0,12.6,13.4,False
Li La Ga Te Se,0.269,0.642,210,12.5,54.2,0.0,12.6,12.8,False
Cs Li Ti I N,0.475,0.476,210,56.1,112.5,3.0,21.4,23.6,False
Li La Zn Se I,0.285,0.596,210,12.0,33.2,1.0,12.6,12.8,False
Li Mg Nb S Br,0.333,0.543,210,7.1,4.9,3.0,10.7,8.8,False
Li Sc Zn S O,0.345,0.523,210,34.9,0.6,1.0,11.2,9.8,False
Li Mg Ta Br F,0.317,0.553,210,52.9,4.9,3.0,11.7,10.2,False
Li Ti Nb Te S,0.306,0.564,210,21.8,3.9,1.0,15.7,14.0,False
Li Si Te W O,0.362,0.511,210,64.3,42.0,2.0,8.5,6.2,False
Li V Mo Br F,0.351,0.522,210,52.9,0.3,1.0,14.9,13.2,False
Li Zr Ga Br Cl,0.292,0.582,210,9.0,13.2,1.0,10.6,9.4,False
Li Hf Te S Cl,0.363,0.508,210,24.0,,,8.8,9.0,False
Li In Mo Se Br,0.36,0.513,211,1.1,21.3,3.0,9.2,7.0,False
K Li Ge Te Cl,0.333,0.544,211,24.0,97.4,3.0,13.6,15.8,False
Li Nb Te Br F,0.344,0.526,211,73.9,,,9.2,9.4,True
Li Gd Al S F,0.593,0.468,211,42.9,59.3,0.0,12.8,13.6,False
Li Sc Ge I N,0.266,0.662,211,56.1,14.9,1.0,10.4,9.0,False
Li Al Br N Cl,0.365,0.508,211,37.9,,,6.5,3.0,True
Li Y Mo Se N,0.367,0.504,211,39.4,34.2,3.0,19.5,20.8,False
Sr Li Mo Br Cl,0.366,0.506,211,9.0,70.3,4.0,18.6,20.8,False
Li Ca Sc Se F,0.353,0.522,211,54.6,28.8,1.0,20.0,21.8,False
Ba Li Hf S N,0.514,0.472,211,28.8,75.3,2.0,21.2,23.2,False
Rb Li Ti S Br,0.284,0.609,211,7.1,94.9,3.0,19.8,22.0,False
Li Te W S I,0.295,0.582,211,21.8,,,7.7,7.2,False
K Li Hf Te O,0.479,0.476,211,64.3,78.8,3.0,20.4,22.6,False
Li V Zn I F,0.3,0.572,211,73.1,13.2,3.0,11.1,9.4,False
Li Ta V O F,0.515,0.471,211,5.9,5.5,0.0,15.1,13.4,False
Li V Te Se O,0.26,0.671,211,64.3,,,8.6,8.4,True
Li Zn In I F,0.352,0.523,211,73.1,6.8,1.0,7.9,4.2,False
Sr Li Sb Se I,0.258,0.675,211,12.0,59.0,1.0,12.1,15.2,False
Li Ta Ge Se Cl,0.274,0.616,211,10.2,6.5,1.0,9.0,7.2,False
Li Zr W N F,0.554,0.469,211,10.9,12.2,2.0,16.3,14.8,False
Li Sc Sn Br Cl,0.299,0.576,211,9.0,6.6,1.0,9.9,8.8,False
Li La Sc S Br,0.308,0.568,211,7.1,32.4,0.0,17.8,18.0,False
Li Sn Sb Te N,0.292,0.587,211,56.8,0.0,1.0,7.1,2.8,False
Li Gd Y S F,0.502,0.475,211,42.9,3.4,0.0,23.7,25.0,False
Sr Li Nb Cl F,0.408,0.484,211,40.3,61.0,3.0,19.6,21.8,False
Li Sc Ge N F,0.288,0.593,211,10.9,14.9,1.0,11.0,9.6,True
Li Sc V O F,0.376,0.5,211,5.9,13.8,2.0,15.5,14.2,False
Li Sc In Te Cl,0.359,0.517,211,24.0,6.2,0.0,10.4,9.0,False
Li Ga Ge Te Cl,0.269,0.66,211,24.0,1.3,1.0,6.5,2.0,False
Li Zr Ti I F,0.372,0.501,211,73.1,1.0,0.0,16.2,15.0,False
Li Ta Sb Br F,0.315,0.556,211,52.9,1.2,2.0,9.3,9.0,True
Li Ta Sb Br F,0.315,0.556,211,52.9,1.2,2.0,9.3,9.0,True
Li Ca Mo Se Br,0.328,0.551,211,1.1,47.1,4.0,18.0,19.8,False
Li Hf W O F,0.55,0.47,211,5.9,10.9,2.0,14.7,13.2,False
Li Te W S I,0.295,0.582,211,21.8,,,7.7,7.2,False
K Li In I O,0.439,0.479,211,63.5,61.7,2.0,13.7,16.0,True
Li Zr Sb Te I,0.262,0.668,211,0.5,3.6,1.0,8.9,8.6,False
Li Gd Si Te Cl,0.421,0.482,211,24.0,99.1,1.0,11.6,12.4,False
Li Ga Mo S F,0.369,0.503,211,42.9,2.0,3.0,9.6,7.4,False
Li V Ga Br Cl,0.273,0.619,211,9.0,2.3,2.0,10.1,8.4,False
Li Nb W S N,0.431,0.481,211,28.8,7.0,1.0,15.9,14.0,False
K Li Te Mo Br,0.4,0.492,211,13.7,96.1,5.0,19.0,21.2,False
Li Ta P Se I,0.27,0.646,211,12.0,49.1,0.0,8.4,7.4,False
Li V I Br Cl,0.287,0.598,211,23.4,,,9.5,10.0,False
Li Hf Se Br O,0.394,0.494,211,46.0,,,8.7,9.2,True
Li Y Sn I F,0.32,0.553,211,73.1,25.3,1.0,12.6,14.2,False
Li Sc Sn N O,0.404,0.486,211,4.8,6.6,1.0,11.0,9.6,True
Sr Li Ti Te F,0.29,0.59,211,73.9,55.0,2.0,19.7,21.6,False
Li B W Cl F,0.364,0.511,211,40.3,87.0,3.0,9.0,7.2,True
Li Mg Sc Te Cl,0.31,0.56,211,24.0,2.9,1.0,11.8,10.4,False
Li Ca In Te I,0.348,0.524,211,0.5,21.3,1.0,13.2,15.0,False
Sr Li La Se Cl,0.336,0.533,211,10.2,12.6,1.0,23.1,25.0,False
Sr Li La Se Cl,0.336,0.533,211,10.2,12.6,1.0,23.1,25.0,False
Li Al B Te Br,0.277,0.612,211,13.7,64.6,0.0,6.2,2.0,False
Li V B I Cl,0.293,0.584,211,23.4,89.6,2.0,8.7,7.2,False
Li Mg Sc Se Cl,0.309,0.569,212,10.2,2.9,1.0,11.6,10.2,False
Cs Li Zn Se Br,0.33,0.552,212,1.1,105.7,1.0,15.6,17.8,False
Rb Li Ca S O,0.44,0.479,212,34.9,45.6,1.0,27.0,29.2,False
Ba Li Al N Cl,0.436,0.481,212,26.5,120.7,1.0,15.4,17.4,False
Li Y B Te I,0.29,0.592,212,0.5,153.7,0.0,11.7,13.2,False
Li Zr W I O,0.514,0.474,212,63.5,12.2,2.0,14.2,12.8,False
Li Zr Sc Br O,0.367,0.507,212,44.4,2.9,1.0,16.1,14.8,False
Li Ca Gd Te N,0.493,0.476,212,56.8,6.0,1.0,26.2,28.0,False
Li Hf Ga S O,0.394,0.495,212,34.9,11.8,1.0,10.0,8.4,True
Li Al Ga I O,0.354,0.522,212,63.5,12.6,0.0,6.9,2.6,False
Li Ga Te W S,0.279,0.613,212,21.8,0.9,3.0,9.9,7.6,False
K Sr Li Te N,0.425,0.482,212,56.8,15.2,1.0,29.2,31.4,False
Rb Li Se S O,0.295,0.586,212,46.0,,,13.2,17.4,True
Sr Li Mg I Br,0.273,0.627,212,13.2,53.5,0.0,14.8,17.0,False
Li Nb V Te Cl,0.293,0.588,212,24.0,5.5,0.0,15.1,13.2,False
Li Mg Ge N Cl,0.317,0.557,212,26.5,11.7,2.0,8.3,4.4,False
Rb Li La Cl O,0.613,0.468,212,32.5,41.6,2.0,23.9,26.2,False
Li Ca Si I Br,0.296,0.585,212,13.2,111.1,2.0,12.3,14.4,False
Li La Sc N Cl,0.378,0.5,212,26.5,32.4,0.0,19.6,19.8,False
Li La Si Br Cl,0.368,0.505,212,9.0,117.0,1.0,11.1,11.6,False
Li Ge Mo S F,0.348,0.525,212,42.9,0.6,2.0,8.6,6.4,False
Li Zr Sn Te O,0.31,0.568,212,64.3,3.6,0.0,9.7,8.2,False
Ba Li Sc Te N,0.424,0.485,212,56.8,68.4,1.0,22.0,24.0,False
Sr Li In Te Br,0.304,0.572,212,13.7,40.4,1.0,13.5,15.4,False
Li Zr Sn Te S,0.275,0.618,212,21.8,3.6,0.0,9.9,8.4,False
Li Sc Si Br N,0.351,0.524,212,37.9,63.9,1.0,10.4,9.0,False
Li Mg Sc Se Cl,0.309,0.569,212,10.2,2.9,1.0,11.6,10.2,False
Ba Li Y Te I,0.359,0.521,212,0.5,43.3,1.0,25.2,27.2,False
Li V Sb Te O,0.282,0.612,212,64.3,6.8,2.0,8.8,8.0,False
Li Ta Se S N,0.333,0.548,212,39.4,,,9.0,7.8,False
Li Ca In Se I,0.347,0.532,212,12.0,21.3,1.0,13.0,14.8,False
Li Sc Al Te Br,0.324,0.553,212,13.7,31.1,0.0,10.6,9.2,False
Li Zr Sb Te O,0.301,0.575,212,64.3,3.6,1.0,9.3,9.0,False
Rb Li Al N F,0.56,0.47,212,10.9,145.9,2.0,16.4,18.6,True
Li Al Ge Te I,0.285,0.61,212,0.5,14.1,1.0,6.2,1.8,False
Li Sc W O F,0.483,0.478,212,5.9,15.4,3.0,14.9,13.6,False
Li Ca W Se I,0.335,0.544,212,12.0,48.7,4.0,17.6,19.4,False
Li La Br Cl O,0.413,0.486,212,44.4,,,11.3,14.0,True
Li Sn W S I,0.302,0.573,212,21.2,8.3,2.0,8.1,5.8,False
Li Sn Te Se N,0.27,0.647,212,56.8,,,6.3,2.0,False
Li Y Te I F,0.313,0.562,212,73.9,,,12.2,15.6,True
Ba Li V I Cl,0.362,0.513,212,23.4,91.6,3.0,18.9,21.2,False
Li Sc Te Se I,0.258,0.681,212,12.5,,,8.8,9.2,False
Li V Sn Se O,0.267,0.663,212,46.0,6.8,1.0,9.0,7.0,False
Li Mg Ti Te Se,0.263,0.676,212,12.5,1.0,2.0,11.9,10.2,False
Sr Li Sb Se O,0.297,0.582,212,46.0,59.0,1.0,12.5,15.6,False
Cs Li Te W O,0.526,0.471,212,64.3,136.1,5.0,19.4,21.6,False
Li Sc Ge Se O,0.3,0.577,212,46.0,14.9,1.0,9.4,8.0,False
Li Nb W Se O,0.404,0.488,212,46.0,7.0,1.0,14.3,12.4,False
Li Y Mo I N,0.373,0.501,212,56.1,34.2,3.0,18.7,20.0,False
Li Ti Ga Br F,0.318,0.556,212,52.9,12.1,1.0,10.6,9.2,False
Li Ta Sb N F,0.366,0.509,212,10.9,1.2,2.0,9.8,8.6,True
Rb Li Mg N O,0.571,0.469,212,4.8,93.0,1.0,17.2,19.4,False
Li Y Sc Cl F,0.405,0.487,212,40.3,17.5,0.0,20.0,21.6,False
Sr Li Ga Te N,0.287,0.606,212,56.8,73.7,1.0,15.7,17.6,False
Ba Li Ca Se Br,0.337,0.533,212,1.1,30.7,0.0,26.2,28.2,False
Li Zr Te P Se,0.258,0.7,213,12.5,56.4,1.0,9.7,9.0,False
Li Hf Si N Cl,0.439,0.482,213,26.5,57.4,0.0,10.4,8.8,False
Li Ge Sb I Cl,0.274,0.633,213,23.4,7.8,1.0,5.7,2.2,False
Li Gd Zn N F,0.496,0.476,213,10.9,22.2,1.0,15.2,16.0,False
Li B Mo Se Br,0.325,0.555,213,1.1,89.0,3.0,8.2,6.2,True
K Li Te Mo Se,0.369,0.507,213,12.5,96.1,5.0,19.6,21.8,False
Li Sc Sn I O,0.336,0.548,213,63.5,6.6,1.0,9.1,7.8,False
K Li Br N Cl,0.459,0.479,213,37.9,,,13.5,16.6,True
Li Sc B Te S,0.297,0.583,213,21.8,115.9,0.0,9.6,8.4,False
Rb Ba Li Se S,0.317,0.559,213,8.2,11.4,1.0,27.8,30.0,False
Sr Li V S I,0.27,0.65,213,21.2,69.8,3.0,18.1,20.0,False
Li Sn W I Cl,0.339,0.533,213,23.4,8.3,2.0,8.8,6.8,False
Li Mg Nb S N,0.407,0.487,213,28.8,4.9,3.0,12.7,10.8,False
Sr Li Nb N Cl,0.429,0.483,213,26.5,61.0,3.0,20.3,22.2,False
Li Mg Al I Br,0.305,0.572,213,13.2,27.4,1.0,8.0,4.4,False
Li Ta Ti N F,0.554,0.472,213,10.9,3.9,1.0,17.1,15.4,False
Li In Ga O F,0.394,0.499,213,5.9,23.7,0.0,7.2,2.8,True
Li Hf Ge S O,0.376,0.501,213,34.9,10.4,0.0,9.0,7.4,False
Li Zn Ge I Cl,0.279,0.615,213,23.4,14.3,2.0,6.9,3.2,False
Cs Li Sn Se S,0.338,0.535,213,8.2,118.1,3.0,14.2,16.4,False
Li Ga Ge Se Cl,0.268,0.668,213,10.2,1.3,1.0,6.3,1.8,False
Li Hf Se S Cl,0.362,0.517,213,10.2,,,8.8,9.2,False
K Li B N F,0.493,0.478,213,10.9,270.7,2.0,14.8,17.2,True
Li Ti Nb Br F,0.384,0.5,213,52.9,3.9,1.0,15.8,14.4,False
Li La B S F,0.404,0.491,213,42.9,185.9,0.0,10.8,11.2,True
Ba Li Sc Se F,0.401,0.495,213,54.6,68.4,1.0,20.2,22.2,False
Li Al B Se Br,0.276,0.62,213,1.1,64.6,0.0,6.0,1.8,True
Li In B I O,0.374,0.503,213,63.5,129.3,0.0,5.5,1.2,True
K Li Nb S Br,0.42,0.486,213,7.1,85.4,4.0,19.2,21.4,False
Li Sc Al Br Cl,0.288,0.607,213,9.0,31.1,0.0,10.9,9.8,False
Li Mg Ta Se S,0.292,0.595,213,8.2,4.9,3.0,11.4,9.6,False
K Li Ge Se Cl,0.331,0.553,213,10.2,97.4,3.0,13.4,15.6,False
Li Ca Zr I F,0.363,0.515,213,73.1,32.6,2.0,19.9,22.0,False
Li Y Te Se Br,0.265,0.682,213,13.7,,,11.7,14.8,False
Sr Li Te I N,0.302,0.575,213,56.8,,,12.3,14.8,False
Li Sc Te S Br,0.291,0.596,213,21.8,,,8.8,9.2,True
Rb Li Ti S F,0.314,0.566,213,42.9,94.9,3.0,20.2,22.4,False
Ba Li Ga S Br,0.348,0.526,213,7.1,96.1,1.0,13.4,15.4,False
Li La Sb Te Br,0.3,0.582,213,13.7,41.2,0.0,10.8,12.2,False
Li Sc Ga N F,0.311,0.571,213,10.9,16.4,0.0,12.0,10.6,True
Rb Li Sn S I,0.259,0.686,213,21.2,100.0,3.0,13.2,15.4,False
Li Nb V Se Br,0.271,0.648,213,1.1,5.5,0.0,14.7,12.8,False
Li Y Ge Te I,0.266,0.679,213,0.5,35.1,1.0,11.9,13.2,False
Ba Li Sc Te S,0.366,0.511,213,21.8,68.4,1.0,20.4,22.4,False
K Li Ga Te Cl,0.355,0.522,213,24.0,100.0,2.0,14.6,16.8,False
Li Si B I Br,0.293,0.59,213,13.2,31.7,1.0,5.4,1.2,False
K Sr Li Te S,0.367,0.508,213,21.8,15.2,1.0,27.6,29.8,False
Li La Te Se I,0.285,0.611,213,12.5,,,10.4,12.4,False
Li Sc Se S Br,0.29,0.605,213,8.2,,,8.8,9.4,False
Li Nb Sn N F,0.395,0.496,213,10.9,1.2,1.0,10.7,8.8,True
Ba Li Y I F,0.447,0.48,213,73.1,43.3,1.0,25.7,28.0,False
K Li Gd Te S,0.619,0.469,213,21.8,41.4,2.0,25.4,27.6,False
K Sr Li Se I,0.313,0.57,213,12.0,15.2,1.0,26.8,29.0,False
Ba Li Nb Cl F,0.532,0.473,213,40.3,81.7,3.0,19.7,22.0,False
Li Sc Ti I O,0.374,0.505,214,63.5,3.9,1.0,15.5,14.2,False
Li Ta Si I F,0.337,0.548,214,73.1,51.9,1.0,9.1,7.6,False
Li Y Sn I Br,0.292,0.597,214,13.2,25.3,1.0,12.2,13.8,False
K Li W Se Br,0.366,0.514,214,1.1,98.3,5.0,18.6,20.8,False
Rb Li Si Se S,0.272,0.648,214,8.2,207.4,3.0,13.6,15.8,False
Li Sc Se S F,0.319,0.561,214,54.6,,,9.2,9.8,True
Li Y Sc N Cl,0.426,0.486,214,26.5,17.5,0.0,20.7,22.0,False
Li Mg Nb O F,0.408,0.492,214,5.9,4.9,3.0,11.2,9.4,False
Li Sc Al I Cl,0.331,0.555,214,23.4,31.1,0.0,10.7,9.6,False
Li La Al N F,0.535,0.473,214,10.9,73.6,0.0,13.8,14.0,False
Li Ti Zn Te F,0.329,0.557,214,73.9,3.3,2.0,11.5,9.8,False
Li V Sn Te O,0.291,0.605,214,64.3,6.8,1.0,9.2,7.2,False
Li Ca Ge Te Br,0.265,0.683,214,13.7,48.1,2.0,12.6,14.4,False
Sr Li Zr Te Br,0.269,0.671,214,13.7,53.5,2.0,19.7,21.6,False
Li Y In Te I,0.315,0.567,214,0.5,10.6,0.0,12.7,14.0,False
Li La Mg Te Br,0.302,0.579,214,13.7,36.3,1.0,13.2,13.4,False
Li La Te Se N,0.403,0.495,214,56.8,,,11.4,12.2,False
Li Ti Zn Se S,0.297,0.588,214,8.2,3.3,2.0,11.3,9.6,False
Ba Li In Te I,0.396,0.498,214,0.5,58.5,1.0,13.4,15.4,False
Li Ta W N O,0.657,0.471,214,4.8,7.0,1.0,15.8,14.0,False
Li Ga W Br N,0.35,0.528,214,37.9,0.9,3.0,10.7,8.4,False
Li Ge B Te Br,0.262,0.687,214,13.7,87.8,1.0,5.6,0.8,False
Cs Li Al N Cl,0.577,0.472,214,26.5,168.1,2.0,16.4,18.6,False
Li Zr Ti Te Cl,0.338,0.541,214,24.0,1.0,0.0,16.1,14.6,False
Li Nb Zn Br N,0.367,0.509,214,37.9,7.3,3.0,12.1,10.2,False
Li Gd Sc O F,0.512,0.476,214,5.9,21.5,0.0,18.9,19.8,False
Ba Li Si I Br,0.362,0.518,214,13.2,175.9,2.0,12.5,14.8,False
Li Y Ge Te F,0.288,0.61,214,73.9,35.1,1.0,12.5,13.8,False
Li Nb S I N,0.379,0.501,214,56.1,,,8.1,6.8,True
Li Sc Ti I O,0.374,0.505,214,63.5,3.9,1.0,15.5,14.2,False
Li Y Ti Se Cl,0.354,0.527,214,10.2,22.1,1.0,18.7,20.0,False
Li Nb Sn Te F,0.31,0.574,214,73.9,1.2,1.0,9.5,7.6,False
Li Ge B Se Br,0.261,0.695,214,1.1,87.8,1.0,5.4,0.6,True
Li Mg Ta Se Br,0.276,0.623,214,1.1,4.9,3.0,11.0,9.2,False
Li Zr Sc N O,0.448,0.483,214,4.8,2.9,1.0,17.8,16.4,False
Sr Li Y N F,0.401,0.497,214,10.9,26.9,1.0,26.9,28.8,False
Li Mg Nb N O,0.452,0.481,214,4.8,4.9,3.0,12.5,10.6,False
Li Sc Ga Br N,0.282,0.615,214,37.9,16.4,0.0,11.6,10.2,False
Li La Te W O,0.532,0.475,214,64.3,52.9,3.0,16.6,16.8,False
Li Mg Sc Te O,0.363,0.517,214,64.3,2.9,1.0,11.8,10.4,False
Li Sc Sn Se I,0.26,0.697,214,12.0,6.6,1.0,9.2,7.8,False
Sr Li Mg Te I,0.27,0.651,214,0.5,53.5,0.0,14.7,16.6,False
Li Ti Zn Te F,0.329,0.557,214,73.9,3.3,2.0,11.5,9.8,False
K Li Zr Te I,0.317,0.563,214,0.5,76.7,3.0,20.2,22.4,False
Li Y Mo Se Br,0.316,0.566,214,1.1,34.2,3.0,17.5,18.8,False
K Li Nb Se N,0.496,0.477,214,39.4,85.4,4.0,21.4,23.6,False
Li In P I Br,0.32,0.559,214,13.2,70.9,2.0,5.9,2.4,False
Sr Li V Br F,0.294,0.59,214,52.9,69.8,3.0,19.2,21.4,False
Li Nb P I Cl,0.356,0.523,214,23.4,49.1,0.0,8.8,8.0,False
Sr Li Zr Br N,0.336,0.551,214,37.9,53.5,2.0,20.9,22.8,False
Li Ta Sn S O,0.34,0.533,214,34.9,1.2,1.0,9.0,7.2,False
Cs Li V Se Cl,0.348,0.529,214,10.2,132.8,4.0,19.8,22.0,False
K Ba Li Se Br,0.412,0.487,214,1.1,2.0,1.0,27.2,29.4,False
Cs Li B Te Se,0.335,0.553,214,12.5,341.5,2.0,14.2,16.6,False
Li Zr Al I Br,0.333,0.554,214,13.2,27.4,1.0,10.4,9.2,False
Ba Li Al N F,0.462,0.48,214,10.9,120.7,1.0,15.6,17.6,True
Li In W Br Cl,0.409,0.488,214,9.0,22.6,3.0,9.6,7.6,False
Li Nb Sn Te Br,0.281,0.617,214,13.7,1.2,1.0,9.1,7.2,False
Ba Li B Te F,0.325,0.558,214,73.9,263.4,1.0,13.0,15.2,False
Li Ga P I Cl,0.299,0.584,214,23.4,38.2,2.0,6.2,2.8,False
Sr Li Y S Br,0.314,0.568,214,7.1,26.9,1.0,24.9,26.8,False
Li Sc Ti Br Cl,0.339,0.534,214,9.0,3.9,1.0,16.3,15.2,False
Rb Li Ti Cl O,0.447,0.484,214,32.5,94.9,3.0,20.1,22.4,False
Cs Li Sc S F,0.411,0.488,215,42.9,104.5,2.0,21.0,23.2,False
Li Y Ti I F,0.409,0.492,215,73.1,22.1,1.0,19.0,20.6,False
Li P W Se N,0.342,0.533,215,39.4,39.4,1.0,9.9,8.2,True
Sr Li Y S O,0.367,0.51,215,34.9,26.9,1.0,25.1,27.0,False
Li Ca Ge Se Br,0.264,0.691,215,1.1,48.1,2.0,12.4,14.2,False
Li Sc Zn Br F,0.33,0.557,215,52.9,0.6,1.0,11.9,10.8,False
Cs Li Zr S I,0.407,0.495,215,21.2,110.5,3.0,20.2,22.4,False
Li Nb Zn Se N,0.329,0.56,215,39.4,7.3,3.0,12.7,10.8,False
Li Gd Zn S Br,0.396,0.5,215,7.1,22.2,1.0,13.2,14.0,False
Li Y In I Cl,0.398,0.498,215,23.4,10.6,0.0,13.0,14.6,False
Li V Mo Se I,0.273,0.648,215,12.0,0.3,1.0,14.0,12.0,False
Li Y Si Se N,0.318,0.568,215,39.4,92.6,1.0,13.7,15.0,False
Li Mg Ga N Cl,0.339,0.535,215,26.5,13.2,1.0,9.3,5.4,False
Ba Sr Li Te Br,0.338,0.543,215,13.7,12.9,0.0,26.6,28.6,False
Li Ge Te I Cl,0.279,0.63,215,24.0,,,5.7,2.8,False
Li Ca La Se Cl,0.392,0.501,215,10.2,2.8,1.0,23.0,24.8,False
Cs Li Ge N O,0.457,0.484,215,4.8,135.1,3.0,15.2,17.4,True
K Li Nb Br O,0.464,0.48,215,44.4,85.4,4.0,19.3,21.6,False
Ba Li Sc Se S,0.365,0.52,215,8.2,68.4,1.0,20.2,22.2,False
Li Sc Br Cl F,0.29,0.613,215,52.9,,,10.7,11.8,True
Li Zr Ta Br O,0.507,0.478,215,44.4,4.9,1.0,15.4,14.0,False
Li Sn Te Mo I,0.283,0.617,215,0.5,7.1,2.0,8.6,6.4,False
K Li Ga Se Cl,0.354,0.531,215,10.2,100.0,2.0,14.4,16.6,False
Ba Li Sc Te Se,0.319,0.562,215,12.5,68.4,1.0,20.6,22.6,False
Cs Li Sc S N,0.432,0.486,215,28.8,104.5,2.0,22.6,24.8,False
Li Ge Se I Cl,0.278,0.638,215,23.4,,,5.7,3.0,False
Li Zr Sb Se N,0.302,0.582,215,39.4,3.6,1.0,10.3,9.4,False
Sr Li Ti Te S,0.282,0.626,215,21.8,55.0,2.0,19.7,21.6,False
Li Zr Mo I Cl,0.383,0.506,215,23.4,11.0,2.0,15.0,13.8,False
Li Zr Nb Se Br,0.291,0.612,215,1.1,4.9,1.0,15.3,13.8,False
Li Gd Sn S F,0.424,0.487,215,42.9,29.5,1.0,11.8,12.6,False
Li Si W Se Br,0.289,0.616,215,1.1,42.0,2.0,8.1,5.8,False
Li La B O F,0.449,0.485,215,5.9,185.9,0.0,10.9,11.4,True
Rb Li Zn Se Cl,0.271,0.652,215,10.2,88.6,1.0,15.6,17.8,False
Li Sc Al Se Br,0.323,0.561,215,1.1,31.1,0.0,10.4,9.0,False
Ba Li Al Se I,0.357,0.523,215,12.0,120.7,1.0,13.6,15.6,False
Li Ta Ti I O,0.514,0.477,215,63.5,3.9,1.0,15.0,13.4,False
Li Mg W Se I,0.292,0.606,215,12.0,12.2,4.0,10.3,8.0,False
Li Sc Sb S N,0.295,0.59,215,28.8,6.6,0.0,10.2,9.4,False
Sr Li Sb I F,0.3,0.586,215,73.1,59.0,1.0,12.8,16.2,False
K Li Ta Te Cl,0.535,0.475,215,24.0,85.4,4.0,20.0,22.2,False
Cs Li La Te S,0.459,0.481,215,21.8,54.4,2.0,24.6,26.8,False
Li Y W S O,0.556,0.473,215,34.9,35.7,3.0,17.3,18.6,False
Rb Li Te P S,0.276,0.644,215,21.8,201.8,4.0,13.8,16.8,False
Li Sc Te Se O,0.297,0.589,215,64.3,,,9.2,9.6,False
Li Mg Ta Se F,0.305,0.58,215,54.6,4.9,3.0,11.4,9.6,False
Sr Li Sn Se Br,0.261,0.715,215,1.1,59.0,2.0,12.7,14.6,False
Li Gd Nb Te O,0.654,0.472,215,64.3,31.1,2.0,18.0,18.8,False
Cs Li Nb Cl O,0.549,0.474,215,32.5,120.7,4.0,19.9,22.2,False
K Li In Te Br,0.382,0.508,215,13.7,61.7,2.0,14.2,16.4,False
Li Sc Ti Se F,0.314,0.577,215,54.6,3.9,1.0,16.2,14.8,False
Li Sc Br Cl F,0.29,0.613,215,52.9,,,10.7,11.8,True
