phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Ga Si S O,0.048,0.269,11,34.9,40.7,1.0,5.9,1.4,False
Li Mg Al Se S,0.045,0.305,11,8.2,27.4,1.0,8.3,4.4,False
Li In Te S O,0.059,0.164,11,64.3,,,5.8,3.0,True
Li Ca Si S Cl,0.052,0.198,11,1.8,111.1,2.0,12.2,14.0,False
Li Mg P S Cl,0.041,0.309,11,1.8,56.4,3.0,6.5,3.4,False
Li Ge Te S O,0.026,0.327,11,64.3,,,5.4,2.2,False
K Li Si Cl O,0.176,0.071,11,32.5,181.5,3.0,13.1,15.4,True
Li Ca Ti Cl O,0.134,0.091,11,32.5,33.9,2.0,19.1,21.0,False
Ba Li Si S O,0.141,0.09,11,34.9,175.9,2.0,12.4,14.4,False
Li Zn P S Br,0.026,0.383,12,7.1,60.0,3.0,6.2,3.0,False
Li B Te Cl O,0.058,0.175,12,64.3,,,5.6,2.8,True
Li B Se Cl O,0.057,0.185,12,46.0,,,5.6,3.0,True
Li Zn In N O,0.131,0.105,12,4.8,6.8,1.0,9.0,5.0,False
Ba Li Al S O,0.173,0.08,12,34.9,120.7,1.0,13.8,15.8,False
Ba Li Te Cl O,0.145,0.091,12,64.3,,,12.5,16.4,True
Li Mg P Cl O,0.064,0.164,12,32.5,56.4,3.0,6.6,3.6,True
Ba Li P N O,0.206,0.075,12,4.8,170.9,3.0,13.8,16.4,True
Ba Li Sb Cl O,0.139,0.095,12,32.5,79.5,1.0,12.5,15.8,True
Ba Li In S O,0.226,0.074,12,34.9,58.5,1.0,13.4,15.4,False
Li Al V Cl O,0.083,0.122,12,32.5,15.2,2.0,9.9,8.0,False
Li B Sb S O,0.05,0.232,12,34.9,102.4,0.0,5.5,2.0,True
Li Mg Te S Cl,0.039,0.318,12,24.0,,,6.5,4.4,False
Li Al Si Br O,0.082,0.129,12,44.4,25.0,1.0,5.9,1.6,True
Li Ge P S O,0.029,0.319,12,34.9,40.0,1.0,5.4,1.2,False
Ba Li P O F,0.18,0.077,12,5.9,170.9,3.0,12.7,15.6,True
Li Sb P Cl F,0.049,0.295,12,40.3,50.9,2.0,7.0,3.8,True
Li Sn Br Cl O,0.053,0.211,12,44.4,,,6.2,3.8,True
Li Zn P S Br,0.026,0.383,12,7.1,60.0,3.0,6.2,3.0,False
Li Ca Zn O F,0.123,0.119,12,5.9,29.5,0.0,14.7,16.6,False
Li Al P Br O,0.081,0.155,12,44.4,22.7,2.0,5.9,2.4,True
Li Ga P Se S,0.025,0.481,12,8.2,38.2,2.0,6.3,2.6,False
Li In P Cl O,0.126,0.113,12,32.5,70.9,2.0,5.9,2.2,True
Li Zn P Br Cl,0.028,0.357,12,9.0,60.0,3.0,6.9,4.0,True
Li In Sn S O,0.061,0.184,13,34.9,13.3,1.0,6.2,1.6,False
Li Sn B S Cl,0.032,0.32,13,1.8,102.4,1.0,5.5,0.8,True
Li Ga Te P S,0.027,0.472,13,21.8,38.2,2.0,6.5,2.8,False
Li Si S O F,0.083,0.139,13,42.9,,,5.6,3.2,True
Li Ca Zn S O,0.081,0.158,13,34.9,29.5,0.0,14.4,16.2,False
Li B S N O,0.126,0.118,13,34.9,,,5.5,1.4,True
Li Si B O F,0.098,0.136,13,5.9,31.7,1.0,5.6,1.2,True
Li Mg Zn Cl O,0.068,0.175,13,32.5,2.3,0.0,8.8,5.0,False
Li Zr Al S O,0.105,0.133,13,34.9,27.4,1.0,10.3,8.8,False
Ba Li Zn O F,0.184,0.088,13,5.9,69.3,0.0,14.9,17.0,False
Li Zr Al N O,0.174,0.091,13,4.8,27.4,1.0,11.9,10.4,False
Li Sn Ge S O,0.029,0.345,13,34.9,7.8,0.0,5.7,0.8,False
Li Y Al O F,0.192,0.083,13,5.9,54.1,0.0,13.4,14.8,False
Li Ti Al S Cl,0.069,0.164,13,1.8,26.2,1.0,10.1,8.4,False
Li In Sb N O,0.125,0.128,13,4.8,13.3,0.0,6.8,2.8,True
K Li In S O,0.197,0.078,13,34.9,61.7,2.0,14.0,16.2,True
Li Te P Br Cl,0.028,0.374,13,24.0,,,6.6,4.0,False
Ba Li Se Cl O,0.143,0.101,13,46.0,,,12.5,16.6,True
Li Al In Te O,0.136,0.117,13,64.3,39.3,0.0,7.4,3.0,False
Ba Li Ti N O,0.255,0.074,13,4.8,75.0,2.0,20.8,22.8,False
Li Zr Al O F,0.146,0.094,13,5.9,27.4,1.0,10.6,9.2,False
Li Sn S Br O,0.051,0.263,13,44.4,,,5.4,2.8,True
Li Al Se S F,0.055,0.218,13,54.6,,,6.2,3.8,True
Ba Li Ti O F,0.23,0.076,13,5.9,75.0,2.0,19.5,21.6,False
Li P S Cl F,0.053,0.223,13,42.9,,,7.0,4.8,True
Li P S Br O,0.052,0.235,13,44.4,,,6.0,3.6,True
Li Zn Si S Cl,0.049,0.305,13,1.8,63.0,2.0,6.4,2.4,False
Li Al Zn S F,0.057,0.191,13,42.9,30.4,1.0,8.0,4.0,False
Li Sb P Br O,0.049,0.307,14,44.4,50.9,2.0,6.0,2.6,False
Li Ca Sn Cl O,0.085,0.141,14,32.5,37.3,2.0,12.7,14.6,False
Li Mg Sb S Cl,0.032,0.322,14,1.8,3.6,1.0,6.5,3.8,False
Li Sn P S Br,0.028,0.417,14,7.1,50.9,1.0,5.3,1.2,False
Li Sn P Br Cl,0.03,0.392,14,9.0,50.9,1.0,6.0,2.2,True
Li Y Al N O,0.218,0.081,14,4.8,54.1,0.0,14.7,16.0,False
Li Ca P N O,0.148,0.106,14,4.8,107.3,3.0,13.6,16.0,False
Li Mg Te Cl O,0.067,0.193,14,64.3,,,6.6,4.6,False
Li Si P Cl F,0.054,0.239,14,40.3,1.9,1.0,6.2,2.6,False
Li Zn In Cl O,0.129,0.123,14,32.5,6.8,1.0,7.5,3.6,True
Ba Li Sn Cl O,0.147,0.111,14,32.5,79.5,2.0,12.9,15.0,True
Li Mg Al Te O,0.075,0.169,14,64.3,27.4,1.0,8.3,4.4,False
Li Al Te S F,0.057,0.209,14,73.9,,,6.2,3.6,True
Li Ti In N O,0.18,0.093,14,4.8,10.4,1.0,11.3,9.6,False
Ba Li Zn N O,0.21,0.086,14,4.8,69.3,0.0,16.2,18.2,True
Li Mg Al Se O,0.073,0.179,14,46.0,27.4,1.0,8.1,4.2,False
Li Sn B Cl O,0.06,0.194,14,32.5,102.4,1.0,5.6,1.0,True
Li Ti In S O,0.112,0.134,14,34.9,10.4,1.0,9.7,8.0,False
Li Zr Cl O F,0.139,0.118,14,40.3,,,10.0,11.0,True
Li Sn S Cl F,0.052,0.251,14,42.9,,,6.4,4.0,True
Li Ca Zn S Cl,0.055,0.233,14,1.8,29.5,0.0,14.4,16.2,False
Li Ca P S O,0.084,0.167,14,34.9,107.3,3.0,12.2,14.8,False
Li Zn Ga S O,0.051,0.304,14,34.9,15.8,1.0,7.6,3.6,False
Li Si N O F,0.154,0.098,14,10.9,,,5.6,1.6,True
Li Si Te S Cl,0.049,0.322,15,24.0,,,5.3,2.4,False
Li Ca Zn N O,0.151,0.117,15,4.8,29.5,0.0,16.0,17.8,False
K Li Si N O,0.28,0.085,15,4.8,181.5,3.0,14.6,16.8,False
Li Al Sb S Br,0.05,0.313,15,7.1,23.0,0.0,5.8,2.6,False
Li In Te N O,0.131,0.124,15,64.3,,,6.2,2.2,True
Li Si P Br O,0.053,0.251,15,44.4,1.9,1.0,5.2,1.4,False
Li Ca Sb S O,0.075,0.18,15,34.9,37.3,1.0,12.2,15.2,False
K Li P Cl O,0.175,0.098,15,32.5,176.4,4.0,13.1,16.2,True
Li Zr N Cl O,0.167,0.116,15,32.5,,,9.0,8.2,True
Li Al S I O,0.115,0.137,15,63.5,,,5.7,3.6,True
Li B Se S O,0.055,0.238,15,46.0,,,5.5,2.8,True
Li Si B N O,0.127,0.134,15,4.8,31.7,1.0,6.9,2.4,False
Li Ge Te P O,0.033,0.384,15,64.3,40.0,1.0,5.8,1.6,False
Li Ca In S O,0.169,0.105,15,34.9,21.3,1.0,13.2,15.0,False
Li Ge P Se O,0.032,0.393,15,46.0,40.0,1.0,5.6,1.4,False
Li Zn B S O,0.057,0.21,15,34.9,114.6,1.0,6.4,2.6,True
Sr Li Al Cl O,0.142,0.119,15,32.5,95.6,1.0,13.8,15.8,False
Li Al Si S N,0.085,0.152,15,28.8,25.0,1.0,7.8,3.4,False
K Li Ca S O,0.216,0.09,15,34.9,33.3,1.0,26.8,29.0,False
Li Mg Ge Se S,0.03,0.5,15,8.2,11.7,2.0,7.1,3.2,False
Li Al P S F,0.06,0.2,15,42.9,22.7,2.0,6.2,2.6,False
Li In P Se S,0.034,0.334,15,8.2,70.9,2.0,6.2,2.4,False
Li Mg In S O,0.089,0.145,15,34.9,9.3,1.0,7.5,3.6,False
Li In Te P S,0.036,0.325,15,21.8,70.9,2.0,6.4,2.6,False
Li Si S N Cl,0.077,0.176,15,28.8,,,5.3,1.2,True
Li Mg Sb Cl O,0.061,0.196,15,32.5,3.6,1.0,6.6,4.0,False
Li V S Cl O,0.074,0.2,16,34.9,,,8.5,8.8,True
Li Al W Cl O,0.222,0.097,16,32.5,13.6,3.0,9.6,7.4,False
Li B Te P Cl,0.036,0.359,16,24.0,34.1,2.0,5.9,2.0,True
K Li Al Te O,0.185,0.103,16,64.3,125.2,2.0,14.8,17.0,False
Li Ca Te O F,0.124,0.138,16,73.9,,,12.5,16.2,False
Li Ti B Cl O,0.111,0.145,16,32.5,107.7,1.0,8.8,7.4,False
Li Ca Te S O,0.081,0.176,16,64.3,,,12.2,15.8,True
K Li Ti Cl O,0.225,0.096,16,32.5,78.5,3.0,19.9,22.2,False
Li B P Se Cl,0.034,0.368,16,10.2,34.1,2.0,5.7,1.8,True
Li B P S O,0.06,0.219,16,34.9,34.1,2.0,5.5,1.6,True
Li Ca Se S Cl,0.053,0.26,16,10.2,,,12.2,16.0,False
Li B Te P S,0.033,0.385,16,21.8,34.1,2.0,6.1,2.2,False
Li Y Al S O,0.153,0.122,16,34.9,54.1,0.0,13.1,14.4,False
Li Ca Sb O F,0.117,0.142,16,5.9,37.3,1.0,12.5,15.6,False
Li Ca Te O F,0.124,0.138,16,73.9,,,12.5,16.2,False
Li Ga Te S O,0.051,0.321,16,64.3,,,5.9,3.2,True
Li Ca Te S Cl,0.054,0.251,16,24.0,,,12.2,15.8,False
Li Al In Se O,0.135,0.127,16,46.0,39.3,0.0,7.2,2.8,False
Li B P Se S,0.032,0.394,16,8.2,34.1,2.0,5.9,2.0,True
Li B Te S O,0.057,0.228,16,64.3,,,5.5,2.6,True
Li Ca Ti O F,0.173,0.107,16,5.9,33.9,2.0,19.3,21.2,False
Li Si Br O F,0.09,0.153,16,52.9,,,6.2,4.0,True
Li Ca Se S O,0.079,0.186,16,46.0,,,12.2,16.0,False
Li Ga Sb S O,0.044,0.325,16,34.9,9.2,0.0,5.9,2.6,True
Li In Se N O,0.13,0.134,16,46.0,,,6.0,2.0,True
Li Mg Se S Cl,0.037,0.327,16,10.2,,,6.5,4.6,False
Li Al Zn Br O,0.085,0.165,16,44.4,30.4,1.0,7.7,3.8,False
Li Al Sb Br O,0.078,0.187,16,44.4,23.0,0.0,5.9,2.8,True
Li Mg Se Cl O,0.066,0.202,16,46.0,,,6.6,4.8,True
Li Al S N Cl,0.117,0.147,17,28.8,,,6.0,2.2,True
Li Ca Al Te O,0.096,0.162,17,64.3,68.9,1.0,14.0,15.8,False
Li P N O F,0.153,0.124,17,10.9,,,6.2,2.4,True
Ba Li Y Cl O,0.246,0.096,17,32.5,43.3,1.0,25.3,27.4,False
Li Mg Ge Te S,0.032,0.492,17,21.8,11.7,2.0,7.3,3.4,False
Li Al V S O,0.081,0.177,17,34.9,15.2,2.0,9.8,7.8,False
Li Ga Se S O,0.049,0.33,17,46.0,,,5.9,3.4,True
Ba Li Te O F,0.183,0.107,17,73.9,,,12.7,16.6,True
Li Sb S O F,0.079,0.197,17,42.9,,,6.8,4.4,True
Li Mg Sn S Cl,0.041,0.336,17,1.8,3.6,2.0,6.9,3.0,False
Li Sb P S I,0.04,0.442,17,21.2,50.9,2.0,5.7,2.2,False
Li Zr S Cl O,0.098,0.157,17,34.9,,,9.0,9.8,True
Li Ca Al Se O,0.094,0.171,17,46.0,68.9,1.0,13.8,15.6,False
Li Al Si I O,0.116,0.154,17,63.5,25.0,1.0,5.7,1.4,True
Li In Te P O,0.066,0.225,17,64.3,70.9,2.0,6.2,2.4,False
Li Mg Sn Cl O,0.07,0.212,17,32.5,3.6,2.0,7.0,3.2,False
Li Al V S Cl,0.054,0.252,17,1.8,15.2,2.0,9.8,7.8,False
Li In Te Cl O,0.129,0.142,17,64.3,,,5.9,3.2,True
Li Al Sn S F,0.06,0.228,17,42.9,23.0,1.0,6.6,2.2,True
Ba Li Zn S O,0.144,0.127,17,34.9,69.3,0.0,14.6,16.6,True
Li Ca P S Cl,0.057,0.242,17,1.8,107.3,3.0,12.2,14.8,False
Li In S O F,0.173,0.123,17,42.9,,,6.1,3.8,True
Li In Sb Cl O,0.123,0.146,17,32.5,13.3,0.0,5.9,2.6,True
Li Ca Ti N O,0.2,0.105,17,4.8,33.9,2.0,20.6,22.4,False
K Li Zn Cl O,0.178,0.108,17,32.5,72.7,1.0,15.3,17.6,True
