element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Na,0.10278880317998873,0.0698414407634487,0.0696229964933577,0.059055161481429586,0.05738191520022591,0.06792782772644516,0.0732762577458199,0.08808702944613785,0.0944890297503667,0.12589810137222604,0.0931614534129614,0.13622333995163763,0.14128521648278902,0.11925153915744058,0.0718093566361857,0.10325244383776028,0.10886614534129083,0.14058299841480335,0.20683757785854684,0.16409889436856023,0.09258793612796304,0.10981122804348327,0.03340602933405808,0.1330400821417651,0.032035376603204706,0.05689322970873663,0.05674945158758956,0.03626174483211226,0.05967205138263547,0.0544660584759701,0.023012265223449152,0.03550232374745653,0.034659780154675114,0.11391324075704327,0.030486077530302323,0.050747428065902205,0.05198202648391232
Mg,0.033997059570147425,0.03078812686861956,0.03606816931799037,0.028013087380831858,0.023332966661026435,0.04333882636656016,0.031665199977436706,0.0473717175777071,0.05611318892085458,0.11476457522422977,0.13602924564223604,0.12947198835109797,0.14040734825407095,0.11545254766739549,0.0284010443109393,0.06762070922885725,0.06447534833869009,0.14586596011733186,0.4455462994302523,0.2492338487899777,0.06557553802109563,0.1006072058159821,0.05543571952388958,0.1439702078749876,0.020440740113951143,0.03728937143904891,0.033634607519604016,0.03357846434817052,0.05882804126473633,0.05022912788401883,0.0145486792745531,0.025187609296554253,0.02711883708467409,0.21269204462119348,0.03752947833812919,0.06379335547469808,0.09123441290122106
Al,0.03770539834665503,0.025398388671871695,0.04869150163516791,0.05039560319766773,0.02736828897165384,0.0316840627271032,0.05328758289425184,0.07437906863189644,0.033468663699123054,0.10510557435501132,0.43095661677873415,0.06733426712390608,0.17682575399710576,0.16947813294877587,0.03464944245094008,0.060908275799412104,0.06891384107012395,0.1122848723655486,0.1860721713753797,0.1159474847837898,0.05887919694766781,0.06156695357920838,0.05573672896983449,0.09522981468022576,0.0254220214843718,0.04839816042877326,0.061387832712566225,0.031418078897161965,0.05481367528160809,0.0782070074037001,0.021106792787062116,0.03591757926053327,0.05266539107920916,0.2306958655069269,0.03200711527979349,0.05548707076671041,0.1307062545421526
Si,0.032426677083695024,0.023695730760439383,0.061547282278262325,0.0674325332744638,0.012970743249261764,0.006198805526835267,0.07454882837458647,0.10579380186732053,0.03113398371999754,0.12171575449888228,0.6954972263206346,0.048305037931153386,0.24392060112845848,0.24917023904954394,0.04684446968024171,0.06877836220282765,0.08314339486737961,0.08025970448938424,0.06604415910560058,0.06686962254724763,0.07724059562948786,0.06363118196497834,0.06848215357566874,0.09349198004886558,0.027144024148917048,0.05741715653813246,0.07732482835135357,0.027957274688162947,0.05153507905711782,0.07285606298236216,0.019506840774343122,0.03324385143533775,0.04767495866103769,0.10110463886984608,0.02013064659161512,0.03311963610100554,0.058682131502408225
P,0.03319273846227131,0.04754943066238311,0.1384904130379433,0.17176361364502504,0.018649267370161895,0.005094767099993509,0.12707150888372645,0.21670567072977023,0.0631416609719617,0.1380630780783151,0.6991230273822501,0.06550008740702996,0.27047246479880743,0.27719341785328616,0.05950989487317673,0.09227990115058966,0.1091649966626356,0.09977654193947769,0.09587441000253794,0.09410393490559563,0.0828762038331906,0.0801277870923605,0.03227169283580099,0.08970355110926947,0.03475467031657112,0.05419691214798466,0.06940761076854188,0.03392713829381367,0.04761580239653885,0.05824043886275126,0.025525614233043763,0.03567706677896978,0.042147723841456916,0.08756751398511965,0.026931395413515205,0.037011275506959054,0.042751718342760175
S,0.09335122017003396,0.17031536888648632,0.22386113044964095,0.14090550886139608,0.014620983097890583,0.009399084123267325,0.08446690695079079,0.15612775938699802,0.12495634082693903,0.13334722977832864,0.27044997256752124,0.13815950962673693,0.19725837613419997,0.18989823809569115,0.07004370182022147,0.11731220953820758,0.12615735882634807,0.07768102569894626,0.10132826446775668,0.08777242203636128,0.06699472558276165,0.0728495626936348,0.01105620205075344,0.07029313357553202,0.0316749202382667,0.04794971437923605,0.048803721599286295,0.028995502452784934,0.04344388900670772,0.04661902363344117,0.024473276362862555,0.03567931750700341,0.04121306178997733,0.0889991816354316,0.023713527450941612,0.03417087221525093,0.041339570577599134
Cl,0.17882540349545328,0.14456191147499173,0.12544459731785634,0.08633800764517206,0.04508936091380395,0.04139532839920981,0.049049736575753046,0.06607630040303922,0.08901411104483595,0.07720764653255513,0.0723385453378831,0.08206302074860769,0.09074013175730145,0.07880308698873562,0.054149060619202286,0.06330267807117065,0.07545002394765431,0.06645326591841126,0.0688218746046334,0.058078611578011655,0.045336869001786996,0.05385051238952118,0.010032607222252545,0.05977952791483271,0.030392827450342882,0.03453881102134466,0.04542984239729382,0.03132920801026618,0.035244652442660736,0.04844491360768956,0.027018704025014693,0.03063614695729224,0.04601446574129071,0.10469382014856049,0.027903728153410315,0.033034931952502275,0.052915552874619756
Ar,0.022980337078651707,0.05573595505617977,0.07758988764044943,0.09701123595505616,0.11724157303370786,0.04458146067415728,0.05088764044943822,0.11976966292134843,0.12282584269662915,0.039932584269662896,0.08651123595505622,0.033876404494382006,0.05766292134831455,0.057466292134831426,0.016921348314606736,0.02272471910112359,0.021646067415730334,0.11733707865168545,0.1301460674157304,0.10227528089887651,0.07195505617977527,0.059915730337078636,0.0023904494382022477,0.015252808988764027,0.003977528089887634,0.0046123595505617905,0.003955056179775275,0.039955056179775295,0.03184831460674157,0.034252808988764046,0.03000000000000002,0.011404494382022462,0.015269662921348301,0.08164044943820224,0.023171348314606738,0.03713483146067415,0.041879213483146056
K,0.08992080508916296,0.06945221086661357,0.06681170872874757,0.059971522056519934,0.05186367452288842,0.046444803942015285,0.05524223068098596,0.05966587756804362,0.08012216602356417,0.09171106476170125,0.06432831108561529,0.09890976900614777,0.10132487746375543,0.08713064970277969,0.06645907289602289,0.06478525654395285,0.07098427103972887,0.09216487642089445,0.09891445666909529,0.09492426478255862,0.08263155959953669,0.09222071383876869,0.026659031181563174,0.11915629106267099,0.03713881791636259,0.06633352017936886,0.07987533893001984,0.03344421211805267,0.05583727969548183,0.06608802534153374,0.023147713525916123,0.03477083637501379,0.04145058660965625,0.11611514235060448,0.02710999582855461,0.04847209302325394,0.05914834967149554
Ca,0.08071714429389691,0.04981469438260467,0.04494438825669722,0.034003220593719734,0.035076099239488484,0.05060031301910688,0.05186893313595227,0.06834594826709078,0.08840299515215384,0.1029969178353041,0.06784571661035012,0.11394449278473467,0.11052986111895337,0.0912068186184173,0.05351908625540792,0.07133710010960935,0.07482179381419589,0.10501789972087756,0.16499282429118178,0.14462932096323514,0.10040910580497414,0.12406709287739756,0.07896849750827442,0.1701874244290464,0.030742132146046455,0.07320985275671178,0.07471237555512501,0.03950018645542596,0.0765201258856595,0.06451119015063042,0.021571276824156483,0.03758751822178081,0.03172590204875069,0.12440300362740009,0.026553701987728773,0.06008118156238105,0.05774781621144944
Sc,0.029480280411539255,0.057086611525788145,0.048237542868670255,0.026113139667809825,0.04064474480532612,0.06376159975791824,0.023532966848227994,0.04013633918364611,0.0651150225270661,0.09282398628202547,0.056475506018424826,0.10826533185394423,0.10226940017483711,0.08311231591688534,0.029096900006724484,0.06572397619527968,0.06375800215183938,0.10447066438033815,0.31228982583551723,0.19074734382354974,0.05659429426400358,0.08329096900006715,0.04520373545827451,0.09904638222042975,0.01833245914867868,0.0401588326272611,0.031246402393921072,0.018809982516306976,0.041789422365678064,0.038450339587115794,0.013725657319615342,0.030574019904512157,0.024855204760944185,0.1809266357339795,0.03131080626723153,0.06280596462914402,0.07996178804384402
