element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Ti,4.136885,0.31422845,0.0,0.0,0.0,9.727107,0.0,0.0,0.0,0.0,12.878674,0.0,0.0,0.0,0.0,8.583724,1.0659759,0.0,18.795382,0.0,0.0,0.0,0.0,28.279902,12.587287,0.0,0.0,0.0,4.597435,16.02165,0.0,0.0,0.0,0.0,4.900665,1.3978331,0.7159142,0.0,0.0,2.2428908,0.0,0.0,0.0,2.6401064,2.0998602,0.0,0.0,0.0,20.700869,11.666546,0.0,27.673672,0.0,13.440992,0.0,0.0,0.0,0.0,0.0
V,0.0,21.950985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93251,0.0,0.0,0.0,0.0,0.0,23.105288,0.0,16.852108,0.0,0.0,0.0,0.0,19.411158,8.685782,0.0,0.0,0.0,0.0,7.347189,0.0,3.1619859,0.0,0.0,0.0,0.04300865,1.0030444,0.0,0.0,0.0,0.0,0.0,0.0,2.4454262,0.0,0.0,0.0,0.0,14.740066,12.304953,0.0,15.317048,0.0,5.729933,0.0,0.0,0.0,0.0,0.0
Cr,0.0,16.977116,0.0,0.0,5.675227,0.0,0.0,0.0,0.0,0.0,5.374341,0.0,0.0,0.0,0.0,0.15276894,0.0,0.0,5.312733,0.0,0.0,0.0,0.0,19.449871,0.0,0.0,0.0,0.9777762,0.0,0.0,0.0,0.8530109,0.0,0.0,0.0,5.323363,6.5462484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105888,26.643055,4.551553,0.0,19.56422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mn,3.0537555,0.0,0.0,0.0,0.0,5.0634727,0.0,0.0,0.0,0.0,6.754772,0.0,0.0,0.0,0.0,20.198948,0.0,0.0,16.893736,0.0,0.0,0.0,1.5688283,21.212315,8.932818,0.0,0.0,0.0,5.0608225,9.479692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.720521,0.0,0.0,0.0,15.544203,0.0,0.0,0.0,0.0,21.818962,27.58664,0.0,28.307444,0.0,9.589603,0.0,0.0,0.0,0.0,0.0
Fe,0.69842935,0.3781152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.639762,0.0,0.0,0.0,0.0,28.578484,0.0,0.0,24.114672,0.0,0.0,0.0,8.573112,13.236711,9.94858,0.0,0.0,0.0,7.055619,12.085159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.707216,0.0,0.0,0.0,25.301535,0.88115585,0.0,0.0,0.0,16.686825,33.96652,0.0,32.91729,0.0,8.396498,0.0,0.0,0.0,0.0,0.0
Co,0.0,9.949352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.629143,0.0,0.0,0.0,0.0,14.050848,0.0,0.0,14.595237,0.0,0.0,0.0,0.0,20.446684,6.430492,0.0,0.0,0.0,1.4737374,4.2584987,0.0,0.0,0.0,0.0,0.0,0.0,1.3703113,0.0,0.0,7.4414525,0.0,0.0,0.0,14.615443,0.0,0.0,0.0,0.0,23.258713,29.260954,0.0,23.104635,0.0,4.24286,0.0,0.0,0.0,0.0,0.0
Ni,0.822555,14.434697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0316362,0.0,0.0,0.0,0.0,9.474994,1.3438078,0.0,9.636336,0.0,0.0,0.0,0.0,18.372969,5.9230127,0.0,0.0,0.0,0.9264474,0.0,0.0,3.0792134,0.0,0.0,0.0,0.0,1.1813806,0.0,0.0,10.495356,0.0,0.0,0.0,14.879576,0.0,0.0,0.0,0.0,20.237556,29.586216,0.0,13.920057,0.0,1.2059131,0.0,0.0,0.0,0.0,0.0
Cu,2.2421107,10.812818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1305351,0.0,0.0,0.0,0.0,17.890888,6.3952575,0.0,15.4075,0.0,0.0,0.0,8.640791,12.087061,8.330926,0.0,0.0,0.0,4.712286,2.377832,0.0,2.2666378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.20772,0.0,0.0,0.0,27.896965,1.4322096,0.0,0.0,0.0,14.619315,38.80547,0.0,15.610524,0.0,3.1032038,0.0,0.0,0.0,0.0,0.0
Zn,1.0098314,20.92245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4338305,0.0,0.0,0.0,0.0,8.027709,7.1034703,0.0,9.985219,0.0,0.0,0.0,0.0,17.608196,6.572616,0.0,0.0,0.0,0.0,0.0,0.0,8.961164,0.0,0.0,0.0,0.0,1.5737195,0.0,0.0,11.079917,0.0,0.0,0.0,17.504246,0.0,0.0,0.0,0.0,19.352467,33.593487,0.0,10.230526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga,0.0,27.598976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029701864,0.2937819,0.0,0.0,0.0,1.0115998,14.808877,0.0,7.7535057,0.0,0.0,0.0,0.0,13.502962,4.6171265,0.0,0.0,0.0,0.0,0.0,0.0,18.851784,0.0,0.0,0.0,0.0,1.8870393,0.0,1.7390118,8.584045,0.0,0.0,0.0,16.372736,0.0,0.0,0.0,0.0,16.054821,32.745327,0.0,2.1680298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
