elements,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,element
Si,0.032426677083695,0.0236957307604393,0.0615472822782623,0.0674325332744638,0.0129707432492617,0.0061988055268352,0.0745488283745864,0.1057938018673205,0.0311339837199975,0.1217157544988822,0.6954972263206346,0.0483050379311533,0.2439206011284584,0.2491702390495439,0.0468444696802417,0.0687783622028276,0.0831433948673796,0.0802597044893842,0.0660441591056005,0.0668696225472476,0.0772405956294878,0.0636311819649783,0.0684821535756687,0.0934919800488655,0.027144024148917,0.0574171565381324,0.0773248283513535,0.0279572746881629,0.0515350790571178,0.0728560629823621,0.0195068407743431,0.0332438514353377,0.0476749586610376,0.101104638869846,0.0201306465916151,0.0331196361010055,0.0586821315024082,
P,0.0331927384622713,0.0475494306623831,0.1384904130379433,0.171763613645025,0.0186492673701618,0.0050947670999935,0.1270715088837264,0.2167056707297702,0.0631416609719617,0.1380630780783151,0.6991230273822501,0.0655000874070299,0.2704724647988074,0.2771934178532861,0.0595098948731767,0.0922799011505896,0.1091649966626356,0.0997765419394776,0.0958744100025379,0.0941039349055956,0.0828762038331906,0.0801277870923605,0.0322716928358009,0.0897035511092694,0.0347546703165711,0.0541969121479846,0.0694076107685418,0.0339271382938136,0.0476158023965388,0.0582404388627512,0.0255256142330437,0.0356770667789697,0.0421477238414569,0.0875675139851196,0.0269313954135152,0.037011275506959,0.0427517183427601,
S,0.0933512201700339,0.1703153688864863,0.2238611304496409,0.140905508861396,0.0146209830978905,0.0093990841232673,0.0844669069507907,0.156127759386998,0.124956340826939,0.1333472297783286,0.2704499725675212,0.1381595096267369,0.1972583761341999,0.1898982380956911,0.0700437018202214,0.1173122095382075,0.126157358826348,0.0776810256989462,0.1013282644677566,0.0877724220363612,0.0669947255827616,0.0728495626936348,0.0110562020507534,0.070293133575532,0.0316749202382667,0.047949714379236,0.0488037215992862,0.0289955024527849,0.0434438890067077,0.0466190236334411,0.0244732763628625,0.0356793175070034,0.0412130617899773,0.0889991816354316,0.0237135274509416,0.0341708722152509,0.0413395705775991,
Cl,0.1788254034954532,0.1445619114749917,0.1254445973178563,0.086338007645172,0.0450893609138039,0.0413953283992098,0.049049736575753,0.0660763004030392,0.0890141110448359,0.0772076465325551,0.0723385453378831,0.0820630207486076,0.0907401317573014,0.0788030869887356,0.0541490606192022,0.0633026780711706,0.0754500239476543,0.0664532659184112,0.0688218746046334,0.0580786115780116,0.0453368690017869,0.0538505123895211,0.0100326072222525,0.0597795279148327,0.0303928274503428,0.0345388110213446,0.0454298423972938,0.0313292080102661,0.0352446524426607,0.0484449136076895,0.0270187040250146,0.0306361469572922,0.0460144657412907,0.1046938201485604,0.0279037281534103,0.0330349319525022,0.0529155528746197,
Ar,0.0229803370786517,0.0557359550561797,0.0775898876404494,0.0970112359550561,0.1172415730337078,0.0445814606741572,0.0508876404494382,0.1197696629213484,0.1228258426966291,0.0399325842696628,0.0865112359550562,0.033876404494382,0.0576629213483145,0.0574662921348314,0.0169213483146067,0.0227247191011235,0.0216460674157303,0.1173370786516854,0.1301460674157304,0.1022752808988765,0.0719550561797752,0.0599157303370786,0.0023904494382022,0.015252808988764,0.0039775280898876,0.0046123595505617,0.0039550561797752,0.0399550561797752,0.0318483146067415,0.034252808988764,0.03,0.0114044943820224,0.0152696629213483,0.0816404494382022,0.0231713483146067,0.0371348314606741,0.041879213483146,
K,0.0899208050891629,0.0694522108666135,0.0668117087287475,0.0599715220565199,0.0518636745228884,0.0464448039420152,0.0552422306809859,0.0596658775680436,0.0801221660235641,0.0917110647617012,0.0643283110856152,0.0989097690061477,0.1013248774637554,0.0871306497027796,0.0664590728960228,0.0647852565439528,0.0709842710397288,0.0921648764208944,0.0989144566690952,0.0949242647825586,0.0826315595995366,0.0922207138387686,0.0266590311815631,0.1191562910626709,0.0371388179163625,0.0663335201793688,0.0798753389300198,0.0334442121180526,0.0558372796954818,0.0660880253415337,0.0231477135259161,0.0347708363750137,0.0414505866096562,0.1161151423506044,0.0271099958285546,0.0484720930232539,0.0591483496714955,
Ca,0.0807171442938969,0.0498146943826046,0.0449443882566972,0.0340032205937197,0.0350760992394884,0.0506003130191068,0.0518689331359522,0.0683459482670907,0.0884029951521538,0.1029969178353041,0.0678457166103501,0.1139444927847346,0.1105298611189533,0.0912068186184173,0.0535190862554079,0.0713371001096093,0.0748217938141958,0.1050178997208775,0.1649928242911817,0.1446293209632351,0.1004091058049741,0.1240670928773975,0.0789684975082744,0.1701874244290464,0.0307421321460464,0.0732098527567117,0.074712375555125,0.0395001864554259,0.0765201258856595,0.0645111901506304,0.0215712768241564,0.0375875182217808,0.0317259020487506,0.1244030036274,0.0265537019877287,0.060081181562381,0.0577478162114494,
Sc,0.0294802804115392,0.0570866115257881,0.0482375428686702,0.0261131396678098,0.0406447448053261,0.0637615997579182,0.0235329668482279,0.0401363391836461,0.0651150225270661,0.0928239862820254,0.0564755060184248,0.1082653318539442,0.1022694001748371,0.0831123159168853,0.0290969000067244,0.0657239761952796,0.0637580021518393,0.1044706643803381,0.3122898258355172,0.1907473438235497,0.0565942942640035,0.0832909690000671,0.0452037354582745,0.0990463822204297,0.0183324591486786,0.0401588326272611,0.031246402393921,0.0188099825163069,0.041789422365678,0.0384503395871157,0.0137256573196153,0.0305740199045121,0.0248552047609441,0.1809266357339795,0.0313108062672315,0.062805964629144,0.079961788043844,
Ti,0.0414263898632064,0.059882571904595,0.0707407883198864,0.0366060768151535,0.023755235005262,0.050008312872677,0.022693313749562,0.0683507760434926,0.0695241450368282,0.0824418055068376,0.0687833304103814,0.0913871930901409,0.0966886311820379,0.0823145606804608,0.033215231497721,0.1120299982462256,0.1044486320589234,0.1495900561206575,0.5335697036127683,0.3006540775166582,0.0609625394598388,0.0938653148018208,0.0516451683619791,0.1260437215012237,0.0209996930901442,0.0479964179235367,0.0352102332514916,0.0265297483339186,0.0631723693440897,0.0518961373202395,0.0136326332865659,0.0286422264117861,0.025054353735532,0.180440249035421,0.0322409549280961,0.0628719089793056,0.0694331287267619,
V,0.0746947533381993,0.0768780537546687,0.1524496962345925,0.096546815293459,0.0216453887767809,0.0601303883474309,0.0467070166587959,0.1126253488471915,0.0633254797990648,0.1003519868189413,0.2391783897213469,0.0822268687475843,0.143239824395686,0.1372779238761722,0.0888290970761232,0.1818664183590191,0.1925538834742997,0.149788217551842,0.3028196352668379,0.2102554795843865,0.0665902601863385,0.087895496114378,0.0370633828517456,0.1150508082521121,0.0267296809926585,0.0529000257610246,0.0469072817826638,0.0272109291142505,0.0538896354815174,0.0489625874801434,0.0173237140955731,0.0332279152891682,0.0319641975441164,0.1466323955605131,0.0253750107337601,0.0445304892447735,0.0680808413120955,
Cr,0.0196805353268139,0.0292942811283183,0.0388241536129365,0.0332688003447966,0.0229247763279138,0.0544002838629145,0.0318052195107454,0.0611066492286667,0.0381053042237617,0.0856130918764687,0.1238149243527618,0.0838712287845922,0.0970269372529209,0.0793264497815308,0.0244305799126117,0.0595811610141793,0.0596803718455558,0.185092344618493,0.4682187825104743,0.2524502868352977,0.0495428989685827,0.068600853074935,0.0372607526082695,0.0993924367624769,0.0139984172041732,0.0278200740124246,0.0274459843057991,0.0250268034955264,0.0473190113842411,0.0549056564515658,0.0120634901762625,0.0229719555330973,0.0268303881936808,0.3450741759058308,0.0534849671551294,0.0848827244894934,0.1546880703266636,
Mn,0.0319168266101902,0.0337697612980803,0.0388942139051589,0.0280097234631636,0.0216603158057304,0.0616213640424862,0.0341729623746658,0.0474299281908719,0.048530471998851,0.1482306247724882,0.1170374516032906,0.1509280971132891,0.1435914904530205,0.1093899836747247,0.0304512778935999,0.0816853938471333,0.0828816583385679,0.1615958833846216,0.4178516689279458,0.234703420585279,0.0541496354390698,0.0727907855984603,0.058981137694825,0.1357698523004232,0.0152730952932488,0.0279060966058892,0.0341809099131902,0.0344241261016808,0.0613114955270937,0.0742713993403668,0.0125937131164722,0.0241718924076475,0.030611607487564,0.2830691259362179,0.0367352907111425,0.0645086727996711,0.1459747482268284,
Fe,0.0442094417064761,0.0372659316865302,0.0482478724259302,0.0366883392865164,0.0184796360768233,0.0314772786644718,0.0530874026013109,0.0659131424796341,0.048136439792411,0.0825952171029761,0.1231722568863508,0.0873267207728528,0.101740451035647,0.0811500655604218,0.0224370017030624,0.0569799500635441,0.0574685473215608,0.1380938116983907,0.3092338296835784,0.17287133703085,0.0479124793396672,0.0639723641442158,0.0353838512858344,0.1177212991012382,0.0253110766981634,0.0347679952073022,0.0629029693096745,0.0471264324074445,0.0618835624180439,0.1279491153109931,0.0200888105178008,0.0275624934062755,0.0562074912209248,0.2935122040361388,0.0348786039396514,0.0584946672494215,0.1692555098390964,
Co,0.0353814654391245,0.0455351740427944,0.0553139294646399,0.0474502790967404,0.0245110007611739,0.034114774004133,0.0532390022593532,0.0650283174453554,0.047729946717894,0.0952320399434512,0.1330524907269751,0.0945848828639389,0.1122360391218675,0.0931218420384892,0.0259140599514309,0.0522700563026314,0.0554393991566669,0.1384410936725943,0.2630626638636115,0.1500739274106785,0.0452014661640505,0.0557499033431179,0.0429787052810904,0.108228762671108,0.0292663017869451,0.0402925713146547,0.0800344158903873,0.0343030223398223,0.0454188958159648,0.1009340769872003,0.0180539617238761,0.0242525372431051,0.0545851607524722,0.3442752123430845,0.0317821293510705,0.0566502742638962,0.2027471244578111,
Ni,0.0408121415451512,0.0431775062163415,0.064585644937584,0.0564754532618589,0.0339616179980263,0.0374833158401125,0.0719366495482965,0.073559536304678,0.0445179118091737,0.0779329353625432,0.1020576495358,0.0759893072684298,0.0888110950756538,0.0733719527433085,0.0280855980807448,0.0412231385338185,0.0444797109869925,0.1397601679349203,0.2185667585060733,0.1251021729079935,0.0462612019092599,0.0550771825917443,0.0429651135185119,0.094786298434352,0.0274854150266781,0.0360947070510187,0.0784834033062151,0.0277901813047454,0.0378598168209828,0.0762149479576628,0.0193483743799284,0.0250573996326432,0.0622618516574806,0.3587997807099765,0.0345306631180424,0.0568406273818884,0.2031575764391258,
Cu,0.0594218385873462,0.0374659892589292,0.0563692454768834,0.0667453206431893,0.0374909405321807,0.0789369571204563,0.0889664129697844,0.072183376763692,0.0564360329011453,0.2846384342824443,0.1994115344688747,0.2748503638616985,0.2493212628702139,0.182327327231893,0.0538737288674186,0.1406173732045197,0.1422554287953842,0.1091742696284008,0.1668703338841519,0.1010623569975802,0.054220859285621,0.0681938026990346,0.0361218539468671,0.1039191771535054,0.0319444038388212,0.045254695245963,0.0717557757086529,0.0321932968942001,0.0505642319181373,0.0756242373204488,0.0182376964959119,0.0288260508029331,0.0486554595144258,0.2116535740010983,0.0272686882971068,0.0454951299733052,0.1159261366043775,
Zn,0.0421613360380135,0.0272043342040189,0.049235998416094,0.0558791785922684,0.0273471010364861,0.0431835871286852,0.075582074777,0.0769085676772138,0.0364648484174851,0.0955361449968014,0.315619730736095,0.0778284033123048,0.1525270514352372,0.144278048323001,0.0480794974574155,0.055167289576791,0.0696080876427575,0.104137150220909,0.1330838323561234,0.0894258586433954,0.045702201489427,0.0477421673104177,0.0296641043988116,0.0780089963042179,0.026023980881986,0.0354645809597921,0.064109317253451,0.0312763081112634,0.0445345228832641,0.0876093693555969,0.0182389925528667,0.0296265074888164,0.063235279406451,0.2423720788062299,0.0281705442243039,0.0457325631478038,0.1419948974629684,
Ga,0.039143846318207,0.0229391208835242,0.0414219238268211,0.0519810001068333,0.0273069429235339,0.0291516285622722,0.0808156666488572,0.0769630518682692,0.0348034307310173,0.1019747135493149,0.3813348701957765,0.0694732579258015,0.1747647198258558,0.1695075418658648,0.0569819382495111,0.0511142030127392,0.0701436493416281,0.0951764676424199,0.1152894220239798,0.0793182974546588,0.0609109064928803,0.0606449447130133,0.049855739697123,0.0911896350257699,0.028384074276863,0.0491107676077024,0.0857091757698745,0.0273102080606829,0.0436396997943432,0.0846287726022241,0.0205639138911893,0.0350030714991593,0.0734690179215274,0.2046184396784218,0.0237444946716173,0.0435001569135444,0.1169197003285126,
