Phase fields,     scores,     Norm. scores,
Cl Pb S Sb      ,  8.342,    0.162,
Cl N Sb Se      ,  8.343,    0.162,
Cd Mn Se Te     ,  8.345,    0.162,
Al Bi Cl Se     ,  8.345,    0.162,
Ag Al Cl O      ,  8.347,    0.162,
Al Al I Te      ,   8.35,    0.162,
N P Se Zn       ,  8.352,    0.163,
Ag As I O       ,  8.358,    0.163,
Cl Mo S Se      ,  8.359,    0.163,
Ag I O Se       ,  8.368,    0.164,
As Br Cd Hg     ,  8.369,    0.164,
As Cd F O       ,  8.371,    0.164,
Br S S V        ,  8.375,    0.164,
Br Hg Se Zn     ,  8.379,    0.165,
Br In O Te      ,  8.391,    0.165,
As F I S        ,  8.406,    0.167,
Ga S Se Tl      ,  8.409,    0.167,
Cu S Se V       ,  8.415,    0.167,
Cu I In Se      ,  8.423,    0.168,
Cu I S Te       ,  8.423,    0.168,
As Cl Hg O      ,  8.424,    0.168,
Bi Cd Cl S      ,  8.424,    0.168,
Cl F Ge O       ,  8.436,    0.169,
Cl Mn S Sb      ,  8.449,     0.17,
Ag Br In Te     ,  8.455,     0.17,
Cu Cu S Te      ,  8.456,     0.17,
Br F S Sb       ,  8.473,    0.172,
F I Sb Se       ,   8.48,    0.172,
Cl O S Ti       ,  8.484,    0.173,
Cd Cr Se Te     ,  8.485,    0.173,
Cr Se Te Zn     ,  8.485,    0.173,
In Mn S Se      ,  8.486,    0.173,
Bi Br Cd Se     ,  8.488,    0.173,
Ag As Cl Hg     ,  8.488,    0.173,
As Bi Ni S      ,  8.489,    0.173,
Cl Ga N Se      ,  8.489,    0.173,
Br Ni O Te      ,  8.492,    0.173,
Pb Se Sn Te     ,  8.496,    0.173,
Cl O P Ti       ,  8.498,    0.174,
Ga Mo S Se      ,  8.501,    0.174,
Br Mn Sb Se     ,  8.512,    0.175,
As Cl O Pb      ,  8.515,    0.175,
As Hg I S       ,  8.517,    0.175,
Ag Br I S       ,  8.523,    0.176,
Ag Bi S Se      ,  8.537,    0.177,
Bi Cl O Se      ,  8.542,    0.177,
Cl N S S        ,  8.548,    0.177,
F O P P         ,   8.55,    0.178,
Cl Nb P S       ,   8.55,    0.178,
Br Cu O Sb      ,  8.556,    0.178,
Ca O P Se       ,  8.559,    0.178,
Bi In Se Te     ,  8.567,    0.179,
As F I Te       ,  8.575,    0.179,
Au Cl P S       ,  8.583,     0.18,
Cu Se Te V      ,  8.584,     0.18,
Br Cu In Te     ,  8.585,     0.18,
F O S Sb        ,  8.586,     0.18,
Al Cl Nb Se     ,  8.586,     0.18,
Cl Hg P Sn      ,  8.586,     0.18,
Br Cl Hg S      ,  8.588,     0.18,
I In In Te      ,   8.59,    0.181,
Cl F O S        ,   8.59,    0.181,
Cl Cu In O      ,  8.597,    0.181,
F O P Sb        ,  8.599,    0.181,
Cl F O P        ,  8.604,    0.182,
As Ca Cl O      ,  8.604,    0.182,
Ag Bi Cl Se     ,  8.605,    0.182,
