phase fields,pareto front,leaf,mat2vec
Cl F Mg Sr      ,3,12.476,29.968
Ba Br F Mg      ,3,12.512,30.317
Br I Mg Zn      ,3,12.573,29.965
F Mg N Sr       ,3,12.575,29.72
B Br F Mg       ,3,12.576,30.475
F Mg S Sr       ,3,12.578,29.366
Ba Cl I Mg      ,3,12.593,29.466
Br Cl Mg Zr     ,3,12.614,29.582
Al Br I Mg      ,3,12.648,29.613
B Cl I Mg       ,3,12.657,29.628
Br Mg N Zr      ,3,12.712,29.331
Cl I Mg Sr      ,3,12.714,30.253
Br Cl La Mg     ,3,12.736,30.161
Ba Br I Mg      ,3,12.75,30.599
I Mg N Sr       ,3,12.812,30.008
I Mg S Sr       ,3,12.815,29.657
Br Ca Cl Mg     ,3,12.817,29.662
F I Mg Zn       ,3,12.822,29.622
Br La Mg N      ,3,12.833,29.914
Br La Mg S      ,3,12.836,29.563
Br Ca Mg N      ,3,12.914,29.412
Br F Mg P       ,3,12.969,29.696
Cl F La Mg      ,3,12.981,29.819
Ba F I Mg       ,3,12.995,30.262
Br F Mg Zr      ,3,13.016,30.376
B F I Mg        ,3,13.058,30.421
Ca Cl F Mg      ,3,13.062,29.315
F La Mg N       ,3,13.077,29.57
Cl I Mg Zr      ,3,13.093,29.526
Br F Mg Si      ,3,13.15,29.557
I Mg N Zr       ,3,13.188,29.274
Br I Mg P       ,3,13.199,29.984
Cl I La Mg      ,3,13.211,30.106
Br Ca F Mg      ,3,13.213,30.454
Ca Cl I Mg      ,3,13.29,29.607
Br Cl Mg Y      ,3,13.304,29.278
I La Mg N       ,3,13.305,29.859
I La Mg S       ,3,13.308,29.507
Br I Mg Si      ,3,13.377,29.846
Ca I Mg N       ,3,13.383,29.356
F I Mg P        ,3,13.436,29.641
F I Mg Zr       ,3,13.481,30.321
F I Mg Si       ,3,13.611,29.501
Ca F I Mg       ,3,13.672,30.4
Br F Mg Y       ,3,13.686,30.08
Br I Mg Y       ,3,13.904,30.365
F I Mg Y        ,3,14.129,30.025
Br F Li Mg      ,4,11.551,31.421
F I Li Mg       ,4,12.073,31.369
Br F Mg Ta      ,4,12.21,31.188
Br F Mg Sr      ,4,12.634,31.083
F I Mg Ta       ,4,12.705,31.135
B Br I Mg       ,4,12.813,30.755
Br I Mg Sr      ,4,12.87,31.358
F I Mg Sr       ,4,13.113,31.03
Br F La Mg      ,4,13.134,30.94
Br I Mg Zr      ,4,13.245,30.657
Br I La Mg      ,4,13.361,31.216
Br Ca I Mg      ,4,13.439,30.735
F I La Mg       ,4,13.595,30.886
Br I Li Mg      ,5,11.809,31.694
Br I Mg Ta      ,5,12.454,31.462
