Phase fields,scores,Norm. scores
Cd Cr S Se      , 28.175,    0.415
Cr Se Te Zn     ,  28.46,    0.439
Ag Bi S Se      , 27.913,    0.393
Cd S Se Zn      , 27.789,    0.383
As Cd In Se     , 28.191,    0.416
As Cd In Te     ,  28.27,    0.423
As Cu Ge Se     , 27.937,    0.395
As Cu In Se     ,  26.49,    0.274
As Cu In Te     , 26.573,    0.281
As Ga S Zn      ,  27.63,    0.369
As Ga Se Zn     , 28.828,     0.47
Ag Sb Se Te     , 29.043,    0.487
Ag Bi Se Te     , 29.176,    0.499
I Sb Se Sn      , 29.419,    0.519
F O Tl Zr       , 29.288,    0.508
Ga La O Se      , 28.878,    0.474
Br C O Ru       , 28.592,     0.45
Cu F Nb O       , 26.935,    0.311
Ba Cl Fe O      , 25.155,    0.163
Ba Br Fe O      , 26.474,    0.273
La O S Sn       , 26.667,    0.289
Cl Fe Mo O      , 25.147,    0.162
Ca F Ge O       , 28.396,    0.433
Ga Mo Se Te     , 30.238,    0.587
Cs F O Xe       , 31.053,    0.655
Br C O W        , 27.301,    0.342
Au F O Te       , 28.301,    0.426
Cl Nb O Te      , 27.479,    0.357
Ba Cl N W       , 28.349,     0.43
Ca F O Ta       , 28.701,    0.459
Br F O Te       , 28.228,    0.419
Cl F N O        ,  26.03,    0.236
F O Si Y        , 26.496,    0.275
As Ni P Sr      , 27.904,    0.392
B I N Sr        , 30.057,    0.572
B Ba F N        , 28.969,    0.481
F Ga O Sr       , 29.299,    0.509
Al F O Sr       , 27.377,    0.348
Ba Cl O V       , 27.177,    0.332
Cl O Sr V       , 28.029,    0.403
Cd Cl O V       , 27.497,    0.358
B Ca F N        , 29.113,    0.493
B F N Sr        ,  29.77,    0.548
B Ca Cl N       , 28.284,    0.424
B Cl N Sr       ,  28.96,    0.481
Bi Cl O V       , 26.903,    0.309
Nb O Se Sm      , 29.337,    0.512
La O S Ti       , 26.192,    0.249
B F Gd O        , 29.246,    0.504
Cl N P Ta       , 28.255,    0.422
La O Se Ti      , 27.453,    0.355
Ag Ge I Se      , 30.505,     0.61
Er F O Si       , 29.807,    0.551
F O P Sb        , 26.496,    0.275
Ce Cl O Si      , 27.146,    0.329
Ce Cl O P       , 27.298,    0.342
Mo N O Sm       , 27.826,    0.386
Cl O Si Sr      , 26.754,    0.296
Br Cs F Nb      , 31.656,    0.706
Cl Na Nb O      , 27.753,     0.38
