Phase fields,     scores,     Norm. scores,
F O S Sb        ,  8.559,    0.198,
Cl Hg P Sn      ,   8.56,    0.198,
Ag F O P        ,   8.56,    0.198,
Br Cl Hg S      ,  8.562,    0.198,
Cl F O S        ,  8.564,    0.198,
I In In Te      ,  8.564,    0.198,
F O P Sb        ,  8.573,    0.199,
Cl F O P        ,  8.577,    0.199,
As Ca Cl O      ,  8.578,    0.199,
Bi Ga S Te      ,  8.581,    0.199,
Cl O S Zr       ,  8.585,      0.2,
Cl N S Sb       ,  8.585,      0.2,
B I P S         ,  8.588,      0.2,
Al Bi Cl S      ,  8.588,      0.2,
Cl Mo O S       ,  8.588,      0.2,
Cd N P S        ,  8.594,      0.2,
N P S Zn        ,  8.594,      0.2,
Cl Hg In S      ,  8.599,    0.201,
As Br Hg Sn     ,    8.6,    0.201,
Cl Mo O P       ,  8.602,    0.201,
B Cl O Zn       ,  8.608,    0.201,
Cl Ge O Pb      ,   8.61,    0.202,
Cl Hg In P      ,  8.612,    0.202,
Br C Se Se      ,  8.615,    0.202,
F Ge Mg O       ,  8.616,    0.202,
As Br F O       ,  8.617,    0.202,
As Cd Hg I      ,  8.618,    0.202,
Br Cd Hg S      ,   8.62,    0.202,
As I Li S       ,  8.621,    0.202,
Cl F O Sb       ,  8.627,    0.203,
Bi Cu O Se      ,  8.628,    0.203,
Cd F O P        ,  8.635,    0.203,
F O P Zn        ,  8.636,    0.203,
Br Li P S       ,  8.636,    0.204,
Bi Cl Ga Te     ,  8.648,    0.204,
As Br Hg In     ,  8.652,    0.205,
Ag Bi Br S      ,  8.652,    0.205,
Cl Cr O Te      ,  8.653,    0.205,
Al F Ge O       ,  8.656,    0.205,
Cd Cl O V       ,  8.657,    0.205,
Cl N P Zn       ,  8.661,    0.205,
F O S Te        ,  8.664,    0.206,
Cl Nb O Te      ,  8.665,    0.206,
Bi Br Cl S      ,  8.669,    0.206,
Er O Se Si      ,  8.671,    0.206,
Br Cu Hg S      ,  8.673,    0.206,
Dy O Se Si      ,  8.674,    0.206,
Ho O Se Si      ,  8.681,    0.207,
Cd F O Sb       ,  8.685,    0.207,
B Mg O S        ,  8.687,    0.207,
Cl Hg O P       ,  8.687,    0.207,
Cu F O P        ,  8.688,    0.207,
O Pb S S        ,  8.695,    0.208,
N O S Se        ,  8.696,    0.208,
Ca Cl Ge O      ,  8.698,    0.208,
Cl O Te V       ,  8.698,    0.208,
Cl Er O Se      ,  8.699,    0.208,
Cu Mo O S       ,  8.699,    0.208,
Cl Cu N S       ,  8.701,    0.208,
Cl Dy O Se      ,  8.702,    0.208,
Bi Cl In S      ,  8.705,    0.209,
Cl Ho O Se      ,  8.708,    0.209,
Cl Cu O V       ,  8.709,    0.209,
Bi O S S        ,  8.713,    0.209,
F I S Sb        ,  8.718,     0.21,
As Br Hg O      ,  8.726,     0.21,
Bi Br Cd S      ,  8.726,     0.21,
Dy S Te Te      ,  8.727,     0.21,
Cl Ga N S       ,  8.727,     0.21,
La S S Se       ,  8.731,    0.211,
Bi Cd I Se      ,  8.734,    0.211,
Ho S Te Te      ,  8.734,    0.211,
Pb S Sn Te      ,  8.735,    0.211,
Mg N P S        ,   8.74,    0.211,
Cl Ga N P       ,  8.741,    0.211,
Br Mo Te Te     ,  8.743,    0.212,
Ag N O Se       ,  8.746,    0.212,
Br Mn S Sb      ,   8.75,    0.212,
Cl O Te Zr      ,  8.751,    0.212,
B Cl Mg O       ,  8.753,    0.212,
Cl O Se Tm      ,  8.753,    0.212,
Al Bi Cl Te     ,  8.754,    0.212,
Cl Mo O Te      ,  8.754,    0.212,
O Se Si Tb      ,  8.755,    0.212,
I Mn Sb Se      ,  8.757,    0.213,
O Pb S Sb       ,  8.757,    0.213,
N P Te Zn       ,   8.76,    0.213,
Cl O Pb S       ,  8.762,    0.213,
Bi Br In Se     ,  8.767,    0.213,
Cl O P Pb       ,  8.775,    0.214,
Bi Br Cu S      ,  8.779,    0.214,
F Mg O P        ,  8.781,    0.214,
Cl Nb Nb Se     ,  8.782,    0.214,
Cl O Se Tb      ,  8.782,    0.215,
Br O S Ti       ,  8.784,    0.215,
Cl F I Sb       ,  8.785,    0.215,
Bi Cu I Se      ,  8.786,    0.215,
Cr Mo S Se      ,  8.791,    0.215,
Ca O P S        ,  8.795,    0.216,
Cl O Pb Si      ,  8.801,    0.216,
Se Te Ti Ti     ,  8.802,    0.216,
Bi In S Te      ,  8.804,    0.216,
F Mg O Si       ,  8.807,    0.216,
Cu Dy O Se      ,  8.811,    0.217,
Ag Cl O Pb      ,  8.811,    0.217,
Cl Li O P       ,  8.813,    0.217,
Ag Hg I S       ,  8.814,    0.217,
As Br O Pb      ,  8.814,    0.217,
Al F O P        ,   8.82,    0.217,
Ca O S Si       ,  8.821,    0.218,
As As Re S      ,  8.823,    0.218,
Br Cr O P       ,  8.823,    0.218,
Br O Pb Se      ,  8.823,    0.218,
Cl O Pb Sb      ,  8.823,    0.218,
Ag Bi Cl O      ,  8.828,    0.218,
Cl Hg I S       ,  8.831,    0.218,
Al Cl N S       ,  8.832,    0.218,
Cu F O Te       ,  8.839,    0.219,
Bi Br O Se      ,   8.84,    0.219,
Na O S S        ,  8.841,    0.219,
Ca O S Sb       ,  8.844,    0.219,
Ge N O Si       ,  8.845,    0.219,
Al Cl N P       ,  8.845,    0.219,
Al F O Si       ,  8.846,    0.219,
Ca Cl O S       ,  8.848,     0.22,
Br Cr O Si      ,  8.849,     0.22,
Na O P S        ,  8.854,     0.22,
Cr Cr Se Te     ,  8.854,     0.22,
Ca Cl O P       ,  8.861,    0.221,
F Ga O Te       ,  8.866,    0.221,
As Hg I Sn      ,  8.867,    0.221,
Br Hg S Sn      ,  8.869,    0.221,
F O S Sn        ,  8.871,    0.221,
Cr Hg S Se      ,  8.874,    0.222,
O Se Se Sm      ,  8.876,    0.222,
Cl Mn O P       ,  8.876,    0.222,
F I Sb Te       ,  8.882,    0.222,
Br Hg P Sn      ,  8.882,    0.222,
F O P Sn        ,  8.884,    0.222,
Cd Cl O Pb      ,  8.884,    0.222,
Hg I S Zn       ,  8.887,    0.222,
Ca Cl O Si      ,  8.887,    0.222,
Bi Cu O S       ,  8.887,    0.222,
Al Br N Se      ,  8.893,    0.223,
Bi Ni S Te      ,    8.9,    0.223,
Bi Cd Cl O      ,  8.901,    0.224,
I Li P S        ,  8.903,    0.224,
Ca O S Zn       ,  8.905,    0.224,
As Cl Hg Ti     ,  8.905,    0.224,
Cl Re Se Se     ,  8.907,    0.224,
I Pb S Sb       ,  8.913,    0.224,
I Nb Te Te      ,   8.92,    0.225,
Cl In Nb O      ,  8.923,    0.225,
Cl O Pb Te      ,  8.925,    0.225,
Cd Ge N O       ,  8.927,    0.226,
Ge N O Zn       ,  8.928,    0.226,
B Br O Zn       ,  8.929,    0.226,
Er O S Si       ,   8.93,    0.226,
Dy O S Si       ,  8.933,    0.226,
Cl Cu O Pb      ,  8.936,    0.226,
Cu Hg I S       ,  8.938,    0.226,
Ho O S Si       ,  8.939,    0.226,
Bi Cl O Te      ,  8.942,    0.227,
O S S Tl        ,  8.943,    0.227,
Br F O Sb       ,  8.947,    0.227,
I Li S Sb       ,   8.95,    0.227,
Bi Cl Cu O      ,  8.952,    0.227,
N O S S         ,  8.954,    0.228,
Cl Mo Mo Se     ,  8.956,    0.228,
As Br Na O      ,  8.957,    0.228,
La O Se Se      ,  8.966,    0.228,
F Ga Mg O       ,  8.967,    0.229,
Cl O Se Y       ,  8.971,    0.229,
Hg Mo S Se      ,  8.974,    0.229,
B Br I P        ,  8.974,    0.229,
Br Cd O V       ,  8.976,    0.229,
B Br Cu O       ,  8.979,    0.229,
O S Si Tm       ,  8.983,     0.23,
Br Nb O Te      ,  8.984,     0.23,
Cl Dy O Si      ,  8.998,    0.231,
Cl S Si Sm      ,  9.001,    0.231,
Ag N O S        ,  9.002,    0.231,
B Cl Ni O       ,  9.003,    0.231,
I Mo Te Te      ,  9.006,    0.231,
Cu Na O S       ,  9.013,    0.232,
As O Y Zn       ,  9.018,    0.232,
Cl N O S        ,  9.018,    0.232,
Ca Cl Cu O      ,   9.02,    0.233,
As Cl Hg Zr     ,  9.026,    0.233,
Dy O P Zn       ,  9.028,    0.233,
As F N Se       ,  9.028,    0.233,
As Cl Hg Mo     ,  9.029,    0.233,
Bi I In Se      ,  9.029,    0.233,
Cl N O P        ,  9.031,    0.233,
Cl Hg Se Zr     ,  9.035,    0.234,
Bi Cu I S       ,  9.041,    0.234,
Br F O Te       ,  9.047,    0.235,
Bi Cu O Te      ,  9.048,    0.235,
Mo Pb S Se      ,  9.059,    0.235,
Cr Mn S Se      ,   9.06,    0.236,
As Cr Mn P      ,  9.064,    0.236,
Ag Cl N O       ,  9.066,    0.236,
Br O Te Zr      ,  9.067,    0.236,
Br Mo O Te      ,   9.07,    0.236,
Eu O Se Se      ,   9.07,    0.236,
As I O Pb       ,  9.075,    0.237,
Cl O Si Tb      ,  9.075,    0.237,
F Ni O Sb       ,  9.077,    0.237,
Cl N O Sb       ,  9.078,    0.237,
Br Cu Mo O      ,  9.081,    0.237,
F In O Te       ,  9.082,    0.237,
Al Ca O S       ,  9.083,    0.237,
Cr I O P        ,  9.084,    0.237,
I O Pb Se       ,  9.084,    0.237,
N O P Zn        ,  9.087,    0.238,
Br O P Pb       ,   9.09,    0.238,
Cl La S Si      ,   9.09,    0.238,
Li Mo S Se      ,  9.096,    0.238,
Br Nb Nb Se     ,  9.096,    0.238,
As Cl Hg Hg     ,   9.11,    0.239,
Br O Pb Si      ,  9.115,     0.24,
Ag Cr I O       ,  9.118,     0.24,
Ag Br O Pb      ,  9.125,     0.24,
Cl Ho O Te      ,  9.125,     0.24,
Br Li O P       ,  9.127,    0.241,
Cl O Se Yb      ,  9.127,    0.241,
Br O Pb Sb      ,  9.137,    0.241,
Ga O S Tl       ,  9.139,    0.242,
Br Cl O Pb      ,  9.141,    0.242,
Au Cl F P       ,  9.143,    0.242,
Br Hg I S       ,  9.143,    0.242,
Al Ca Cl O      ,  9.147,    0.242,
Cl F O Ru       ,  9.153,    0.243,
Mn Mo S Se      ,  9.157,    0.243,
Bi Br Cl O      ,  9.158,    0.243,
Ag N O Te       ,  9.161,    0.243,
Ag I O V        ,  9.162,    0.243,
