Cl O P Pb
As Cl O Pb
Cl Co N O
Cl O Sb Se
As F S S
Br Cl Cs Hg
Bi F Nb O
Bi F O Ti
Cl Cs Np O
Ce Ga O S
K O S Se
Cs Mo O S
Bi F O Ta
Li N O Si
Li N O Ti
Ge Li N O
Bi Cd I O
Bi Br O Sr
Bi Cl O Sr
Bi Cl Li O
Bi Cl Na O
Bi Br Li O
Bi Br Na O
Bi Br Cd O
Bi I Li O
Bi I Na O
C Hg N O
Cl F N P
As Ca Cl O
Ca Cl O V
Br Ca O P
F N S Sb
Br Cl I Sb
Ca O S Si
Cl Cr K O
F I K O
Am F K O
Cl Cs Nb O
C F La O
K O S S
F Mg O P
Cl N O S
C N Na O
Cs N O Os
B F O Te
Al Cl N S
Ag I O P
F I S Sb
C Cl O Os
Cl Cu K O
Cu F Hg S
F Hg Mn S
F Hg Ni O
F Hg O Zn
Ca F O Sb
Cl O P Ti
Cl K N Os
Bi Ca Cl O
Bi Br Ca O
Bi Cd Cl O
C Ce F O
C N O Rb
C Cs N O
C N O Tl
Cd I S Sb
Cl Mo S S
Cl Cl N V
Cl K N O
Cl K Mo O
Cl Cs F Sb
Br Cr Cu Se
C K N S
C N S Tl
Br C O Pb
Ba Bi Cl O
Ba Bi Br O
C Cl F Se
Cl F N Re
Cl N S V
Br Cs Mo O
C Cd N S
C N Ni S
Al B F O
Cl N Pt S
Cr F O Rb
Bi Cl O Pb
As Mn O Sr
As Ba Mn O
Hg I N O
N O Os Rb
Au Cl O Se
F O Pb Zr
Cl Fe O Sr
Ba F O W
Hg Hg I O
F Mo O Te
Au C Cl O
Cl Fe N O
F F N Re
Ag N O Se
As Bi Br Hg
F O Te W
F O Re Te
Cl La O Ti
Cl Co O Sr
Cl Nd O Ti
Ag Br O Pb
Cl O Pr Ti
Al N O Si
N O Si Y
Ga Nd O S
Cd F O Sb
Cl La O W
O S Si Sm
Ho S Te Te
Cs F O W
Cl Gd O W
Cu I In Se
Ag I In Se
Ag I In Te
Cl Cu In Te
Br Cu In Te
Cu I In Te
Br Cu In Se
Ag Cl In S
Ag Br In S
Ag Cl In Se
Ag Br In Se
Ag Cl In Te
Ag Br In Te
C F O Pb
Cl La Nb O
Cl O Se Sn
C Cl O Re
C I O Os
Cl Nb O Pr
Ba Cl O Te
Br O Pb Tl
F Mo Nb O
Cl O Pb Sb
Ba Nb O S
Cl N S W
F Mg Nb O
Cl F Ir P
Cl O Sm Ti
Cl Cr O Sr
Ag Al Cl O
B Cl O Pb
Br Mo O Pb
Br O Pb W
F Ga Mg O
Br Nb O Pb
Cl Cr O Pb
Cl O Pb S
Al Cl N O
Ba F O Re
F Li O W
Cl O P Re
Cl N Re S
Br C Se Se
Br C K N
Cs F O S
Br Ce S Si
F K O Ti
Bi Br O Te
K O P S
F Nb O Sn
Cl N S Se
Au I K O
As Cr Mn P
Br Gd La O
B F O Sr
B Br O Sr
Cu Mo S Se
In Mo S Se
Cu Rh S Se
Cd Cr S Se
Cr Se Te Zn
Ag Bi S Se
Cd S Se Zn
As Cd In Se
As Cd In Te
As Cu Ge Se
As Cu In Se
As Cu In Te
As Ga S Zn
As Ga Se Zn
Ag Sb Se Te
Ag Bi Se Te
I Sb Se Sn
F O Tl Zr
Ga La O Se
Br C O Ru
Cu F Nb O
Ba Cl Fe O
Ba Br Fe O
La O S Sn
Cl Fe Mo O
Ca F Ge O
Ga Mo Se Te
Cs F O Xe
Br C O W
Au F O Te
Cl Nb O Te
Ba Cl N W
Ca F O Ta
Br F O Te
Cl F N O
F O Si Y
As Ni P Sr
B I N Sr
B Ba F N
F Ga O Sr
Al F O Sr
Ba Cl O V
Cl O Sr V
Cd Cl O V
B Ca F N
B F N Sr
B Ca Cl N
B Cl N Sr
Bi Cl O V
Nb O Se Sm
La O S Ti
B F Gd O
Cl N P Ta
La O Se Ti
Ag Ge I Se
Er F O Si
F O P Sb
Ce Cl O Si
Ce Cl O P
Mo N O Sm
Cl O Si Sr
Br Cs F Nb
Cl Na Nb O
F O P Zn
Al F O Si
Cr Cu S Se
Cr Cu Se Te
Cr Fe S Se
Cr Hg S Se
Cr S Se Zn
I Nb Te Te
Ce Cr O Se
Pb S Sn Te
Cr Mo S Se
Mn Mo S Se
Ag Hg I S
Mo N Na O
N Nb O Sr
Ca N Nb O
B Cl O Zn
F O Te Xe
Ba N O Zn
Cu I O Sr
Bi I O Te
Cu F O Sr
Cl Nd Nd O
B Be F O
Ca Cl Fe O
Cu Ga Se Te
Fe K S Se
C Cl N S
Cl F Sb Te
As Cl F Te
F O S Te
Br Cl S Sb
Hg I Pb S
Ba O S V
Bi Cl O Ta
Bi Br Nb O
Bi Br O Ta
Gd N O Si
Br Co O Sr
Cl Li N Zr
B Br O Pb
Ce O Si Te
Ce O Se Si
Ge K N O
La O S V
As Cl F S
B Cl F O
Cl O Sb Te
Cl F Ge O
Ba Br Cl Sr
B Cl Fe O
C Cs N S
Er O S U
Cu F O W
Cl Cr F K
Cl Cs Cu I
B Cu I O
F O S Se
F O Rb V
Br N S V
As C F S
Cl Na O Y
C F Mn O
Cl Ga N S
C Cl N P
Ga O S Tl
Ba Cl Mn O
Bi I O Pb
Br Cl Cr Cs
Cl O S Sn
C Cl O Pd
B Cr I O
C F Ge S
C F Ge Se
Cl La O Ta
F Gd Ge O
Ba N O Ta
Ba N Nb O
N O Sr Ta
F La O Sb
Cl Nd O Ta
Br F S Sb
F O P P
As Br F Se
As Br F S
F K Np O
Br Hg Hg O
Ba Bi I O
Au C Cl S
C Cl Cu O
Ba Cl O W
Cl F O Ru
Ca F O Si
Cl La O Si
As Cl K O
Cl Mo N P
Cl O Pb Si
Br O Pb Si
B Ca F O
F I Sb Se
Mg N P S
Ba Cl O Ru
Nd O Se Si
C F K O
C F O Rb
Al Al I Te
Ga Ga I Te
I In In Te
Cr Li N O
Cl N P Zn
B Br Cr O
F O S Sn
Cl I Mo Na
As Cl F Se
Br K N Th
I Nb Se Te
Ge N O Zn
F O S Sb
Ba Cu I O
Br K Re S
C Co O S
Ba Cl O Si
Al Ca O S
Al O S Sr
Cl O Se Zn
Fe La O Se
As C F N
