phases,target,natom
Al Cu Nb,0,3
Al Cu Nd,0,3
Al Cu Ni,0,3
Al Cu Ni Pr,0,4
Al Cu Ni Zr,0,4
Al Cu Np,0,3
Al Cu Pd,0,3
Al Cu Pr,0,3
Al Cu Pt,0,3
Al Cu Re,0,3
Al Cu Rh,0,3
Al Cu Ru,0,3
Al Cu Sc,0,3
Al Cu Sc Yb,0,4
Al Cu Sm,0,3
Al Cu Sn,0,3
Al Cu Sr,0,3
Al Cu Ta,0,3
Al Cu Tb,0,3
Al Cu Th,0,3
Al Cu Ti,0,3
Al Cu Tm,0,3
Al Cu U,0,3
Al Cu W,0,3
Al Cu Y,0,3
Al Cu Yb,0,3
Al Cu Zn,0,3
Al Cu Zr,0,3
Al Dy,0,2
Al Dy Er,0,3
Al Dy Fe,0,3
Al Dy Fe Tb,0,4
Al Dy Ga,0,3
Al Dy Gd,0,3
Al Dy Ge,0,3
Al Dy Hf,0,3
Al Dy Ho,0,3
Al Dy Mg,0,3
Al Dy Mn,0,3
Al Dy Mn Zn,0,4
Al Dy Mo,0,3
Al Dy Ni,0,3
Al Dy Pd,0,3
Al Dy Pr,0,3
Al Dy Pt,0,3
Al Dy Re,0,3
Al Dy Ru,0,3
Al Dy Tb,0,3
Al Dy Ti,0,3
Al Dy Tm,0,3
Al Dy U,0,3
Al Dy W,0,3
Al Dy Y,0,3
Al Dy Zn,0,3
Al Dy Zr,0,3
Al Er,0,2
Al Er Fe,0,3
Al Er Ga,0,3
Al Er Gd,0,3
Al Er Ge,0,3
Al Er Ge Ni,0,4
Al Er Ir,0,3
Al Er La,0,3
Al Er Mg,0,3
Al Er Mn,0,3
Al Er Mn Zn,0,4
Al Er Mo,0,3
Al Er Ni,0,3
Al Er Pd,0,3
Al Er Pt,0,3
Al Er V,0,3
Al Er W,0,3
Al Er Y,0,3
Al Er Zn,0,3
Al Eu,0,2
Al Eu Fe,0,3
Al Eu Ga,0,3
Al Eu Ge,0,3
Al Eu Mg,0,3
Al Eu Mn,0,3
Al Eu Mn Sb,0,4
Al Eu Na Sb,0,4
Al Eu Pd,0,3
Al Eu Pt,0,3
Al Eu Rh,0,3
Al Eu Sb,0,3
Al Eu Sn,0,3
Al Eu Ta,0,3
Al Eu Ti,0,3
Al Eu V,0,3
Al Eu Y,0,3
Al Eu Zn,0,3
Al Fe,0,2
Al Fe Ga,0,3
Al Fe Ga Ti,0,4
Al Fe Ga U,0,4
Al Fe Gd,0,3
Al Fe Gd Ge,0,4
Al Fe Gd W,0,4
Al Fe Ge,0,3
Al Fe Ge La,0,4
Al Fe Hf,0,3
Al Fe Hf V,0,4
Al Fe Ho,0,3
Al Fe La,0,3
Al Fe La Mg,0,4
Al Fe La Ni,0,4
Al Fe La Pb,0,4
Al Fe La Sb,0,4
Al Fe Lu,0,3
Al Fe Lu Mn,0,4
Al Fe Lu Ti,0,4
Al Fe Mg,0,3
Al Fe Mg Nd,0,4
Al Fe Mg Pr,0,4
Al Fe Mn,0,3
Al Fe Mn Ni,0,4
Al Fe Mn Ru,0,4
Al Fe Mn Sm,0,4
Al Fe Mn Y,0,4
Al Fe Mn Yb,0,4
Al Fe Mo,0,3
Al Fe Nb,0,3
Al Fe Nb V,0,4
Al Fe Nd,0,3
Al Fe Nd Sb,0,4
Al Fe Nd Tb,0,4
Al Fe Nd Ti,0,4
Al Fe Nd V,0,4
Al Fe Ni,0,3
Al Fe Ni Ti,0,4
Al Fe Ni Yb,0,4
Al Fe Np,0,3
Al Fe Pd,0,3
