phases,leaf,mat2vec
Nb Ti Zn,0.965,1.832
Mo Ti Zn,1.026,1.574
Ag Ti Zn,1.225,1.611
Cd Ti Zn,0.594,2.049
In Ti Zn,0.581,1.612
Cs Ti Zn,1.147,2.553
Ba Ti Zn,0.878,1.791
Hf Ti Zn,1.125,2.347
Ta Ti Zn,0.703,1.973
Ti W Zn,1.216,2.298
Os Ti Zn,1.056,3.215
Ir Ti Zn,1.284,2.442
Pt Ti Zn,0.805,1.908
Au Ti Zn,0.777,1.673
Ti Tl Zn,0.966,2.846
Pb Ti Zn,0.893,1.64
Ga Rb Ti,0.98,3.676
Ga Sr Ti,1.086,2.558
Ga Mo Ti,1.109,2.135
Cd Ga Ti,0.694,2.581
Ga Sn Ti,0.646,1.883
Cs Ga Ti,1.226,3.056
Ba Ga Ti,0.966,2.338
Ga Ta Ti,0.798,2.509
Ga Ti W,1.294,2.815
Ga Hg Ti,0.904,3.276
Ga Ti Tl,1.051,3.334
Ga Pb Ti,0.98,2.197
Bi Ga Ti,1.145,2.207
Rb Sr Ti,1.266,3.887
Rb Ti Y,1.056,3.302
Rb Ti Zr,1.001,3.367
Nb Rb Ti,1.231,3.73
Mo Rb Ti,1.286,3.521
Ag Rb Ti,1.468,3.551
Cd Rb Ti,0.903,3.907
In Rb Ti,0.891,3.552
Rb Sn Ti,0.86,3.305
Cs Rb Ti,1.397,4.323
Ba Rb Ti,1.154,3.696
Hf Rb Ti,1.377,4.152
Rb Ta Ti,0.998,3.844
Rb Ti W,1.46,4.112
Os Rb Ti,1.314,4.881
Ir Rb Ti,1.523,4.231
Pt Rb Ti,1.089,3.792
Au Rb Ti,1.064,3.601
Hg Rb Ti,1.096,4.518
Rb Ti Tl,1.233,4.569
Pb Rb Ti,1.167,3.574
Bi Rb Ti,1.32,3.583
Sr Ti Y,1.16,2.136
Sr Ti Zr,1.107,2.209
Nb Sr Ti,1.328,2.619
Mo Sr Ti,1.381,2.384
Ag Sr Ti,1.557,2.417
Cd Sr Ti,1.013,2.817
In Sr Ti,1.002,2.419
Sn Sr Ti,0.971,2.139
Cs Sr Ti,1.488,3.281
Ba Sr Ti,1.253,2.581
Hf Sr Ti,1.469,3.091
Sr Ta Ti,1.104,2.747
Sr Ti W,1.55,3.046
Os Sr Ti,1.408,3.896
Ir Sr Ti,1.61,3.179
Pt Sr Ti,1.191,2.688
Au Sr Ti,1.167,2.474
Hg Sr Ti,1.198,3.496
Sr Ti Tl,1.329,3.552
Pb Sr Ti,1.266,2.444
Ti Y Zr,0.883,1.5
Nb Ti Y,1.124,1.945
Mo Ti Y,1.181,1.69
Ag Ti Y,1.37,1.726
Cd Ti Y,0.78,2.159
In Ti Y,0.768,1.728
Sn Ti Y,0.734,1.424
Cs Ti Y,1.296,2.657
Ba Ti Y,1.043,1.904
Hf Ti Y,1.275,2.453
Ta Ti Y,0.88,2.084
Ti W Y,1.362,2.405
Os Ti Y,1.21,3.311
Ir Ti Y,1.426,2.548
Pt Ti Y,0.975,2.02
Au Ti Y,0.949,1.788
Hg Ti Y,0.983,2.887
Ti Tl Y,1.125,2.946
Pb Ti Y,1.057,1.755
Bi Ti Y,1.217,1.766
Ag Ti Zr,1.321,1.804
Cd Ti Zr,0.718,2.232
In Ti Zr,0.705,1.805
Cs Ti Zr,1.245,2.726
Ba Ti Zr,0.987,1.98
Hf Ti Zr,1.225,2.524
Ta Ti Zr,0.821,2.158
Os Ti Zr,1.158,3.376
Ir Ti Zr,1.378,2.618
Pt Ti Zr,0.918,2.095
Au Ti Zr,0.892,1.865
Hg Ti Zr,0.926,2.954
Ti Tl Zr,1.072,3.014
Bi Ti Zr,1.165,1.843
Ag Nb Ti,1.526,2.233
Cd Nb Ti,0.975,2.641
In Nb Ti,0.964,2.234
Cs Nb Ti,1.456,3.113
Ba Nb Ti,1.219,2.4
Hf Nb Ti,1.437,2.92
Nb Ti W,1.519,2.874
Nb Os Ti,1.376,3.738
Ir Nb Ti,1.58,3.009
Nb Pt Ti,1.156,2.509
Au Nb Ti,1.131,2.291
Hg Nb Ti,1.162,3.332
Nb Ti Tl,1.296,3.39
Nb Pb Ti,1.231,2.26
Bi Nb Ti,1.382,2.27
Ag Mo Ti,1.576,1.987
Cd Mo Ti,1.036,2.407
In Mo Ti,1.025,1.988
Cs Mo Ti,1.507,2.891
Ba Mo Ti,1.274,2.159
Mo Ta Ti,1.126,2.334
Mo Ti W,1.569,2.646
Mo Os Ti,1.428,3.53
Ir Mo Ti,1.629,2.785
Mo Pt Ti,1.212,2.272
Au Mo Ti,1.189,2.046
Hg Mo Ti,1.219,3.115
Mo Ti Tl,1.35,3.174
Mo Pb Ti,1.287,2.015
Bi Mo Ti,1.434,2.026
Ag Cd Ti,1.234,2.44
Ag In Ti,1.224,2.023
Ag Sn Ti,1.196,1.73
Ag Cs Ti,1.676,2.922
Ag Ba Ti,1.456,2.193
Ag Hf Ti,1.658,2.725
Ag Ta Ti,1.318,2.367
Ag Ti W,1.734,2.678
Ag Os Ti,1.601,3.56
Ag Ir Ti,1.791,2.816
Ag Pt Ti,1.399,2.305
Ag Au Ti,1.377,2.081
Ag Ti Tl,1.528,3.204
Ag Pb Ti,1.468,2.05
Ag Bi Ti,1.607,2.06
Cd In Ti,0.593,2.441
Cd Sn Ti,0.556,2.163
Cd Cs Ti,1.156,3.302
Ba Cd Ti,0.889,2.603
Cd Hf Ti,1.135,3.112
Cd Ta Ti,0.715,2.769
Cd Ti W,1.226,3.067
Cd Os Ti,1.066,3.915
Cd Ir Ti,1.293,3.2
Au Cd Ti,0.789,2.496
Cd Ti Tl,0.976,3.573
Cd Pb Ti,0.903,2.466
Bi Cd Ti,1.073,2.477
In Sn Ti,0.543,1.732
Cs In Ti,1.146,2.924
Ba In Ti,0.877,2.194
Hf In Ti,1.124,2.726
In Ta Ti,0.702,2.368
In Ti W,1.216,2.68
In Os Ti,1.055,3.561
Hg In Ti,0.812,3.147
In Ti Tl,0.965,3.205
In Pb Ti,0.892,2.051
Bi In Ti,1.062,2.062
Cs Sn Ti,1.117,2.66
Ba Sn Ti,0.845,1.908
Hf Sn Ti,1.095,2.457
Sn Ta Ti,0.667,2.087
Sn Ti W,1.188,2.409
Os Sn Ti,1.025,3.314
Au Sn Ti,0.743,1.792
Hg Sn Ti,0.779,2.89
Sn Ti Tl,0.934,2.95
Pb Sn Ti,0.86,1.759
Bi Sn Ti,1.032,1.77
Ba Cs Ti,1.385,3.077
Cs Hf Ti,1.591,3.562
Cs Ta Ti,1.243,3.235
Cs Ti W,1.669,3.519
Cs Os Ti,1.533,4.331
Cs Ir Ti,1.727,3.646
Cs Pt Ti,1.325,3.179
Au Cs Ti,1.303,2.976
Cs Hg Ti,1.332,3.949
Cs Ti Tl,1.458,4.003
Cs Pb Ti,1.397,2.948
Bi Cs Ti,1.539,2.957
Ba Hf Ti,1.365,2.883
Ba Ta Ti,0.984,2.532
Ba Ti W,1.449,2.837
Ba Os Ti,1.302,3.705
Ba Ir Ti,1.511,2.973
Ba Pt Ti,1.076,2.471
Au Ba Ti,1.051,2.251
Ba Hg Ti,1.083,3.297
Ba Ti Tl,1.22,3.355
Ba Pb Ti,1.154,2.22
Hf Ta Ti,1.222,3.044
Hf Os Ti,1.514,4.16
Hf Ir Ti,1.709,3.463
Hf Pt Ti,1.305,2.987
Au Hf Ti,1.282,2.78
Hf Hg Ti,1.312,3.771
Hf Ti Tl,1.438,3.826
Hf Pb Ti,1.377,2.75
Bi Hf Ti,1.52,2.76
Ta Ti W,1.31,2.999
Os Ta Ti,1.155,3.853
Ir Ta Ti,1.375,3.133
Pt Ta Ti,0.915,2.64
Au Ta Ti,0.888,2.424
Hg Ta Ti,0.923,3.452
Ta Ti Tl,1.069,3.508
Pb Ta Ti,0.998,2.394
Bi Ta Ti,1.162,2.404
Os Ti W,1.594,4.12
Ir Ti W,1.784,3.42
Pt Ti W,1.391,2.942
Au Ti W,1.368,2.733
Hg Ti W,1.397,3.73
Ti Tl W,1.52,3.784
Pb Ti W,1.46,2.704
Bi Ti W,1.599,2.714
Ir Os Ti,1.653,4.239
Os Pt Ti,1.241,3.8
Au Os Ti,1.217,3.61
Hg Os Ti,1.247,4.526
Os Ti Tl,1.377,4.577
Os Pb Ti,1.314,3.583
Bi Os Ti,1.46,3.592
Ir Pt Ti,1.454,3.076
Au Ir Ti,1.433,2.871
Hg Ir Ti,1.461,3.853
Ir Ti Tl,1.581,3.908
Ir Pb Ti,1.523,2.842
Bi Ir Ti,1.659,2.852
Hg Pt Ti,1.016,3.397
Pt Ti Tl,1.157,3.454
Pb Pt Ti,1.089,2.332
Bi Pt Ti,1.247,2.343
Au Hg Ti,0.991,3.198
Au Pb Ti,1.064,2.109
Au Bi Ti,1.224,2.119
Hg Ti Tl,1.164,4.203
Hg Pb Ti,1.096,3.17
Bi Hg Ti,1.254,3.18
Pb Ti Tl,1.233,3.229
Bi Ti Tl,1.383,3.238
Bi Pb Ti,1.32,2.088
Cr Mn V,0.865,2.461
Co Cr V,0.708,2.319
Cr Cu V,0.819,2.113
Cr Rb V,0.933,4.186
Cr Sr V,1.042,3.129
Cr V Y,0.812,2.494
Ag Cr V,1.261,2.765
Cd Cr V,0.641,3.15
Cr In V,0.628,2.766
Cr Sn V,0.592,2.497
Cr Cs V,1.184,3.598
Ba Cr V,0.919,2.922
Cr Hf V,1.163,3.414
Cr Ta V,0.747,3.083
Cr V W,1.252,3.371
Cr Os V,1.095,4.195
Cr Ir V,1.319,3.499
Cr Pt V,0.848,3.026
Au Cr V,0.82,2.819
Cr Hg V,0.856,3.807
Cr Tl V,1.006,3.861
Cr Pb V,0.933,2.79
Bi Cr V,1.101,2.8
Fe Mn V,1.065,2.018
Co Mn V,0.606,2.279
Mn Ni V,0.511,2.091
Cu Mn V,0.723,2.072
Mn V Zn,0.523,2.349
Mn Rb V,0.842,4.153
Mn Sr V,0.954,3.092
Mn V Y,0.715,2.455
Mn Nb V,0.916,2.921
Mn Mo V,0.978,2.694
Ag Mn V,1.181,2.726
Cd Mn V,0.536,3.113
Cs Mn V,1.101,3.563
Ba Mn V,0.827,2.885
Hf Mn V,1.079,3.379
Mn V W,1.172,3.335
Mn Os V,1.009,4.162
Ir Mn V,1.241,3.464
Mn Pt V,0.753,2.989
Au Mn V,0.724,2.781
Hg Mn V,0.761,3.773
Mn Tl V,0.917,3.827
Mn Pb V,0.842,2.752
Bi Mn V,1.016,2.762
Cu Fe V,1.022,1.651
Fe V Zn,0.849,1.941
Fe Rb V,1.127,3.819
Fe Sr V,1.228,2.719
Fe Nb V,1.193,2.54
Fe Mo V,1.249,2.303
Ag Fe V,1.433,2.337
Cd Fe V,0.86,2.741
Fe In V,0.848,2.338
Cs Fe V,1.361,3.208
Ba Fe V,1.114,2.502
Fe Ta V,0.956,2.67
Fe V W,1.425,2.971
Fe Ir V,1.488,3.105
Fe Pt V,1.049,2.611
Au Fe V,1.023,2.394
Fe Hg V,1.056,3.425
Fe Tl V,1.194,3.482
Fe Pb V,1.127,2.364
Bi Fe V,1.283,2.374
Co Cu V,0.554,1.924
Co V Zn,0.336,2.205
Co Rb V,0.682,4.035
Co Sr V,0.803,2.96
Ag Co V,1.043,2.589
Cd Co V,0.35,2.982
Co Cs V,0.959,3.438
Ba Co V,0.667,2.75
Co Os V,0.861,4.043
Au Co V,0.555,2.645
Co Hg V,0.595,3.65
Co Tl V,0.763,3.705
Co Pb V,0.682,2.615
Bi Co V,0.868,2.625
Ni V Zn,0.225,2.016
Ni Rb V,0.591,3.879
Ni Sr V,0.716,2.787
Ni V Y,0.448,2.126
Ag Ni V,0.965,2.408
Cd Ni V,0.24,2.808
Cs Ni V,0.878,3.272
Ba Ni V,0.574,2.572
Hf Ni V,0.854,3.082
Ni V W,0.955,3.037
Ni Os V,0.777,3.888
Ir Ni V,1.03,3.17
Ni Pt V,0.49,2.679
Au Ni V,0.458,2.465
Hg Ni V,0.499,3.488
Ni Tl V,0.675,3.544
Ni Pb V,0.591,2.434
Bi Ni V,0.784,2.445
Cu V Zn,0.469,1.996
Cu Rb V,0.796,3.863
Cu Sr V,0.91,2.769
Cu V Y,0.666,2.107
Cu V Zr,0.601,2.181
Cu Nb V,0.871,2.591
Cu Mo V,0.934,2.356
Ag Cu V,1.14,2.389
Cd Cu V,0.482,2.79
Cu In V,0.468,2.391
Cu Sn V,0.429,2.11
Cs Cu V,1.06,3.255
Ba Cu V,0.78,2.553
Cu Hf V,1.037,3.065
Cu V W,1.132,3.02
Cu Os V,0.966,3.872
Cu Ir V,1.202,3.153
Au Cu V,0.675,2.446
Cu Hg V,0.713,3.471
Cu Tl V,0.872,3.528
Cu Pb V,0.796,2.416
Bi Cu V,0.973,2.426
Rb V Zn,0.603,4.093
Sr V Zn,0.728,3.025
V Y Zn,0.461,2.382
V Zn Zr,0.387,2.454
Nb V Zn,0.685,2.853
Mo V Zn,0.753,2.624
Ag V Zn,0.975,2.656
Cd V Zn,0.255,3.046
In V Zn,0.239,2.658
Sn V Zn,0.194,2.386
Cs V Zn,0.889,3.499
Ba V Zn,0.586,2.816
Hf V Zn,0.865,3.313
Ta V Zn,0.384,2.978
V W Zn,0.966,3.27
Os V Zn,0.788,4.101
Ir V Zn,1.04,3.399
Pt V Zn,0.503,2.92
Au V Zn,0.471,2.711
Hg V Zn,0.512,3.71
Tl V Zn,0.686,3.765
Pb V Zn,0.603,2.682
Bi V Zn,0.795,2.692
Ga Rb V,0.702,4.525
Ga Sr V,0.821,3.504
Ga V Y,0.567,2.895
Ga Mo V,0.846,3.123
Ag Ga V,1.06,3.154
Cd Ga V,0.373,3.524
Ga In V,0.358,3.155
Cs Ga V,0.976,3.956
Ba Ga V,0.686,3.305
Ga Ta V,0.494,3.459
Ga V W,1.051,3.737
Ga Os V,0.879,4.533
Ga Ir V,1.123,3.861
Ga Hg V,0.616,4.158
Ga Tl V,0.782,4.21
Ga Pb V,0.702,3.178
Bi Ga V,0.886,3.188
Rb Sr V,1.02,4.72
Rb V Y,0.788,4.181
Rb V Zr,0.726,4.241
Nb Rb V,0.982,4.575
Mo Rb V,1.043,4.383
Ag Rb V,1.241,4.41
Cd Rb V,0.615,4.738
In Rb V,0.602,4.411
Rb Sn V,0.565,4.184
Cs Rb V,1.163,5.124
Ba Rb V,0.896,4.543
Hf Rb V,1.142,4.965
Rb Ta V,0.723,4.68
Rb V W,1.232,4.928
Os Rb V,1.073,5.645
Ir Rb V,1.3,5.039
Pt Rb V,0.824,4.632
Au Rb V,0.797,4.456
Hg Rb V,0.832,5.306
Rb Tl V,0.984,5.353
Pb Rb V,0.911,4.431
Bi Rb V,1.08,4.44
Sr V Y,0.903,3.124
Sr V Zr,0.844,3.19
Nb Sr V,1.088,3.559
Mo Sr V,1.147,3.347
Ag Sr V,1.337,3.377
Cd Sr V,0.739,3.739
In Sr V,0.726,3.378
Sn Sr V,0.692,3.127
Cs Sr V,1.262,4.162
Ba Sr V,1.006,3.524
Hf Sr V,1.242,3.988
Sr Ta V,0.841,3.675
Sr V W,1.329,3.947
Os Sr V,1.176,4.728
Ir Sr V,1.394,4.068
Pt Sr V,0.938,3.622
Au Sr V,0.911,3.428
Hg Sr V,0.945,4.36
Sr Tl V,1.09,4.411
Pb Sr V,1.02,3.401
Bi Sr V,1.182,3.41
V Y Zr,0.592,2.559
Nb V Y,0.863,2.953
Mo V Y,0.927,2.727
Ag V Y,1.134,2.759
Cd V Y,0.474,3.145
In V Y,0.459,2.76
Cs V Y,1.053,3.593
Ba V Y,0.773,2.917
Ta V Y,0.589,3.077
V W Y,1.125,3.366
Os V Y,0.959,4.19
Ir V Y,1.195,3.494
Pt V Y,0.697,3.02
Au V Y,0.667,2.813
Hg V Y,0.705,3.802
Tl V Y,0.865,3.856
Pb V Y,0.788,2.784
Bi V Y,0.966,2.794
Ag V Zr,1.08,2.828
Cd V Zr,0.401,3.21
In V Zr,0.386,2.829
Cs V Zr,0.998,3.656
Ba V Zr,0.71,2.984
Ta V Zr,0.52,3.144
Ir V Zr,1.143,3.558
Pt V Zr,0.632,3.087
Au V Zr,0.602,2.882
Hg V Zr,0.641,3.863
Tl V Zr,0.805,3.918
Bi V Zr,0.908,2.863
Ag Nb V,1.304,3.211
Cd Nb V,0.696,3.579
In Nb V,0.683,3.212
Cs Nb V,1.228,4.008
Ba Nb V,0.968,3.361
Nb Os V,1.14,4.583
Nb Pt V,0.898,3.46
Au Nb V,0.872,3.263
Hg Nb V,0.906,4.209
Nb Tl V,1.053,4.261
Nb Pb V,0.982,3.235
Bi Nb V,1.147,3.244
Ag Mo V,1.358,2.991
Cd Mo V,0.765,3.367
In Mo V,0.752,2.992
Mo Sn V,0.718,2.73
Cs Mo V,1.283,3.806
Ba Mo V,1.029,3.144
Hf Mo V,1.263,3.626
Mo Os V,1.197,4.391
Ir Mo V,1.414,3.709
Mo Pt V,0.961,3.246
Au Mo V,0.935,3.044
Hg Mo V,0.969,4.01
Mo Tl V,1.112,4.064
Mo Pb V,1.043,3.016
Bi Mo V,1.204,3.025
Ag Cd V,0.985,3.397
Ag In V,0.974,3.023
Ag Sn V,0.943,2.762
Ag Cs V,1.465,3.834
Ag Ba V,1.228,3.175
Ag Hf V,1.446,3.655
Ag Ta V,1.077,3.331
Ag V W,1.527,3.613
Ag Os V,1.385,4.418
Ag Ir V,1.588,3.738
Ag Pt V,1.165,3.276
Ag Au V,1.141,3.075
Ag Hg V,1.172,4.038
Ag Tl V,1.305,4.092
Ag Pb V,1.241,3.047
Ag Bi V,1.391,3.056
Cd In V,0.253,3.398
Cd Sn V,0.209,3.148
Cd Cs V,0.899,4.181
Ba Cd V,0.598,3.545
Cd Hf V,0.876,4.007
Cd Ta V,0.397,3.695
Cd V W,0.976,3.967
Cd Os V,0.799,4.746
Cd Ir V,1.05,4.088
Cd Pt V,0.516,3.642
Au Cd V,0.483,3.448
Cd Hg V,0.525,4.378
Cd Tl V,0.698,4.43
Cd Pb V,0.615,3.421
Bi Cd V,0.806,3.43
In Sn V,0.193,2.763
Cs In V,0.888,3.836
Ba In V,0.585,3.176
Hf In V,0.864,3.656
In Ta V,0.382,3.333
In V W,0.965,3.614
In Os V,0.787,4.419
In Ir V,1.039,3.739
In Pt V,0.502,3.277
Au In V,0.469,3.076
Hg In V,0.511,4.039
In Tl V,0.685,4.093
In Pb V,0.602,3.048
Bi In V,0.794,3.058
Cs Sn V,0.856,3.596
Ba Sn V,0.548,2.92
Hf Sn V,0.831,3.412
Sn Ta V,0.341,3.08
Sn V W,0.934,3.369
Os Sn V,0.753,4.193
Ir Sn V,1.009,3.497
Pt Sn V,0.463,3.023
Au Sn V,0.43,2.817
Hg Sn V,0.473,3.805
Sn Tl V,0.65,3.859
Pb Sn V,0.565,2.788
Bi Sn V,0.761,2.798
Ba Cs V,1.15,3.976
Cs Hf V,1.374,4.42
Cs Ta V,0.995,4.12
Cs V W,1.457,4.381
Cs Os V,1.311,5.132
Cs Ir V,1.519,4.497
Cs Pt V,1.085,4.069
Au Cs V,1.061,3.883
Cs Hg V,1.092,4.777
Cs Tl V,1.229,4.827
Cs Pb V,1.163,3.857
Bi Cs V,1.317,3.866
Ba Hf V,1.129,3.799
Ba Ta V,0.707,3.48
Ba V W,1.22,3.757
Ba Os V,1.06,4.551
Ba Ir V,1.287,3.881
Ba Pt V,0.809,3.425
Au Ba V,0.781,3.227
Ba Hg V,0.817,4.177
Ba Tl V,0.97,4.229
Ba Pb V,0.896,3.2
Ba Bi V,1.067,3.209
Hf V W,1.438,4.21
Hf Ir V,1.501,4.329
Hf Pt V,1.063,3.893
Au Hf V,1.038,3.704
Hf Hg V,1.07,4.613
Hf Tl V,1.208,4.663
Hf Pb V,1.142,3.678
Bi Hf V,1.297,3.687
Os Ta V,0.898,4.688
Ir Ta V,1.14,4.026
Pt Ta V,0.629,3.578
Au Ta V,0.598,3.383
Hg Ta V,0.637,4.319
Ta Tl V,0.802,4.37
Pb Ta V,0.723,3.356
Bi Ta V,0.905,3.365
Os V W,1.377,4.936
Ir V W,1.581,4.289
Pt V W,1.157,3.852
Au V W,1.132,3.663
Hg V W,1.164,4.574
Tl V W,1.297,4.625
Pb V W,1.232,3.636
Bi V W,1.383,3.645
Ir Os V,1.441,5.047
Os Pt V,0.993,4.64
Au Os V,0.967,4.464
Hg Os V,1.0,5.313
Os Tl V,1.142,5.361
Os Pb V,1.073,4.439
Bi Os V,1.232,4.448
Ir Pt V,1.226,3.974
Au Ir V,1.202,3.787
Hg Ir V,1.233,4.689
Ir Tl V,1.363,4.739
Ir Pb V,1.3,3.761
Bi Ir V,1.446,3.77
Au Pt V,0.706,3.327
Hg Pt V,0.743,4.268
Pt Tl V,0.9,4.32
Pb Pt V,0.824,3.3
Bi Pt V,1.0,3.309
Au Hg V,0.714,4.086
Au Tl V,0.873,4.139
Au Pb V,0.797,3.099
Au Bi V,0.974,3.109
Hg Tl V,0.908,5.013
Hg Pb V,0.832,4.061
Bi Hg V,1.007,4.069
Pb Tl V,0.984,4.114
Bi Tl V,1.148,4.123
Bi Pb V,1.08,3.081
Cr Fe Mn,1.242,0.91
Co Cr Mn,0.819,1.209
Cr Cu Mn,0.926,0.972
Cr Mn Zn,0.744,1.289
Cr Mn Rb,1.035,3.294
Cr Mn Sr,1.139,2.126
Cr Mn Y,0.918,1.41
Cr Mn Mo,1.161,1.68
Ag Cr Mn,1.35,1.716
Cd Cr Mn,0.756,2.15
Cr In Mn,0.743,1.718
Cr Mn Sn,0.709,1.413
Cr Cs Mn,1.276,2.648
Ba Cr Mn,1.021,1.894
Cr Hf Mn,1.255,2.444
Cr Mn Ta,0.857,2.074
Cr Mn W,1.342,2.396
Cr Mn Os,1.19,3.303
Cr Ir Mn,1.407,2.538
Au Cr Mn,0.927,1.778
Cr Hg Mn,0.96,2.878
Cr Mn Tl,1.104,2.938
Cr Mn Pb,1.035,1.745
Bi Cr Mn,1.196,1.757
Cr Cu Fe,1.202,0.483
Cr Fe Zn,1.041,0.822
Cr Fe Rb,1.3,2.928
Cr Fe Sr,1.395,1.708
Ag Cr Fe,1.589,1.276
Cd Cr Fe,1.051,1.732
Cr Fe In,1.04,1.277
Cr Cs Fe,1.52,2.255
Ba Cr Fe,1.288,1.463
Cr Fe Hf,1.501,2.041
Cr Fe Ta,1.141,1.653
Cr Fe Os,1.441,2.938
Cr Fe Ir,1.641,2.14
Cr Fe Pt,1.227,1.586
Au Cr Fe,1.203,1.341
Cr Fe Hg,1.233,2.495
Cr Fe Tl,1.363,2.558
Cr Fe Pb,1.3,1.306
Bi Cr Fe,1.447,1.318
Co Cr Cu,0.772,0.801
Co Cr Zn,0.577,1.125
Co Cr Rb,0.888,3.165
Co Cr Sr,0.999,1.979
Ag Co Cr,1.221,1.562
Cd Co Cr,0.589,2.003
Co Cr Cs,1.143,2.509
Ba Co Cr,0.874,1.743
Co Cr Hf,1.121,2.302
Co Cr Os,1.052,3.174
Co Cr Ir,1.281,2.398
Au Co Cr,0.773,1.624
Co Cr Hg,0.809,2.743
Co Cr Tl,0.962,2.804
Co Cr Pb,0.888,1.591
Cr Cu Ni,0.684,0.573
Cr Ni Zn,0.48,0.907
Cr Ni Rb,0.805,2.995
Cr Ni Sr,0.919,1.784
Ag Cr Ni,1.149,1.356
Cd Cr Ni,0.493,1.808
Cr Cs Ni,1.068,2.326
Ba Cr Ni,0.79,1.542
Cr Hf Ni,1.046,2.115
Cr Ni Os,0.975,3.004
Cr Ir Ni,1.21,2.213
Cr Ni Pt,0.714,1.663
Au Cr Ni,0.685,1.421
Cr Hg Ni,0.723,2.565
Cr Ni Tl,0.881,2.627
Cr Ni Pb,0.805,1.386
Bi Cr Ni,0.982,1.398
Cr Cu Zn,0.696,0.885
Cr Cu Ga,0.791,1.495
Cr Cu Rb,0.992,2.977
Cr Cu Sr,1.098,1.764
Cr Cu Y,0.874,1.012
Cr Cu Mo,1.12,1.297
Ag Cr Cu,1.312,1.335
Cd Cr Cu,0.707,1.788
Cr Cu Sn,0.66,1.016
Cr Cs Cu,1.237,2.307
Ba Cr Cu,0.978,1.521
Cr Cu Hf,1.216,2.095
Cr Cu W,1.304,2.045
Cr Cu Os,1.149,2.986
Cr Cu Ir,1.37,2.194
Au Cr Cu,0.882,1.4
Cr Cu Hg,0.916,2.546
Cr Cu Tl,1.063,2.608
Cr Cu Pb,0.992,1.365
Bi Cr Cu,1.156,1.377
Cr Rb Zn,0.816,3.228
Cr Sr Zn,0.93,2.051
Cr Y Zn,0.688,1.327
Cr Mo Zn,0.953,1.601
Ag Cr Zn,1.158,1.637
Cd Cr Zn,0.506,2.075
Cr In Zn,0.492,1.639
Cr Cs Zn,1.078,2.577
Ba Cr Zn,0.801,1.817
Cr Hf Zn,1.056,2.371
Cr Ta Zn,0.619,1.999
Cr W Zn,1.149,2.323
Cr Os Zn,0.985,3.237
Cr Ir Zn,1.219,2.467
Cr Pt Zn,0.726,1.934
Cr Hg Zn,0.734,2.809
Cr Tl Zn,0.892,2.869
Cr Pb Zn,0.816,1.667
Bi Cr Zn,0.992,1.678
Cr Ga Rb,0.906,3.697
Cr Ga Sr,1.016,2.582
Cr Ga Mo,1.039,2.16
Ag Cr Ga,1.237,2.194
Cd Cr Ga,0.61,2.604
Cr Ga In,0.597,2.196
Cr Ga Sn,0.56,1.909
Cr Cs Ga,1.159,3.079
Ba Cr Ga,0.892,2.362
Cr Ga Ta,0.718,2.533
Cr Ga W,1.229,2.839
Cr Ga Os,1.069,3.706
Cr Ga Ir,1.296,2.974
Au Cr Ga,0.792,2.253
Cr Ga Hg,0.828,3.298
Cr Ga Tl,0.979,3.356
Cr Ga Pb,0.906,2.222
Bi Cr Ga,1.076,2.232
Cr Rb Sr,1.2,3.908
Cr Rb Y,0.985,3.324
Cr Rb Zr,0.928,3.389
Cr Nb Rb,1.165,3.751
Cr Mo Rb,1.221,3.543
Ag Cr Rb,1.407,3.572
Cd Cr Rb,0.827,3.928
Cr In Rb,0.815,3.574
Cr Rb Sn,0.782,3.328
Cr Cs Rb,1.334,4.343
Ba Cr Rb,1.085,3.717
Cr Hf Rb,1.314,4.172
Cr Rb Ta,0.925,3.865
Cr Rb W,1.399,4.132
Cr Os Rb,1.25,4.9
Cr Ir Rb,1.462,4.251
Cr Pt Rb,1.018,3.813
Au Cr Rb,0.993,3.622
Cr Hg Rb,1.026,4.538
Cr Rb Tl,1.166,4.588
Cr Pb Rb,1.098,3.596
Bi Cr Rb,1.256,3.605
Cr Sr Y,1.091,2.161
Cr Sr Zr,1.037,2.234
Cr Nb Sr,1.264,2.643
Cr Mo Sr,1.318,2.408
Ag Cr Sr,1.498,2.442
Cd Cr Sr,0.94,2.841
Cr In Sr,0.929,2.443
Cr Sn Sr,0.897,2.164
Cr Cs Sr,1.427,3.303
Ba Cr Sr,1.187,2.605
Cr Hf Sr,1.408,3.114
Cr Sr Ta,1.034,2.771
Cr Sr W,1.49,3.069
Cr Os Sr,1.346,3.917
Cr Ir Sr,1.552,3.201
Cr Pt Sr,1.123,2.712
Au Cr Sr,1.099,2.498
Cr Hg Sr,1.13,3.518
Cr Sr Tl,1.265,3.574
Cr Pb Sr,1.2,2.468
Bi Cr Sr,1.352,2.478
Cr Y Zr,0.806,1.527
Cr Mo Y,1.113,1.717
Ag Cr Y,1.306,1.753
Cd Cr Y,0.699,2.184
Cr Cs Y,1.231,2.68
Ba Cr Y,0.971,1.93
Cr Hf Y,1.21,2.477
Cr Ta Y,0.803,2.109
Cr W Y,1.298,2.43
Cr Os Y,1.143,3.333
Cr Ir Y,1.364,2.572
Cr Pt Y,0.901,2.046
Au Cr Y,0.875,1.814
Cr Hg Y,0.909,2.91
Cr Tl Y,1.056,2.969
Cr Pb Y,0.985,1.782
