phases,leaf,mat2vec
Fe Hg Li,1.14,3.47
Fe Li Tl,1.274,3.526
Fe Li Pb,1.209,2.414
Bi Fe Li,1.361,2.424
Co Li Ni,0.439,1.996
Co Cu Li,0.658,1.976
Co Li Zn,0.452,2.256
Co Ga Li,0.558,2.776
Co Li Rb,0.78,4.077
Co Li Sr,0.896,3.007
Co Li Y,0.65,2.364
Co Li Zr,0.584,2.435
Co Li Nb,0.856,2.835
Co Li Mo,0.92,2.606
Ag Co Li,1.127,2.638
Cd Co Li,0.465,3.029
Co In Li,0.45,2.639
Co Li Sn,0.411,2.367
Co Cs Li,1.046,3.482
Ba Co Li,0.765,2.798
Co Hf Li,1.024,3.296
Co Li Ta,0.58,2.96
Co Li W,1.118,3.253
Co Li Os,0.952,4.085
Co Ir Li,1.189,3.382
Co Li Pt,0.689,2.903
Au Co Li,0.659,2.693
Co Hg Li,0.697,3.693
Co Li Tl,0.857,3.749
Co Li Pb,0.78,2.664
Bi Co Li,0.959,2.674
Cu Li Ni,0.565,1.781
Li Ni Zn,0.348,2.068
Ga Li Ni,0.461,2.598
Li Ni Rb,0.693,3.922
Li Ni Sr,0.813,2.834
Li Ni Y,0.557,2.178
Li Ni Zr,0.487,2.251
Li Nb Ni,0.771,2.658
Li Mo Ni,0.838,2.425
Ag Li Ni,1.052,2.458
Cd Li Ni,0.362,2.856
In Li Ni,0.347,2.459
Cs Li Ni,0.968,3.318
Ba Li Ni,0.677,2.621
Hf Li Ni,0.945,3.129
Li Ni Ta,0.484,2.787
Li Ni W,1.043,3.084
Li Ni Os,0.871,3.93
Ir Li Ni,1.115,3.216
Li Ni Pt,0.597,2.728
Au Li Ni,0.566,2.514
Hg Li Ni,0.606,3.532
Li Ni Tl,0.773,3.588
Li Ni Pb,0.693,2.484
Bi Li Ni,0.878,2.494
Cu Li Rb,0.889,3.906
Cu Li Sr,0.999,2.817
Cu Li Y,0.765,2.158
Cu Li Zr,0.702,2.232
Cu Li Nb,0.961,2.64
Cu Li Mo,1.022,2.406
Ag Cu Li,1.222,2.439
Cd Cu Li,0.59,2.838
Cu In Li,0.576,2.44
Cs Cu Li,1.143,3.301
Ba Cu Li,0.874,2.603
Cu Hf Li,1.122,3.111
Cu Li Ta,0.699,2.769
Cu Li W,1.213,3.067
Cu Li Os,1.053,3.915
Cu Ir Li,1.281,3.199
Cu Li Pt,0.802,2.71
Au Cu Li,0.773,2.496
Cu Hg Li,0.809,3.516
Cu Li Tl,0.962,3.572
Cu Li Pb,0.889,2.466
Bi Cu Li,1.06,2.476
Li Rb Zn,0.704,4.135
Li Sr Zn,0.824,3.072
Li Y Zn,0.569,2.432
Li Zn Zr,0.5,2.504
Li Nb Zn,0.782,2.9
Li Mo Zn,0.848,2.673
Cs Li Zn,0.978,3.543
Ba Li Zn,0.689,2.863
Hf Li Zn,0.955,3.359
Li Ta Zn,0.497,3.025
Li W Zn,1.053,3.315
Li Os Zn,0.881,4.143
Ir Li Zn,1.125,3.444
Li Pt Zn,0.609,2.968
Au Li Zn,0.579,2.76
