phases,scores,norm
Cu Li Ni,132.465,1.781
Li Ni Zn,137.127,2.068
Ga Li Ni,145.761,2.598
Li Ni Rb,167.314,3.922
Li Ni Sr,149.607,2.834
Li Ni Y,138.913,2.178
Li Ni Zr,140.106,2.251
Li Nb Ni,146.743,2.658
Li Mo Ni,142.936,2.425
Ag Li Ni,143.476,2.458
Cd Li Ni,149.96,2.856
In Li Ni,143.497,2.459
Cs Li Ni,157.478,3.318
Ba Li Ni,146.129,2.621
Hf Li Ni,154.396,3.129
Li Ni Ta,148.829,2.787
Li Ni W,153.671,3.084
Li Ni Os,167.452,3.93
Ir Li Ni,155.824,3.216
Li Ni Pt,147.87,2.728
Au Li Ni,144.393,2.514
Hg Li Ni,160.971,3.532
Li Ni Tl,161.883,3.588
Li Ni Pb,143.905,2.484
Bi Li Ni,144.073,2.494
Cu Li Rb,167.056,3.906
Cu Li Sr,149.318,2.817
Cu Li Y,138.601,2.158
Cu Li Zr,139.797,2.232
Cu Li Nb,146.448,2.64
Cu Li Mo,142.633,2.406
Ag Cu Li,143.174,2.439
Cd Cu Li,149.671,2.838
Cu In Li,143.195,2.44
Cs Cu Li,157.203,3.301
Ba Cu Li,145.832,2.603
Cu Hf Li,154.115,3.111
Cu Li Ta,148.538,2.769
Cu Li W,153.389,3.067
Cu Li Os,167.193,3.915
Cu Ir Li,155.546,3.199
Cu Li Pt,147.576,2.71
Au Cu Li,144.092,2.496
Cu Hg Li,160.702,3.516
Cu Li Tl,161.615,3.572
Cu Li Pb,143.604,2.466
Bi Cu Li,143.772,2.476
Li Rb Zn,170.776,4.135
Li Sr Zn,153.469,3.072
Li Y Zn,143.064,2.432
Li Zn Zr,144.222,2.504
Li Nb Zn,150.678,2.9
Li Mo Zn,146.973,2.673
Cs Li Zn,161.151,3.543
Ba Li Zn,150.08,2.863
Hf Li Zn,158.141,3.359
Li Ta Zn,152.71,3.025
Li W Zn,157.433,3.315
Li Os Zn,170.911,4.143
Ir Li Zn,159.535,3.444
Li Pt Zn,151.775,2.968
Au Li Zn,148.39,2.76
Hg Li Zn,164.566,3.753
Li Tl Zn,165.458,3.808
Li Pb Zn,147.916,2.73
Ga Li Rb,177.783,4.565
Ga Li Zr,152.454,3.009
Ga Li Nb,158.576,3.385
Ga Li Mo,155.059,3.169
Ga In Li,155.576,3.201
Cs Ga Li,168.559,3.998
Ga Hf Li,165.683,3.822
Ga Li Ta,160.508,3.504
Ga Li W,165.008,3.78
Ga Li Os,177.912,4.573
Ga Hg Li,171.827,4.199
Ga Li Tl,172.681,4.252
Ga Li Pb,155.953,3.224
Bi Ga Li,156.108,3.234
Li Rb Sr,180.95,4.76
Li Rb Y,172.213,4.223
Li Rb Zr,173.177,4.282
Li Nb Rb,178.589,4.615
Li Mo Rb,175.475,4.423
Ag Li Rb,175.914,4.45
Cd Li Rb,181.242,4.778
In Li Rb,175.932,4.451
Cs Li Rb,187.51,5.163
Ba Li Rb,178.085,4.584
Hf Li Rb,184.929,5.004
Li Rb Ta,180.307,4.72
Li Rb W,184.324,4.967
Li Os Rb,195.961,5.682
Ir Li Rb,186.123,5.077
Li Pt Rb,179.516,4.672
Au Li Rb,176.663,4.496
Hg Li Rb,190.453,5.343
Li Rb Tl,191.224,5.391
Li Pb Rb,176.265,4.472
Bi Li Rb,176.402,4.48
Li Sr Y,155.067,3.17
Li Sr Zr,156.136,3.235
Li Nb Sr,162.118,3.603
Li Mo Sr,158.681,3.392
Ag Li Sr,159.167,3.422
Cd Li Sr,165.036,3.782
In Li Sr,159.186,3.423
Cs Li Sr,171.896,4.203
Hf Li Sr,169.077,4.03
Li Sr Ta,164.009,3.719
Li Sr W,168.415,3.99
Li Os Sr,181.077,4.767
Ir Li Sr,170.382,4.11
Li Pt Sr,163.139,3.666
Au Li Sr,159.994,3.472
Li Sr Tl,175.94,4.452
Li Pb Sr,159.554,3.445
Li Y Zr,145.921,2.608
Li Nb Y,152.305,3.0
Li Mo Y,148.641,2.775
Ag Li Y,149.16,2.807
Cd Li Y,155.407,3.191
Cs Li Y,162.674,3.637
Ba Li Y,151.713,2.964
Hf Li Y,159.692,3.454
Li Ta Y,154.316,3.124
Li W Y,158.991,3.411
Li Os Y,172.347,4.231
Ir Li Y,161.073,3.539
Li Pt Y,153.391,3.067
Au Li Y,150.042,2.861
Hg Li Y,166.057,3.845
Li Tl Y,166.941,3.899
Li Pb Y,149.573,2.832
Li Nb Zr,153.394,3.067
Li Mo Zr,149.756,2.844
Ag Li Zr,150.271,2.875
Cd Li Zr,156.474,3.256
In Li Zr,150.291,2.876
Li Sn Zr,145.976,2.611
Cs Li Zr,163.693,3.7
Ba Li Zr,152.806,3.031
Hf Li Zr,160.73,3.518
Li Ta Zr,155.39,3.19
Li W Zr,160.034,3.475
Li Os Zr,173.31,4.29
Ir Li Zr,162.103,3.602
Li Pt Zr,154.472,3.133
Au Li Zr,151.147,2.929
Hg Li Zr,167.056,3.906
Li Tl Zr,167.935,3.96
Li Mo Nb,155.983,3.226
Ag Li Nb,156.478,3.256
Cd Li Nb,162.444,3.623
In Li Nb,156.497,3.258
Li Nb Sn,152.357,3.003
Cs Li Nb,169.409,4.051
Ba Li Nb,158.914,3.406
Hf Li Nb,166.548,3.875
Li Nb Ta,161.4,3.559
Li Nb W,165.876,3.834
Li Nb Os,178.718,4.623
Ir Li Nb,167.872,3.956
Li Nb Pt,160.516,3.504
Au Li Nb,157.319,3.308
Hg Li Nb,172.661,4.25
Li Nb Tl,173.511,4.303
Li Nb Pb,156.872,3.281
Bi Li Nb,157.026,3.29
Ag Li Mo,152.913,3.037
Cd Li Mo,159.013,3.412
In Li Mo,152.933,3.039
Li Mo Sn,148.694,2.778
Cs Li Mo,166.122,3.849
Ba Li Mo,155.405,3.191
Hf Li Mo,163.203,3.67
Li Mo Ta,157.947,3.347
Li Mo W,162.518,3.627
Li Mo Os,175.606,4.431
Ir Li Mo,164.555,3.753
Li Mo Pt,157.043,3.291
Au Li Mo,153.774,3.09
Hg Li Mo,169.437,4.052
Li Mo Tl,170.303,4.106
Li Mo Pb,153.316,3.062
Bi Li Mo,153.474,3.072
Ag Cd Li,159.498,3.442
Ag Cs Li,166.587,3.877
Ag Ba Li,155.902,3.221
Ag Hf Li,163.676,3.699
Ag Li Ta,158.435,3.377
Ag Li W,162.993,3.657
Ag Li Os,176.045,4.458
Ag Ir Li,165.024,3.781
Ag Li Pt,157.535,3.321
Ag Au Li,154.276,3.121
Ag Hg Li,169.892,4.08
Cd Cs Li,172.203,4.222
Ba Cd Li,161.889,3.589
Cd Hf Li,169.389,4.049
Cd Li Ta,164.33,3.739
Cd Li W,168.728,4.009
Cd Li Os,181.369,4.785
Cd Ir Li,170.691,4.129
Cd Li Pt,163.462,3.685
Au Cd Li,160.324,3.493
Cd Hg Li,175.403,4.419
Cs In Li,166.605,3.878
Hf In Li,163.694,3.7
In Li Ta,158.454,3.378
In Li W,163.011,3.658
In Li Os,176.062,4.459
Hg In Li,169.91,4.081
In Li Pb,153.839,3.094
Cs Li Sn,162.722,3.64
Hf Li Sn,159.741,3.457
Li Sn Ta,154.367,3.127
Li Sn W,159.041,3.414
Li Os Sn,172.393,4.234
Hg Li Sn,166.105,3.848
Li Sn Tl,166.989,3.902
Li Pb Sn,149.626,2.836
Bi Li Sn,149.787,2.845
Ba Cs Li,168.877,4.018
Cs Hf Li,176.079,4.46
Cs Li Ta,171.219,4.162
Cs Li W,175.444,4.421
Cs Li Os,187.633,5.17
Cs Ir Li,177.333,4.537
Cs Li Pt,170.386,4.111
Au Cs Li,167.377,3.926
Cs Hg Li,181.872,4.816
Cs Li Tl,182.68,4.866
Cs Li Pb,166.957,3.9
Bi Cs Li,167.101,3.909
Ba Hf Li,166.006,3.842
Ba Li Ta,160.842,3.524
Ba Li W,165.333,3.8
Ba Li Os,178.214,4.592
Ba Ir Li,167.335,3.923
Ba Li Pt,159.955,3.47
Au Ba Li,156.746,3.273
Ba Hg Li,172.139,4.218
Ba Li Tl,172.992,4.271
Hf Li Ta,168.388,3.988
Hf Li W,172.683,4.252
Hf Li Os,185.053,5.012
Hf Ir Li,174.601,4.37
Hf Li Pt,167.541,3.936
Au Hf Li,164.48,3.748
Hf Hg Li,179.21,4.653
Hf Li Tl,180.029,4.703
Hf Li Pb,164.053,3.722
Li Ta W,167.724,3.947
Li Os Ta,180.435,4.728
Ir Li Ta,169.699,4.068
Li Pt Ta,162.425,3.622
