phases,leaf,mat2vec,if_pareto,pareto_front,elements
Cr Y Zn,0.688,1.327,-,13,Cr
Cd Fe Ni,0.727,1.328,-,14,Cd
Ag Ni Ti,1.216,1.328,-,22,Ag
Ag Cu Sn,1.002,1.332,-,20,Ag
Al Bi Zn,0.852,1.334,-,17,Al
Au Fe Y,1.073,1.334,-,21,Au
Ag Cr Cu,1.312,1.335,-,23,Ag
Ba Fe Zn,1.005,1.337,-,21,Ba
Cu Pb Ti,1.063,1.337,-,21,Cu
Fe K Ni,2.732,1.338,-,25,Fe
Ba Co Ni,0.521,1.339,-,6,Ba
Au Cr Fe,1.203,1.341,-,22,Au
Mn Ni Pb,0.708,1.342,-,14,Mn
Bi Cu Ti,1.223,1.349,-,23,Bi
Co Mg Mn,0.607,1.35,-,11,Co
Ag Ni Y,1.016,1.35,-,22,Ag
Ag Fe Zr,1.429,1.351,-,24,Ag
Fe In Zr,0.842,1.352,-,17,Fe
Ag Ni Sn,0.815,1.353,-,17,Ag
Al Au Zn,0.537,1.356,-,7,Al
Ag Cr Ni,1.149,1.356,-,23,Ag
Ni Pb Ti,0.882,1.359,-,23,Ni
Cu Ni Sr,0.78,1.361,-,18,Cu
Co Cu Nb,0.824,1.362,-,16,Co
Cu Pb Sn,0.634,1.363,-,18,Cu
Al Fe Sr,1.276,1.365,-,12,Al
Cr Cu Pb,0.992,1.365,-,24,Cr
Co Mg Ti,0.789,1.367,-,20,Co
Bi Cu Y,1.024,1.37,-,17,Bi
Au Cu Ti,0.956,1.372,-,23,Au
Cu Mo Zr,0.929,1.372,-,20,Cu
Bi Cu Sn,0.824,1.374,-,20,Bi
Al In Mn,0.587,1.375,-,19,Al
Au Mn Ni,0.583,1.376,-,10,Au
Bi Cr Cu,1.156,1.377,-,9,Bi
Al Mo Sn,0.777,1.378,-,24,Al
Fe Mg Mo,1.249,1.378,-,16,Fe
Ca Co Fe,1.819,1.381,-,25,Ca
Mn Ti Y,0.992,1.382,-,26,Mn
Co Nb Ni,0.622,1.383,-,21,Co
Ni Pb Sn,0.412,1.384,-,12,Ni
Co Cu Sc,0.669,1.384,-,4,Co
Co Fe Pt,1.006,1.384,-,13,Co
Cr Ni Pb,0.805,1.386,-,22,Cr
Cd Cu Ni,0.322,1.387,-,18,Cd
Al Cd Fe,0.915,1.39,-,4,Al
Au Cu Y,0.733,1.393,-,20,Au
Bi Fe Zr,1.279,1.393,-,15,Bi
Au Ni Ti,0.766,1.393,-,26,Au
Co Cr Mg,0.708,1.395,-,15,Co
Bi Ni Sn,0.622,1.395,-,15,Bi
Cu K Ni,2.535,1.397,-,13,Cu
Bi Cr Ni,0.982,1.398,-,27,Bi
Co Mo Zn,0.705,1.399,-,21,Co
Au Cr Cu,0.882,1.4,-,14,Au
Al Fe K,2.833,1.4,-,20,Al
Fe Sc Zn,0.95,1.403,-,28,Fe
Al Mn Pb,0.898,1.404,-,21,Al
Co Ni Sc,0.451,1.405,-,21,Co
Cr Mn Y,0.918,1.41,-,5,Cr
Al In Y,0.526,1.413,-,22,Al
Cr Mn Sn,0.709,1.413,-,7,Cr
Au Fe Zr,1.018,1.415,-,16,Au
Ag Fe Mg,1.433,1.415,-,23,Ag
Al Bi Mn,1.068,1.416,-,27,Al
Al In Sn,0.27,1.417,-,24,Al
Ba Ni Zn,0.434,1.417,-,2,Ba
Fe In Mg,0.848,1.417,-,5,Fe
Ag Al Cr,1.308,1.419,-,20,Ag
Ba Fe Mn,1.209,1.419,-,27,Ba
Al Cr In,0.689,1.42,-,25,Al
Au Cr Ni,0.685,1.421,-,14,Au
Sn Ti Y,0.734,1.424,-,14,Sn
Cr Ti Y,1.078,1.426,-,17,Cr
Mg Mn Zn,0.524,1.428,-,25,Mg
Ag Ni Zr,0.96,1.431,-,7,Ag
Al Bi Ti,1.219,1.433,-,23,Al
Fe Ga Sn,0.787,1.435,-,26,Fe
Cu Mg Mo,0.935,1.436,-,18,Cu
Ba Fe Ti,1.352,1.436,-,23,Ba
Ag Co Zn,0.931,1.437,-,28,Ag
Ca Co Cu,1.564,1.439,-,23,Ca
Cu Nb Zn,0.75,1.439,-,29,Cu
Al Pb Y,0.845,1.442,-,18,Al
Co Cu Pt,0.655,1.442,-,20,Co
Fe Mg Pb,1.128,1.445,-,14,Fe
Al Pb Sn,0.629,1.446,-,26,Al
Al Cr Pb,0.987,1.448,-,14,Al
Al Cd Cu,0.548,1.449,-,24,Al
Al Ga Zn,0.43,1.453,-,8,Al
Co Fe Ta,0.912,1.453,-,5,Co
Al Bi Y,1.019,1.454,-,22,Al
Mg Mo Ni,0.743,1.457,-,22,Mg
Ba Fe Y,1.162,1.457,-,25,Ba
Bi Fe Mg,1.284,1.457,-,18,Bi
Al Bi Sn,0.819,1.457,-,27,Al
Ca Fe Zn,1.767,1.458,-,27,Ca
Al Cu K,2.642,1.459,-,19,Al
Nb Ni Zn,0.54,1.46,-,27,Nb
Ca Co Ni,1.414,1.46,-,30,Ca
Ba Fe Sn,0.974,1.461,-,8,Ba
Co Ni Pt,0.435,1.463,-,29,Co
Ba Cr Fe,1.288,1.463,-,27,Ba
